"School name","Cases among staff and students"
"Unassigned",171
"102ND ST EEC",1
"107TH ST EL",4
"109TH ST EL",0
"10TH ST EL",3
"112TH ST EEC",0
"112TH ST EL",11
"116TH ST EL",5
"118TH ST EL",3
"122ND ST EL",6
"135TH ST EL",6
"153RD ST EL",8
"156TH ST EL",2
"15TH ST EL",3
"186TH ST EL",0
"1ST ST EL",7
"20TH ST EL",4
"232ND PL EL",6
"24TH ST EEC",1
"24TH ST EL",10
"28TH ST EEC",1
"28TH ST EL",4
"2ND ST EL",6
"32ND ST USC PA MAG",8
"36TH ST EEC",1
"37TH ST EEC",0
"3RD ST EL",7
"42ND ST EL",2
"49TH ST EL",5
"4TH ST EEC",1
"4TH ST EL",2
"4TH ST PC",2
"52ND ST EL",8
"54TH ST EL",1
"59TH ST EL",1
"61ST ST EL",11
"66TH ST EEC",3
"66TH ST EL",8
"6TH AVE EL",2
"74TH ST EL",3
"75TH ST EEC",0
"75TH ST EL",6
"7TH ST EL AI MAG",2
"92ND ST EL",5
"93RD ST EL",13
"95TH ST EEC",2
"95TH ST EL",10
"96TH ST EL",8
"97TH ST EEC",1
"99TH ST EL",5
"9TH ST EL",3
"ACAD ENRICH SCI MAG",1
"ADAMS MS",3
"ADDAMS HS",2
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",2
"ALDAMA EL",8
"ALEXANDER SCS",5
"ALEXANDRIA AVE EEC",1
"ALEXANDRIA AVE EL",11
"ALLESANDRO EL",5
"ALTA CALIFORNIA EL",5
"ALTA LOMA EL",8
"AMANECER PC",4
"AMBLER AVE EL",5
"AMESTOY EL",5
"ANATOLA AVE EL",3
"ANDASOL AVE EL",3
"ANGELES MESA EL",2
"ANGELOU COMMUNITY SH",8
"ANGEL'S GATE HS",1
"ANN ST EL",1
"ANNALEE AVE EL",0
"ANNANDALE EL",2
"ANTON EEC",0
"ANTON EL",8
"APPERSON ST EL",8
"ARAGON AVE EL",2
"ARLETA SH",7
"ARLINGTON HTS EL",1
"ARMINTA ST EEC",0
"ARMINTA ST EL",7
"ARROYO SECO MUS/S MAG",2
"ASCOT AVE EL",4
"ATWATER AVE EL",4
"AUDUBON MS",6
"AURORA EL",4
"AVALON GARDENS EL",0
"BACA ARTS ACAD",4
"BAKEWELL PC",6
"BALA",1
"BALBOA EL G/HG/HA MAG",1
"BALDWIN HILLS EL",2
"BANCROFT MS",3
"BANDINI ST EL",3
"BANNEKER CTC",1
"BANNING SH",22
"BARRETT EL",8
"BARTON HILL EL",4
"BASSETT ST EL",4
"BEACHY AVE EL",4
"BECKFORD CES",5
"BEETHOVEN ST EL",3
"BELL SH",16
"BELLINGHAM EL",2
"BELMONT SH",5
"BELVEDERE EL",6
"BELVEDERE MS",9
"BERENDO MS",2
"BERNSTEIN SH",6
"BERNSTEIN SH STEM",6
"BERTRAND AVE EL",11
"BETHUNE MS",5
"BLYTHE ST EL",6
"BONITA ST EL",3
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",2
"BRADDOCK DR EL",4
"BRADLEY EEC",0
"BRADLEY GLBL AWR MAG",1
"BRAINARD EL",1
"BRAVO SH MEDICAL MAG",12
"BREED ST EL",5
"BRENTWOOD EL SCI MAG",2
"BRIDGE ST EL",6
"BRIDGES SCHOOL",7
"BRIGHT EL",4
"BROAD AVE EL",5
"BROADACRES AV EL",0
"BROADOUS EEC",0
"BROADOUS EL",3
"BROADWAY EL",0
"BROCKTON AVE EL",1
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",0
"BRYSON AVE EL",2
"BUCHANAN ST EL",1
"BUDLONG AVE EL",3
"BURBANK BLVD EL",5
"BURBANK MS A/T/C MAG",5
"BURKE HS",3
"BURROUGHS MS",7
"BURTON ST EL",4
"BUSHNELL WAY EL",3
"BYRD MS",12
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",5
"CAHUENGA EL",2
"CALABASH CA",2
"CALAHAN ST EL",0
"CALVERT CES",3
"CAMELLIA AVE EL",5
"CANFIELD AVE EL",3
"CANOGA PARK EEC",0
"CANOGA PARK EL",2
"CANOGA PRK SH",10
"CANTARA ST EL",7
"CANTERBURY AVE EL",8
"CANYON CEL",3
"CAPISTRANO AVE EL",2
"CARDENAS EL",1
"CARLSON HOSPITAL",1
"CARNEGIE MS",5
"CAROLDALE LC",10
"CARPENTER COMM CHTR",10
"CARSON ACAD ED & EMP",8
"CARSON ACAD MED ARTS",3
"CARSON SH",17
"CARSON ST EL",9
"CARSON-GORE ACADEMY",6
"CARTHAY EL ES MAG",2
"CARVER MS",7
"CASTELAR ST EEC",2
"CASTELAR ST EL",4
"CASTLE HTS EL",0
"CASTLEBAY LN CHTR",4
"CASTRO MS",2
"CATSKILL AVE EL",7
"CDS AGGELER",0
"CDS ALONZO",0
"CDS JOHNSON",0
"CDS JOHNSTON",1
"CDS LONDON",0
"CDS TRI-C",2
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",1
"CENTURY PARK EL",3
"CHANDLER EL",2
"CHAPMAN EL",0
"CHARNOCK ROAD EL",5
"CHASE ST EEC",1
"CHASE ST EL",5
"CHATSWORTH CHS",15
"CHATSWORTH UP/CD MAG",3
"CHAVEZ EL",2
"CHAVEZ LA ARTES MAG",1
"CHAVEZ LA ASE",5
"CHAVEZ LA SJ HUM AC",1
"CHAVEZ LA TECH PREP",4
"CHEREMOYA AVE EL",1
"CHEVIOT HILLS HS",0
"CIENEGA EL",2
"CIMARRON AVE EL",1
"CITY OF ANGELS",13
"CITY TERRACE EL",5
"CLEVELAND CHS",20
"CLEVELAND EEC",0
"CLEVELAND INFANT CTR",0
"CLIFFORD ST M/T MAG",1
"CLINTON MS",5
"CLOVER AVE EL",1
"COCHRAN MS",2
"COEUR D ALENE AVE EL",1
"COHASSET ST EL",4
"COLDWATER CYN EL",5
"COLFAX CEL",4
"COLISEUM ST EL",0
"COLLINS EEC",0
"COLUMBUS AVE EL",1
"COLUMBUS MS",6
"COMMONWLTH AVE EL",4
"COMMUNITY EL MAG CS",2
"COMPTON AVE EL",1
"CONTRERAS LC ALC",4
"CONTRERAS LC BUS TR",1
"CONTRERAS LC GLBL ST",4
"CONTRERAS LC SOC JUS",2
"CORONA AVE EL",6
