"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","9.1622077255735537"
"Bell/Cudahy/Maywood Community of Schools","6.3018722862562466"
"Boyle Heights Community of Schools","3.0070440005713381"
"Canoga Park/Chatsworth Community of Schools","8.1289628693988316"
"Carson Community of Schools","8.9965567723625774"
"Cleveland Community of Schools","15.718587643535525"
"Downtown Community of Schools","3.0245517992302515"
"Eagle Rock/Highland Park Community of Schools","6.70966443290755"
"East Los Angeles Community of Schools","5.721405685805828"
"Fairfax Community of Schools","8.9260919585829335"
"Fremont Community of Schools","4.6513791339132053"
"Gardena Community of Schools","9.0086483023702755"
"Glassell Park/Los Feliz Community of Schools","4.5076720578424476"
"H.E.E.T. (C/D) Community of Schools","1.6984561034020076"
"H.E.E.T. (W) Community of Schools","1.750700280112045"
"Hamilton Community of Schools","7.5602933393815679"
"Harbor City/Lomita Community of Schools","5.7958918718412393"
"Historic Central Avenue Community of Schools","3.539572419651706"
"Hollywood Community of Schools","4.5099489473779162"
"Huntington Park/Vernon Community of Schools","5.8222891785477753"
"Kennedy/NAHS/VAAS Community of Schools","10.859289163706977"
"Kreatwn/PcoUnion Community of Schools","4.3617837951008447"
"LA Mid-City Community of Schools","7.1482183065870828"
"Lincoln Heights/El Sereno Community of Schools","8.8081076039874819"
"MacArthur Park Community of Schools","3.7025609379821041"
"Manual Arts/Vermont Square Community of Schools","5.3507887954482616"
"Monroe Community of Schools","4.0180329317979089"
"North Hollywood/Valley Village Community of Schools","14.042556336518775"
"Panorama City Community of Schools","5.3106744556558683"
"Reseda Community of Schools","3.290691456542306"
"Rivera Community of Schools","7.6442504812403138"
"San Fernando Valley/Sylmar Community of Schools","11.872724394491057"
"San Pedro Community of Schools","7.22879953735683"
"SO Los Angeles Community of Schools","7.9942441442161636"
"South Gate Community of Schools","8.3230682158670977"
"South Mid-City Community of Schools",0
"Sun Valley Community of Schools","3.440516903259546"
"Sunland/Tujunga Community of Schools","2.2380877778026451"
"Taft Community of Schools","8.9928057553956826"
"Van Nuys/Valley Glen Community of Schools","7.6228227312573846"
"Venice Community of Schools","9.297568685788665"
"West LA Community of Schools","14.070263377742602"
"Westchester Community of Schools","6.7048095834078314"
"Wilmington Community of Schools","5.2436185162657045"
"District Wide","7.0038728321127186"
