"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","1076.5986780746928"
"Bell/Cudahy/Maywood Community of Schools","605.69011432225238"
"Boyle Heights Community of Schools","743.8107031243419"
"Canoga Park/Chatsworth Community of Schools","615.922959844099"
"Carson Community of Schools","722.49801612932993"
"Cleveland Community of Schools","797.281401124036"
"Downtown Community of Schools","681.713004165035"
"Eagle Rock/Highland Park Community of Schools","463.45338983050846"
"East Los Angeles Community of Schools","723.56496559094751"
"Fairfax Community of Schools","563.79155435759208"
"Fremont Community of Schools","837.67023438149124"
"Gardena Community of Schools","832.24430841185779"
"Glassell Park/Los Feliz Community of Schools","590.01194071784789"
"H.E.E.T. (C/D) Community of Schools","557.39058629232045"
"H.E.E.T. (W) Community of Schools","742.40719910011251"
"Hamilton Community of Schools","548.22682885043685"
"Harbor City/Lomita Community of Schools","822.63426941929379"
"Historic Central Avenue Community of Schools","918.89496232826127"
"Hollywood Community of Schools","519.95992195327744"
"Huntington Park/Vernon Community of Schools","818.82502583671192"
"Kennedy/NAHS/VAAS Community of Schools","707.54375027185336"
"Kreatwn/PcoUnion Community of Schools","847.9486981379896"
"LA Mid-City Community of Schools","545.90835680249859"
"Lincoln Heights/El Sereno Community of Schools","559.87223428499658"
"MacArthur Park Community of Schools","293.67366543159051"
"Manual Arts/Vermont Square Community of Schools","699.62116583160218"
"Monroe Community of Schools","1010.3742223695806"
"North Hollywood/Valley Village Community of Schools","720.43374567781018"
"Panorama City Community of Schools","999.63463646328091"
"Reseda Community of Schools","567.65040883793722"
"Rivera Community of Schools","1093.191903885702"
"San Fernando Valley/Sylmar Community of Schools","810.75260644294963"
"San Pedro Community of Schools","683.93819490448152"
"South Gate Community of Schools","778.930566640064"
"South Mid-City Community of Schools","897.20622418311291"
"Sun Valley Community of Schools","837.28867793717666"
"Sunland/Tujunga Community of Schools","673.30727524902284"
"Taft Community of Schools","574.9262214449667"
"Van Nuys/Valley Glen Community of Schools","778.46371091840615"
"Venice Community of Schools","483.64214780104032"
"West LA Community of Schools","414.28369338964893"
"Westchester Community of Schools","573.48592002057353"
"Wilmington Community of Schools","987.76828986845146"
"District Wide","717.61756580629469"
