"School name","Cases among staff and students"
"Unassigned",664
"102ND ST EEC",0
"107TH ST EL",36
"109TH ST EL",11
"10TH ST EL",15
"112TH ST EEC",1
"112TH ST EL",15
"116TH ST EL",10
"118TH ST EL",11
"122ND ST EL",45
"135TH ST EL",30
"153RD ST EL",26
"156TH ST EL",10
"15TH ST EL",26
"186TH ST EL",23
"1ST ST EL",18
"20TH ST EL",22
"232ND PL EL",6
"24TH ST EEC",4
"24TH ST EL",20
"28TH ST EEC",0
"28TH ST EL",21
"2ND ST EL",15
"32ND ST USC PA MAG",30
"36TH ST EEC",4
"37TH ST EEC",1
"3RD ST EL",16
"42ND ST EL",13
"49TH ST EL",42
"4TH ST EEC",4
"4TH ST EL",14
"4TH ST PC",11
"52ND ST EL",28
"54TH ST EL",15
"59TH ST EL",8
"61ST ST EL",25
"66TH ST EEC",3
"66TH ST EL",37
"6TH AVE EL",14
"74TH ST EL",13
"75TH ST EEC",3
"75TH ST EL",47
"7TH ST EL AI MAG",13
"92ND ST EL",32
"93RD ST EL",33
"95TH ST EEC",1
"95TH ST EL",34
"96TH ST EL",21
"97TH ST EEC",1
"99TH ST EL",21
"9TH ST EL",8
"ACAD ENRICH SCI MAG",9
"ADAMS MS",28
"ADDAMS HS",4
"AGGELER HS",0
"ALBION ST EEC",3
"ALBION ST EL",6
"ALDAMA EL",14
"ALEXANDER SCS",18
"ALEXANDRIA AVE EEC",1
"ALEXANDRIA AVE EL",19
"ALLESANDRO EL",23
"ALTA CALIFORNIA EL",41
"ALTA LOMA EL",20
"AMANECER PC",1
"AMBLER AVE EL",30
"AMESTOY EL",29
"ANATOLA AVE EL",15
"ANDASOL AVE EL",9
"ANGELES MESA EL",12
"ANGELOU COMMUNITY SH",42
"ANGEL'S GATE HS",6
"ANN ST EL",2
"ANNALEE AVE EL",3
"ANNANDALE EL",5
"ANTON EEC",1
"ANTON EL",24
"APPERSON ST EL",14
"ARAGON AVE EL",11
"ARLETA SH",46
"ARLINGTON HTS EL",14
"ARMINTA ST EEC",12
"ARMINTA ST EL",8
"ARROYO SECO MUS/S MAG",13
"ASCOT AVE EL",54
"ATWATER AVE EL",11
"AUDUBON MS",24
"AURORA EL",16
"AVALON GARDENS EL",4
"BACA ARTS ACAD",34
"BAKEWELL PC",6
"BALA",1
"BALBOA EL G/HG/HA MAG",11
"BALDWIN HILLS EL",10
