"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","23.989444644356485"
"Bell/Cudahy/Maywood Community of Schools","9.37207122774133"
"Boyle Heights Community of Schools","21.048881980537882"
"Canoga Park/Chatsworth Community of Schools","11.363797781218484"
"Carson Community of Schools","9.8751245612302618"
"Cleveland Community of Schools","21.48362321305488"
"Downtown Community of Schools","19.084127813871671"
"Eagle Rock/Highland Park Community of Schools","8.964429145152037"
"East Los Angeles Community of Schools","17.173632291924271"
"Fairfax Community of Schools","10.770291228674823"
"Fremont Community of Schools","7.9918047674748083"
"Gardena Community of Schools","14.444604940054889"
"Glassell Park/Los Feliz Community of Schools","16.740686762055756"
"H.E.E.T. (C/D) Community of Schools","9.4257813972778344"
"H.E.E.T. (W) Community of Schools","9.4034454224027684"
"Hamilton Community of Schools","6.0728253212524592"
"Harbor City/Lomita Community of Schools","19.017191541153203"
"Historic Central Avenue Community of Schools","27.600647187589228"
"Hollywood Community of Schools","9.6044872164275148"
"Huntington Park/Vernon Community of Schools","17.202283212135431"
"Kennedy/NAHS/VAAS Community of Schools","13.244545822449506"
"Kreatwn/PcoUnion Community of Schools","15.835755272374991"
"LA Mid-City Community of Schools","18.291567587342236"
"Lincoln Heights/El Sereno Community of Schools","20.835846428845581"
"MacArthur Park Community of Schools","10.38677763207437"
"Manual Arts/Vermont Square Community of Schools","18.532607635434346"
"Monroe Community of Schools","12.687886451874846"
"North Hollywood/Valley Village Community of Schools","11.37915339098771"
"Panorama City Community of Schools","17.418062530844487"
"Reseda Community of Schools","16.413024646892012"
"Rivera Community of Schools","14.529659623605344"
"San Fernando Valley/Sylmar Community of Schools","12.268734357363694"
"San Pedro Community of Schools","18.297145645279336"
"SO Los Angeles Community of Schools","13.2000132000132"
"South Gate Community of Schools","10.341827826816967"
"South Mid-City Community of Schools","2.9522038201517433"
"Sun Valley Community of Schools","14.755682782331546"
"Sunland/Tujunga Community of Schools","17.394329448599755"
"Taft Community of Schools","11.071908354123916"
"Van Nuys/Valley Glen Community of Schools","13.634800754063763"
"Venice Community of Schools","14.6756677428823"
"West LA Community of Schools","14.707324247475242"
"Westchester Community of Schools","7.8781512605042021"
"Wilmington Community of Schools","13.703323055841041"
"District Wide","14.305069446146589"
