"School name","Cases among staff and students"
"Unassigned",137
"102ND ST EEC",0
"107TH ST EL",2
"109TH ST EL",1
"10TH ST EL",1
"112TH ST EEC",0
"112TH ST EL",5
"116TH ST EL",5
"118TH ST EL",9
"122ND ST EL",1
"135TH ST EL",6
"153RD ST EL",7
"156TH ST EL",1
"15TH ST EL",3
"186TH ST EL",8
"1ST ST EL",1
"20TH ST EL",2
"232ND PL EL",5
"24TH ST EEC",1
"24TH ST EL",3
"28TH ST EEC",0
"28TH ST EL",8
"2ND ST EL",1
"32ND ST USC PA MAG",6
"36TH ST EEC",2
"37TH ST EEC",0
"3RD ST EL",1
"42ND ST EL",0
"49TH ST EL",1
"4TH ST EEC",0
"4TH ST EL",1
"4TH ST PC",1
"52ND ST EL",12
"54TH ST EL",2
"59TH ST EL",0
"61ST ST EL",3
"66TH ST EEC",3
"66TH ST EL",7
"6TH AVE EL",1
"74TH ST EL",5
"75TH ST EEC",0
"75TH ST EL",6
"7TH ST EL AI MAG",1
"92ND ST EL",6
"93RD ST EL",6
"95TH ST EEC",1
"95TH ST EL",4
"96TH ST EL",5
"97TH ST EEC",0
"99TH ST EL",5
"9TH ST EL",1
"ACAD ENRICH SCI MAG",1
"ADAMS MS",5
"ADDAMS HS",2
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",8
"ALEXANDER SCS",5
"ALEXANDRIA AVE EEC",1
"ALEXANDRIA AVE EL",4
"ALLESANDRO EL",2
"ALTA CALIFORNIA EL",2
"ALTA LOMA EL",3
"AMANECER PC",1
"AMBLER AVE EL",4
"AMESTOY EL",1
"ANATOLA AVE EL",0
"ANDASOL AVE EL",2
"ANGELES MESA EL",3
"ANGELOU COMMUNITY SH",7
"ANGEL'S GATE HS",1
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",1
"ANTON EEC",1
"ANTON EL",9
"APPERSON ST EL",8
"ARAGON AVE EL",1
"ARLETA SH",7
"ARLINGTON HTS EL",1
"ARMINTA ST EEC",1
"ARMINTA ST EL",5
"ARROYO SECO MUS/S MAG",1
"ASCOT AVE EL",3
"ATWATER AVE EL",3
"AUDUBON MS",4
"AURORA EL",2
"AVALON GARDENS EL",1
"BACA ARTS ACAD",3
"BAKEWELL PC",2
"BALA",1
"BALBOA EL G/HG/HA MAG",2
"BALDWIN HILLS EL",3
"BANCROFT MS",2
"BANDINI ST EL",9
"BANNEKER CTC",0
"BANNING SH",20
"BARRETT EL",7
"BARTON HILL EL",6
"BASSETT ST EL",3
"BEACHY AVE EL",3
"BECKFORD CES",5
"BEETHOVEN ST EL",1
"BELL SH",12
"BELLINGHAM EL",4
"BELMONT SH",2
"BELVEDERE EL",4
"BELVEDERE MS",8
"BERENDO MS",0
"BERNSTEIN SH",6
"BERNSTEIN SH STEM",6
"BERTRAND AVE EL",2
"BETHUNE MS",3
"BLYTHE ST EL",1
"BONITA ST EL",8
"BOYLE HEIGHTS HS",1
"BOYLE HTS STEM MAG",0
"BRADDOCK DR EL",1
"BRADLEY EEC",1
"BRADLEY GLBL AWR MAG",2
"BRAINARD EL",0
"BRAVO SH MEDICAL MAG",16
"BREED ST EL",0
"BRENTWOOD EL SCI MAG",1
"BRIDGE ST EL",3
"BRIDGES SCHOOL",11
"BRIGHT EL",2
"BROAD AVE EL",4
"BROADACRES AV EL",1
