"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","493.94259695910239"
"Bell/Cudahy/Maywood Community of Schools","656.07512703415443"
"Boyle Heights Community of Schools","417.97916161860911"
"Canoga Park/Chatsworth Community of Schools","515.14452866076829"
"Carson Community of Schools","746.24084667126283"
"Cleveland Community of Schools","655.52432514006523"
"Downtown Community of Schools","393.26870312785803"
"Eagle Rock/Highland Park Community of Schools","500.93016045267808"
"East Los Angeles Community of Schools","467.414134840103"
"Fairfax Community of Schools","448.3636447033461"
"Fremont Community of Schools","571.91466091460768"
"Gardena Community of Schools","588.25568897569542"
"Glassell Park/Los Feliz Community of Schools","549.80168592325094"
"H.E.E.T. (C/D) Community of Schools","435.28112790895193"
"H.E.E.T. (W) Community of Schools","454.69576719576719"
"Hamilton Community of Schools","400.31328866069094"
"Harbor City/Lomita Community of Schools","572.6086548390125"
"Historic Central Avenue Community of Schools","572.26167334470586"
"Hollywood Community of Schools","365.36353671903544"
"Huntington Park/Vernon Community of Schools","718.89400921658978"
"Kennedy/NAHS/VAAS Community of Schools","536.25605124550975"
"Kreatwn/PcoUnion Community of Schools","554.20410405304665"
"LA Mid-City Community of Schools","450.9413912427454"
"Lincoln Heights/El Sereno Community of Schools","409.65745663732241"
"MacArthur Park Community of Schools","585.8009674803568"
"Manual Arts/Vermont Square Community of Schools","515.85291472403412"
"Monroe Community of Schools","648.9908982983776"
"North Hollywood/Valley Village Community of Schools","485.96516003621895"
"Panorama City Community of Schools","615.07525800632823"
"Reseda Community of Schools","543.09016424249262"
"Rivera Community of Schools","513.76261053680412"
"San Fernando Valley/Sylmar Community of Schools","638.8856912628064"
"San Pedro Community of Schools","500.47231507048394"
"South Gate Community of Schools","559.18107866159812"
"South Mid-City Community of Schools","414.40390168005626"
"Sun Valley Community of Schools","656.93823703623923"
"Sunland/Tujunga Community of Schools","633.90638470510669"
"Taft Community of Schools","454.06376026610934"
"Van Nuys/Valley Glen Community of Schools","542.54955570745039"
"Venice Community of Schools","448.31716241607785"
"West LA Community of Schools","318.04929764113433"
"Westchester Community of Schools","416.59119724687559"
"Wilmington Community of Schools","784.59675917303036"
"District Wide","534.56950647294923"
