"School name","Cases among staff and students"
"CRENSHAW ARTS TECH",1
"CRENSHAW MAG STEMM",1
"CRESCENT HTS BL EEC",0
"CRESCENT HTS BL EL MG",1
"CRESTWOOD ST STEAM MG",1
"CRUZ EEC",2
"CURTISS MS",1
"DACOTAH EEC",0
"DAHLIA HTS EL",1
"DANA MS",0
"DANUBE AVE EL",3
"DARBY AVE EL",2
"DAYTON EEC",0
"DAYTON HEIGHTS EL",3
"DBM",1
"DE LA TORRE JR EL",0
"DEARBORN EL CA",2
"DEL AMO EL",0
"DEL OLMO EL",0
"DELEVAN DRIVE EL",2
"DENA EL",0
"DENKER AVE EL",0
"DIXIE CYN CC",2
"DODSON MS",3
"DOLORES ST EEC",0
"DOLORES ST EL",0
"DOMINGUEZ EL",2
"DORRIS PLACE EL",0
"DORSEY SH",1
"DREW MS",4
"DREW MS UP PBLC SRVC",4
"DYER ST EL",2
"DYMALLY SH",4
"EAGLE ROCK EL",4
"EAGLE ROCK HS",3
"EAGLE TREE CONTN HS",0
"EARHART HS",0
"EARLY COLLEGE ACAD",0
"EAST VALLEY SH",1
"EASTMAN AVE EEC",1
"EASTMAN AVE EL",1
"EDISON MS",2
"EINSTEIN HS",1
"EL DORADO AVE EL",0
"EL ORO WAY CES",3
"EL SERENO EEC",0
"EL SERENO EL",0
"EL SERENO MS",3
"ELA OCC CTR",2
"ELEMENTARY CDS",0
"ELIZABETH LC",1
"ELLINGTON HS",0
"ELYSIAN HTS ARTS MAG",0
"EMELITA ST EL",2
"EMERSON CC",0
"ENADIA WAY",1
"ENCINO CEL",1
"ERWIN EL",2
"ESCALANTE EEC",0
"ESCALANTE EL",4
"ESCUTIA PC",1
"ESHELMAN AVE EL",1
"ESPERANZA EL",5
"ESTRELLA EEC",0
"ESTRELLA EL",4
"EUCLID AVE EL",2
"EVANS CAS",1
"EVERGREEN AVE EEC",0
"EVERGREEN AVE EL",0
"EVERGREEN HS",0
"FAIR AVE EEC",0
"FAIR AVE EL",6
"FAIRBURN AVE EL",0
"FAIRFAX SH",1
"FARMDALE EL",1
"FERNANGELES EL",0
"FIGUEROA ST EL",2
