"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","5.944949765174484"
"Bell/Cudahy/Maywood Community of Schools","17.271730826718038"
"Boyle Heights Community of Schools","6.4433508646171438"
"Canoga Park/Chatsworth Community of Schools","6.2498263937112863"
"Carson Community of Schools","9.84789478867313"
"Cleveland Community of Schools","7.1796528637840362"
"Downtown Community of Schools","10.568761991479951"
"Eagle Rock/Highland Park Community of Schools","14.36562306400783"
"East Los Angeles Community of Schools","16.386614866756339"
"Fairfax Community of Schools","5.3320820714072434"
"Fremont Community of Schools",6.5792359314005
"Gardena Community of Schools","11.24859392575928"
"Glassell Park/Los Feliz Community of Schools","4.961006488996488"
"H.E.E.T. (C/D) Community of Schools","3.6904454367642177"
"H.E.E.T. (W) Community of Schools","7.5010313918163751"
"Hamilton Community of Schools","7.3561865528909811"
"Harbor City/Lomita Community of Schools","3.7515006002400959"
"Historic Central Avenue Community of Schools","13.186523373112678"
"Hollywood Community of Schools","3.8811965729034261"
"Huntington Park/Vernon Community of Schools","10.23275583857434"
"Kennedy/NAHS/VAAS Community of Schools","3.6153551363350425"
"Kreatwn/PcoUnion Community of Schools","6.6002244076298595"
"LA Mid-City Community of Schools","7.4064015997827459"
"Lincoln Heights/El Sereno Community of Schools","8.72976467828089"
"MacArthur Park Community of Schools","1.3178703215603584"
"Manual Arts/Vermont Square Community of Schools","10.825493052001733"
"Monroe Community of Schools","12.152883271556178"
"North Hollywood/Valley Village Community of Schools","8.1242688158065768"
"Panorama City Community of Schools","5.6740003120700164"
"Reseda Community of Schools","18.9000189000189"
"Rivera Community of Schools","8.2580722656396635"
"San Fernando Valley/Sylmar Community of Schools","9.7206527418316142"
"San Pedro Community of Schools","6.1050061050061046"
"SO Los Angeles Community of Schools","9.9861303744798882"
"South Gate Community of Schools","9.6309538857889265"
"South Mid-City Community of Schools","4.4010210368805565"
"Sun Valley Community of Schools","14.0164508870938"
"Sunland/Tujunga Community of Schools","9.9604073806618683"
"Taft Community of Schools","5.1711655807218948"
"Van Nuys/Valley Glen Community of Schools","5.9447023784754212"
"Venice Community of Schools","11.382214772045282"
"West LA Community of Schools","6.7563002499831084"
"Westchester Community of Schools","5.3705692803437159"
"Wilmington Community of Schools","9.02802071930755"
"District Wide","8.8055205979664724"
