"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","18.108651911468815"
"Bell/Cudahy/Maywood Community of Schools","8.7725217626020644"
"Boyle Heights Community of Schools","11.724978895037989"
"Canoga Park/Chatsworth Community of Schools","11.028246095311617"
"Carson Community of Schools","14.47845876806414"
"Cleveland Community of Schools","7.2341887761561141"
"Downtown Community of Schools","12.269436832849371"
"Eagle Rock/Highland Park Community of Schools","17.440745068629333"
"East Los Angeles Community of Schools","8.16637630662021"
"Fairfax Community of Schools","19.29053691994427"
"Fremont Community of Schools","11.030303921640721"
"Gardena Community of Schools","7.825950853028643"
"Glassell Park/Los Feliz Community of Schools","12.722770823750478"
"H.E.E.T. (C/D) Community of Schools","13.267878466233251"
"H.E.E.T. (W) Community of Schools","5.9581736211793208"
"Hamilton Community of Schools","8.2481029363246456"
"Harbor City/Lomita Community of Schools","13.888012120446941"
"Historic Central Avenue Community of Schools","17.311354324953356"
"Hollywood Community of Schools","4.700485090061294"
"Huntington Park/Vernon Community of Schools","10.884946119516709"
"Kennedy/NAHS/VAAS Community of Schools","14.15478254715312"
"Kreatwn/PcoUnion Community of Schools",19.53125
"LA Mid-City Community of Schools","12.704058946833513"
"Lincoln Heights/El Sereno Community of Schools","6.4714447500404466"
"MacArthur Park Community of Schools","18.229878771306172"
"Manual Arts/Vermont Square Community of Schools","9.7874172963238468"
"Monroe Community of Schools","14.508461847012537"
"North Hollywood/Valley Village Community of Schools","16.956816640289397"
"Panorama City Community of Schools","15.665721976159618"
"Reseda Community of Schools","8.05484454150035"
"Rivera Community of Schools","9.87526777168381"
"San Fernando Valley/Sylmar Community of Schools","13.003901170351105"
"San Pedro Community of Schools","10.313354074634306"
"South Gate Community of Schools","11.617384498740432"
"South Mid-City Community of Schools","10.13273887931908"
"Sun Valley Community of Schools","11.234440300184245"
"Sunland/Tujunga Community of Schools","2.4996875390576179"
"Taft Community of Schools","24.203422648708678"
"Van Nuys/Valley Glen Community of Schools","17.069165435528586"
"Venice Community of Schools","18.309801847255564"
"West LA Community of Schools","29.813664596273291"
"Westchester Community of Schools","5.0408307289041234"
"Wilmington Community of Schools","10.172595028991896"
"District Wide","12.781155994544138"
