"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","1493.3864315175651"
"Bell/Cudahy/Maywood Community of Schools","1213.7909431974315"
"Boyle Heights Community of Schools","1109.219419078574"
"Canoga Park/Chatsworth Community of Schools","1077.82795018551"
"Carson Community of Schools","1549.4791666666665"
"Cleveland Community of Schools","1348.2595964636432"
"Downtown Community of Schools","866.84718410961887"
"Eagle Rock/Highland Park Community of Schools","1003.0477219243085"
"East Los Angeles Community of Schools","1077.7923281785677"
"Fairfax Community of Schools","1125.416609596859"
"Fremont Community of Schools","1285.18321826872"
"Gardena Community of Schools","1400.5149461384813"
"Glassell Park/Los Feliz Community of Schools","1070.0113378684807"
"H.E.E.T. (C/D) Community of Schools","905.65559754269668"
"H.E.E.T. (W) Community of Schools","1271.6763005780347"
"Hamilton Community of Schools","1076.9745566310153"
"Harbor City/Lomita Community of Schools","1413.4747698761541"
"Historic Central Avenue Community of Schools","1408.9530943463528"
"Hollywood Community of Schools","968.35609243697479"
"Huntington Park/Vernon Community of Schools","1373.6571620691313"
"Kennedy/NAHS/VAAS Community of Schools","1134.3804537521814"
"Kreatwn/PcoUnion Community of Schools","1313.4602783401303"
"LA Mid-City Community of Schools","1145.5717678995588"
"Lincoln Heights/El Sereno Community of Schools","868.26753493420165"
"MacArthur Park Community of Schools","1429.824439277709"
"Manual Arts/Vermont Square Community of Schools","1170.723663870396"
"Monroe Community of Schools","1363.8876942925601"
"North Hollywood/Valley Village Community of Schools","1078.1514557949604"
"Panorama City Community of Schools","1441.8536009445102"
"Reseda Community of Schools","1115.9835835160511"
"Rivera Community of Schools","1390.7892281858326"
"San Fernando Valley/Sylmar Community of Schools","1318.7205984668119"
"San Pedro Community of Schools","1259.9181189087353"
"South Gate Community of Schools","1116.4047500533313"
"South Mid-City Community of Schools","1222.8260869565217"
"Sun Valley Community of Schools","1501.9793228025671"
"Sunland/Tujunga Community of Schools","1221.9546203574596"
"Taft Community of Schools","877.244541099715"
"Van Nuys/Valley Glen Community of Schools","1239.1883407798414"
"Venice Community of Schools","834.09856137128861"
"West LA Community of Schools","874.53168268447632"
"Westchester Community of Schools","961.51360851921731"
"Wilmington Community of Schools","1409.2852495585091"
"District Wide","1188.535465222842"
