"School name","Cases among staff and students"
"Unassigned",3081
"102ND ST EEC",13
"107TH ST EL",127
"109TH ST EL",71
"10TH ST EL",83
"112TH ST EEC",5
"112TH ST EL",60
"116TH ST EL",68
"118TH ST EL",72
"122ND ST EL",99
"135TH ST EL",84
"153RD ST EL",73
"156TH ST EL",50
"15TH ST EL",72
"186TH ST EL",97
"1ST ST EL",49
"20TH ST EL",83
"232ND PL EL",66
"24TH ST EEC",7
"24TH ST EL",78
"28TH ST EEC",13
"28TH ST EL",97
"2ND ST EL",26
"32ND ST USC PA MAG",120
"36TH ST EEC",4
"37TH ST EEC",12
"3RD ST EL",41
"42ND ST EL",25
"49TH ST EL",100
"4TH ST EEC",7
"4TH ST EL",42
"4TH ST PC",21
"52ND ST EL",90
"54TH ST EL",42
"59TH ST EL",33
"61ST ST EL",101
"66TH ST EEC",12
"66TH ST EL",135
"6TH AVE EL",56
"74TH ST EL",45
"75TH ST EEC",16
"75TH ST EL",151
"7TH ST EL AI MAG",44
"92ND ST EL",108
"93RD ST EL",164
"95TH ST EEC",11
"95TH ST EL",113
"96TH ST EL",106
"97TH ST EEC",9
"99TH ST EL",72
"9TH ST EL",44
"ACAD ENRICH SCI MAG",29
"ADAMS MS",116
"ADDAMS HS",12
"AGGELER HS",4
"ALBION ST EEC",8
"ALBION ST EL",26
"ALDAMA EL",48
"ALEXANDER SCS",86
"ALEXANDRIA AVE EEC",6
"ALEXANDRIA AVE EL",68
"ALLESANDRO EL",41
"ALTA CALIFORNIA EL",94
"ALTA LOMA EL",43
"AMANECER PC",15
"AMBLER AVE EL",74
"AMESTOY EL",109
"ANATOLA AVE EL",53
"ANDASOL AVE EL",71
"ANGELES MESA EL",32
"ANGELOU COMMUNITY SH",160
"ANGEL'S GATE HS",6
"ANN ST EL",13
"ANNALEE AVE EL",30
"ANNANDALE EL",23
"ANTON EEC",16
"ANTON EL",59
"APPERSON ST EL",52
"ARAGON AVE EL",29
"ARLETA SH",179
"ARLINGTON HTS EL",47
"ARMINTA ST EEC",3
"ARMINTA ST EL",66
"ARROYO SECO MUS/S MAG",52
"ASCOT AVE EL",127
"ATWATER AVE EL",44
"AUDUBON MS",66
"AURORA EL",72
"AVALON GARDENS EL",27
"BACA ARTS ACAD",84
"BAKEWELL PC",26
"BALA",18
"BALBOA EL G/HG/HA MAG",62
"BALDWIN HILLS EL",45
"BANCROFT MS",53
"BANDINI ST EL",44
"BANNEKER CTC",24
"BANNING SH",363
"BARRETT EL",106
"BARTON HILL EL",90
"BASSETT ST EL",84
"BEACHY AVE EL",78
"BECKFORD CES",46
"BEETHOVEN ST EL",36
"BELL SH",362
"BELLINGHAM EL",68
"BELMONT SH",83
"BELVEDERE EL",63
"BELVEDERE MS",71
"BERENDO MS",65
"BERNSTEIN SH",77
"BERNSTEIN SH STEM",85
"BERTRAND AVE EL",64
"BETHUNE MS",141
"BLYTHE ST EL",39
"BONITA ST EL",54
"BOYLE HEIGHTS HS",3
"BOYLE HTS STEM MAG",18
"BRADDOCK DR EL",50
"BRADLEY EEC",9
"BRADLEY GLBL AWR MAG",22
"BRAINARD EL",24
"BRAVO SH MEDICAL MAG",222
"BREED ST EL",47
"BRENTWOOD EL SCI MAG",38
"BRIDGE ST EL",30
"BRIDGES SCHOOL",163
"BRIGHT EL",61
"BROAD AVE EL",82
"BROADACRES AV EL",42
"BROADOUS EEC",7
"BROADOUS EL",47
"BROADWAY EL",39
"BROCKTON AVE EL",35
"BROOKLYN AVE EEC",7
"BROOKLYN AVE EL",66
"BRYSON AVE EL",93
"BUCHANAN ST EL",39
"BUDLONG AVE EL",99
"BURBANK BLVD EL",43
"BURBANK MS A/T/C MAG",129
"BURKE HS",11
"BURROUGHS MS",184
"BURTON ST EL",46
"BUSHNELL WAY EL",32
"BYRD MS",159
"CABRILLO AVE EEC",20
"CABRILLO AVE EL",50
"CAHUENGA EL",44
"CALABASH CA",26
"CALAHAN ST EL",54
"CALVERT CES",34
"CAMELLIA AVE EL",78
"CANFIELD AVE EL",35
"CANOGA PARK EEC",15
"CANOGA PARK EL",75
"CANOGA PRK SH",199
"CANTARA ST EL",77
"CANTERBURY AVE EL",95
"CANYON CEL",25
"CAPISTRANO AVE EL",53
"CARDENAS EL",70
"CARLSON HOSPITAL",15
"CARNEGIE MS",112
"CAROLDALE LC",109
"CARPENTER COMM CHTR",43
"CARSON ACAD ED & EMP",92
"CARSON ACAD MED ARTS",83
"CARSON SH",229
"CARSON ST EL",101
"CARSON-GORE ACADEMY",66
"CARTHAY EL ES MAG",35
"CARVER MS",90
"CASTELAR ST EEC",4
"CASTELAR ST EL",59
"CASTLE HTS EL",50
"CASTLEBAY LN CHTR",50
"CASTRO MS",29
"CATSKILL AVE EL",75
"CDS AGGELER",1
"CDS ALONZO",6
"CDS JOHNSON",3
"CDS JOHNSTON",7
"CDS LONDON",0
"CDS TRI-C",17
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",25
"CENTURY PARK EL",34
"CHANDLER EL",36
"CHAPMAN EL",59
"CHARNOCK ROAD EL",48
"CHASE ST EEC",14
"CHASE ST EL",62
"CHATSWORTH CHS",218
"CHATSWORTH UP/CD MAG",46
"CHAVEZ EL",33
"CHAVEZ LA ARTES MAG",39
"CHAVEZ LA ASE",56
"CHAVEZ LA SJ HUM AC",58
"CHAVEZ LA TECH PREP",53
"CHEREMOYA AVE EL",31
"CHEVIOT HILLS HS",4
"CIENEGA EL",51
"CIMARRON AVE EL",30
"CITY OF ANGELS",340
"CITY TERRACE EL",45
"CLEVELAND CHS",366
"CLEVELAND EEC",17
"CLEVELAND INFANT CTR",2
"CLIFFORD ST M/T MAG",15
"CLINTON MS",88
"CLOVER AVE EL",43
"COCHRAN MS",53
"COEUR D ALENE AVE EL",29
"COHASSET ST EL",78
"COLDWATER CYN EL",88
"COLFAX CEL",43
"COLISEUM ST EL",28
"COLLINS EEC",8
"COLUMBUS AVE EL",57
"COLUMBUS MS",82
"COMMONWLTH AVE EL",82
"COMMUNITY EL MAG CS",33
"COMPTON AVE EL",35
"CONTRERAS LC ALC",70
"CONTRERAS LC BUS TR",57
"CONTRERAS LC GLBL ST",47
"CONTRERAS LC SOC JUS",67
"CORONA AVE EL",84
