"School name","Cases among staff and students"
"Unassigned",3328
"102ND ST EEC",17
"107TH ST EL",136
"109TH ST EL",103
"10TH ST EL",131
"112TH ST EEC",11
"112TH ST EL",71
"116TH ST EL",109
"118TH ST EL",105
"122ND ST EL",106
"135TH ST EL",90
"153RD ST EL",75
"156TH ST EL",52
"15TH ST EL",75
"186TH ST EL",98
"1ST ST EL",91
"20TH ST EL",110
"232ND PL EL",74
"24TH ST EEC",13
"24TH ST EL",85
"28TH ST EEC",16
"28TH ST EL",107
"2ND ST EL",47
"32ND ST USC PA MAG",109
"36TH ST EEC",8
"37TH ST EEC",13
"3RD ST EL",57
"42ND ST EL",27
"49TH ST EL",115
"4TH ST EEC",8
"4TH ST EL",53
"4TH ST PC",24
"52ND ST EL",106
"54TH ST EL",40
"59TH ST EL",45
"61ST ST EL",119
"66TH ST EEC",13
"66TH ST EL",158
"6TH AVE EL",60
"74TH ST EL",50
"75TH ST EEC",16
"75TH ST EL",194
"7TH ST EL AI MAG",47
"92ND ST EL",169
"93RD ST EL",191
"95TH ST EEC",11
"95TH ST EL",123
"96TH ST EL",120
"97TH ST EEC",12
"99TH ST EL",116
"9TH ST EL",62
"ACAD ENRICH SCI MAG",27
"ADAMS MS",127
"ADDAMS HS",13
"AGGELER HS",7
"ALBION ST EEC",9
"ALBION ST EL",36
"ALDAMA EL",47
"ALEXANDER SCS",91
"ALEXANDRIA AVE EEC",11
"ALEXANDRIA AVE EL",98
"ALLESANDRO EL",41
"ALTA CALIFORNIA EL",108
"ALTA LOMA EL",66
"AMANECER PC",21
"AMBLER AVE EL",78
"AMESTOY EL",120
"ANATOLA AVE EL",56
"ANDASOL AVE EL",71
"ANGELES MESA EL",47
"ANGELOU COMMUNITY SH",181
"ANGEL'S GATE HS",9
"ANN ST EL",17
"ANNALEE AVE EL",42
"ANNANDALE EL",23
"ANTON EEC",21
"ANTON EL",87
"APPERSON ST EL",53
"ARAGON AVE EL",31
"ARLETA SH",174
"ARLINGTON HTS EL",56
"ARMINTA ST EEC",5
"ARMINTA ST EL",94
"ARROYO SECO MUS/S MAG",50
"ASCOT AVE EL",131
"ATWATER AVE EL",46
"AUDUBON MS",70
"AURORA EL",95
"AVALON GARDENS EL",40
"BACA ARTS ACAD",129
"BAKEWELL PC",26
"BALA",18
"BALBOA EL G/HG/HA MAG",60
"BALDWIN HILLS EL",65
"BANCROFT MS",54
"BANDINI ST EL",58
"BANNEKER CTC",26
"BANNING SH",379
"BARRETT EL",134
"BARTON HILL EL",92
"BASSETT ST EL",99
"BEACHY AVE EL",100
"BECKFORD CES",54
"BEETHOVEN ST EL",37
"BELL SH",360
"BELLINGHAM EL",75
"BELMONT SH",93
"BELVEDERE EL",94
"BELVEDERE MS",84
"BERENDO MS",84
"BERNSTEIN SH",84
"BERNSTEIN SH STEM",87
"BERTRAND AVE EL",76
"BETHUNE MS",144
"BLYTHE ST EL",46
"BONITA ST EL",61
"BOYLE HEIGHTS HS",4
"BOYLE HTS STEM MAG",17
"BRADDOCK DR EL",74
"BRADLEY EEC",14
"BRADLEY GLBL AWR MAG",23
"BRAINARD EL",26
"BRAVO SH MEDICAL MAG",231
"BREED ST EL",69
"BRENTWOOD EL SCI MAG",42
"BRIDGE ST EL",40
"BRIDGES SCHOOL",176
"BRIGHT EL",71
"BROAD AVE EL",88
"BROADACRES AV EL",60
"BROADOUS EEC",10
"BROADOUS EL",78
"BROADWAY EL",54
"BROCKTON AVE EL",49
"BROOKLYN AVE EEC",10
"BROOKLYN AVE EL",87
"BRYSON AVE EL",128
"BUCHANAN ST EL",58
"BUDLONG AVE EL",174
"BURBANK BLVD EL",50
"BURBANK MS A/T/C MAG",145
"BURKE HS",12
"BURROUGHS MS",185
"BURTON ST EL",49
"BUSHNELL WAY EL",27
"BYRD MS",156
"CABRILLO AVE EEC",20
"CABRILLO AVE EL",59
"CAHUENGA EL",55
"CALABASH CA",22
"CALAHAN ST EL",56
"CALVERT CES",40
"CAMELLIA AVE EL",98
"CANFIELD AVE EL",39
"CANOGA PARK EEC",22
"CANOGA PARK EL",83
"CANOGA PRK SH",208
"CANTARA ST EL",78
"CANTERBURY AVE EL",95
"CANYON CEL",29
"CAPISTRANO AVE EL",54
"CARDENAS EL",83
"CARLSON HOSPITAL",18
"CARNEGIE MS",115
"CAROLDALE LC",128
"CARPENTER COMM CHTR",45
"CARSON ACAD ED & EMP",92
"CARSON ACAD MED ARTS",76
"CARSON SH",220
"CARSON ST EL",102
"CARSON-GORE ACADEMY",90
"CARTHAY EL ES MAG",35
"CARVER MS",102
"CASTELAR ST EEC",9
"CASTELAR ST EL",77
"CASTLE HTS EL",39
"CASTLEBAY LN CHTR",50
"CASTRO MS",31
"CATSKILL AVE EL",88
"CDS AGGELER",1
"CDS ALONZO",6
"CDS JOHNSON",3
"CDS JOHNSTON",11
"CDS LONDON",1
"CDS TRI-C",21
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",30
"CENTURY PARK EL",43
"CHANDLER EL",59
"CHAPMAN EL",58
"CHARNOCK ROAD EL",57
"CHASE ST EEC",18
"CHASE ST EL",64
"CHATSWORTH CHS",259
"CHATSWORTH UP/CD MAG",46
"CHAVEZ EL",38
"CHAVEZ LA ARTES MAG",41
"CHAVEZ LA ASE",56
"CHAVEZ LA SJ HUM AC",52
"CHAVEZ LA TECH PREP",50
"CHEREMOYA AVE EL",32
"CHEVIOT HILLS HS",5
"CIENEGA EL",60
"CIMARRON AVE EL",52
"CITY OF ANGELS",382
"CITY TERRACE EL",56
"CLEVELAND CHS",341
"CLEVELAND EEC",24
"CLEVELAND INFANT CTR",2
"CLIFFORD ST M/T MAG",21
"CLINTON MS",98
"CLOVER AVE EL",42
"COCHRAN MS",66
"COEUR D ALENE AVE EL",37
"COHASSET ST EL",122
"COLDWATER CYN EL",95
"COLFAX CEL",43
"COLISEUM ST EL",34
"COLLINS EEC",8
"COLUMBUS AVE EL",62
"COLUMBUS MS",90
"COMMONWLTH AVE EL",84
"COMMUNITY EL MAG CS",31
"COMPTON AVE EL",58
"CONTRERAS LC ALC",66
