"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","878.40305108126745"
"Bell/Cudahy/Maywood Community of Schools","654.30752453653224"
"Boyle Heights Community of Schools","644.84416266069024"
"Canoga Park/Chatsworth Community of Schools","548.33339237008965"
"Carson Community of Schools","590.21223700566281"
"Cleveland Community of Schools","667.60888161565072"
"Downtown Community of Schools","551.34450677969085"
"Eagle Rock/Highland Park Community of Schools","502.71484740685264"
"East Los Angeles Community of Schools","589.44865422354644"
"Fairfax Community of Schools","389.98518056313861"
"Fremont Community of Schools","888.570674906734"
"Gardena Community of Schools","805.26333824486858"
"Glassell Park/Los Feliz Community of Schools","531.249687353056"
"H.E.E.T. (C/D) Community of Schools","569.30642561266757"
"H.E.E.T. (W) Community of Schools","790.25622224937877"
"Hamilton Community of Schools","431.31282363691747"
"Harbor City/Lomita Community of Schools","560.88907440258788"
"Historic Central Avenue Community of Schools","960.04559479590432"
"Hollywood Community of Schools","499.89132797217997"
"Huntington Park/Vernon Community of Schools","775.02793428904261"
"Kennedy/NAHS/VAAS Community of Schools","532.33751787700623"
"Kreatwn/PcoUnion Community of Schools","804.58556162568527"
"LA Mid-City Community of Schools","729.20119323831625"
"Lincoln Heights/El Sereno Community of Schools","456.04599297394947"
"MacArthur Park Community of Schools","866.50161873928778"
"Manual Arts/Vermont Square Community of Schools","772.283055439978"
"Monroe Community of Schools","752.47490300468019"
"North Hollywood/Valley Village Community of Schools","570.24364955935721"
"Panorama City Community of Schools","724.26808119963277"
"Reseda Community of Schools","700.23494725203852"
"Rivera Community of Schools","897.72981651730231"
"San Fernando Valley/Sylmar Community of Schools","703.35309209944262"
"San Pedro Community of Schools","545.514412081409"
"South Gate Community of Schools","723.92965002664766"
"South Mid-City Community of Schools","978.75669850455427"
"Sun Valley Community of Schools","750.159608427325"
"Sunland/Tujunga Community of Schools","599.43582510578278"
"Taft Community of Schools","394.48448215738694"
"Van Nuys/Valley Glen Community of Schools","641.5343915343916"
"Venice Community of Schools","437.23072985539392"
"West LA Community of Schools","332.29616651058814"
"Westchester Community of Schools","456.5273146960759"
"Wilmington Community of Schools","701.40741422132282"
"District Wide","644.25813739714044"
