"School name","Cases among staff and students"
"Unassigned",519
"102ND ST EEC",0
"107TH ST EL",33
"109TH ST EL",11
"10TH ST EL",15
"112TH ST EEC",1
"112TH ST EL",14
"116TH ST EL",10
"118TH ST EL",11
"122ND ST EL",27
"135TH ST EL",29
"153RD ST EL",21
"156TH ST EL",10
"15TH ST EL",26
"186TH ST EL",5
"1ST ST EL",18
"20TH ST EL",15
"232ND PL EL",7
"24TH ST EEC",3
"24TH ST EL",13
"28TH ST EEC",0
"28TH ST EL",17
"2ND ST EL",15
"32ND ST USC PA MAG",11
"36TH ST EEC",4
"37TH ST EEC",0
"3RD ST EL",17
"42ND ST EL",6
"49TH ST EL",24
"4TH ST EEC",4
"4TH ST EL",10
"4TH ST PC",8
"52ND ST EL",20
"54TH ST EL",11
"59TH ST EL",6
"61ST ST EL",24
"66TH ST EEC",1
"66TH ST EL",34
"6TH AVE EL",10
"74TH ST EL",9
"75TH ST EEC",3
"75TH ST EL",41
"7TH ST EL AI MAG",4
"92ND ST EL",31
"93RD ST EL",31
"95TH ST EEC",1
"95TH ST EL",33
"96TH ST EL",20
"97TH ST EEC",1
"99TH ST EL",20
"9TH ST EL",4
"ACAD ENRICH SCI MAG",7
"ADAMS MS",22
"ADDAMS HS",3
"AGGELER HS",0
"ALBION ST EEC",3
"ALBION ST EL",8
"ALDAMA EL",5
"ALEXANDER SCS",16
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",15
"ALLESANDRO EL",20
"ALTA CALIFORNIA EL",23
"ALTA LOMA EL",13
"AMANECER PC",1
"AMBLER AVE EL",21
"AMESTOY EL",24
"ANATOLA AVE EL",14
"ANDASOL AVE EL",7
"ANGELES MESA EL",10
"ANGELOU COMMUNITY SH",37
"ANGEL'S GATE HS",6
"ANN ST EL",2
"ANNALEE AVE EL",4
"ANNANDALE EL",4
"ANTON EEC",1
"ANTON EL",21
"APPERSON ST EL",10
"ARAGON AVE EL",11
"ARLETA SH",31
"ARLINGTON HTS EL",12
"ARMINTA ST EEC",4
"ARMINTA ST EL",7
"ARROYO SECO MUS/S MAG",10
"ASCOT AVE EL",19
"ATWATER AVE EL",4
"AUDUBON MS",13
"AURORA EL",13
"AVALON GARDENS EL",4
"BACA ARTS ACAD",28
"BAKEWELL PC",3
"BALA",1
"BALBOA EL G/HG/HA MAG",7
"BALDWIN HILLS EL",10
"BANCROFT MS",17
"BANDINI ST EL",5
"BANNEKER CTC",7
"BANNING SH",54
"BARRETT EL",24
"BARTON HILL EL",5
"BASSETT ST EL",15
"BEACHY AVE EL",6
"BECKFORD CES",8
"BEETHOVEN ST EL",6
"BELL SH",53
"BELLINGHAM EL",12
"BELMONT SH",11
"BELVEDERE EL",36
"BELVEDERE MS",11
"BERENDO MS",21
"BERNSTEIN SH",23
"BERNSTEIN SH STEM",19
"BERTRAND AVE EL",8
"BETHUNE MS",29
"BLYTHE ST EL",7
"BONITA ST EL",10
"BOYLE HEIGHTS HS",1
"BOYLE HTS STEM MAG",1
"BRADDOCK DR EL",6
"BRADLEY EEC",5
"BRADLEY GLBL AWR MAG",6
"BRAINARD EL",2
"BRAVO SH MEDICAL MAG",33
"BREED ST EL",8
"BRENTWOOD EL SCI MAG",9
"BRIDGE ST EL",11
"BRIDGES SCHOOL",38
"BRIGHT EL",17
"BROAD AVE EL",18
"BROADACRES AV EL",8
"BROADOUS EEC",2
"BROADOUS EL",12
"BROADWAY EL",4
"BROCKTON AVE EL",8
"BROOKLYN AVE EEC",4
"BROOKLYN AVE EL",9
"BRYSON AVE EL",31
"BUCHANAN ST EL",0
"BUDLONG AVE EL",25
"BURBANK BLVD EL",8
"BURBANK MS A/T/C MAG",28
"BURKE HS",2
"BURROUGHS MS",28
"BURTON ST EL",8
"BUSHNELL WAY EL",3
"BYRD MS",35
"CABRILLO AVE EEC",4
"CABRILLO AVE EL",3
"CAHUENGA EL",7
"CALABASH CA",15
"CALAHAN ST EL",14
"CALVERT CES",8
"CAMELLIA AVE EL",22
"CANFIELD AVE EL",7
"CANOGA PARK EEC",4
"CANOGA PARK EL",14
"CANOGA PRK SH",27
"CANTARA ST EL",6
"CANTERBURY AVE EL",21
"CANYON CEL",4
"CAPISTRANO AVE EL",15
"CARDENAS EL",15
"CARLSON HOSPITAL",2
"CARNEGIE MS",11
"CAROLDALE LC",26
"CARPENTER COMM CHTR",16
"CARSON ACAD ED & EMP",8
"CARSON ACAD MED ARTS",6
"CARSON SH",39
"CARSON ST EL",19
"CARSON-GORE ACADEMY",11
"CARTHAY EL ES MAG",7
"CARVER MS",20
"CASTELAR ST EEC",7
"CASTELAR ST EL",16
"CASTLE HTS EL",4
"CASTLEBAY LN CHTR",13
"CASTRO MS",3
"CATSKILL AVE EL",8
"CDS AGGELER",0
"CDS ALONZO",0
"CDS JOHNSON",0
"CDS JOHNSTON",3
"CDS LONDON",0
"CDS TRI-C",3
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",8
"CENTURY PARK EL",17
"CHANDLER EL",13
"CHAPMAN EL",7
"CHARNOCK ROAD EL",2
"CHASE ST EEC",2
"CHASE ST EL",17
"CHATSWORTH CHS",43
"CHATSWORTH UP/CD MAG",10
"CHAVEZ EL",5
"CHAVEZ LA ARTES MAG",10
"CHAVEZ LA ASE",13
"CHAVEZ LA SJ HUM AC",9
"CHAVEZ LA TECH PREP",4
"CHEREMOYA AVE EL",5
"CHEVIOT HILLS HS",0
"CIENEGA EL",7
"CIMARRON AVE EL",11
"CITY OF ANGELS",36
"CITY TERRACE EL",14
"CLEVELAND CHS",60
"CLEVELAND EEC",1
"CLEVELAND INFANT CTR",0
"CLIFFORD ST M/T MAG",1
"CLINTON MS",12
"CLOVER AVE EL",7
"COCHRAN MS",12
"COEUR D ALENE AVE EL",1
"COHASSET ST EL",16
"COLDWATER CYN EL",30
"COLFAX CEL",9
"COLISEUM ST EL",3
"COLLINS EEC",0
"COLUMBUS AVE EL",6
"COLUMBUS MS",19
"COMMONWLTH AVE EL",19
"COMMUNITY EL MAG CS",3
"COMPTON AVE EL",13
"CONTRERAS LC ALC",10
"CONTRERAS LC BUS TR",9
"CONTRERAS LC GLBL ST",6
"CONTRERAS LC SOC JUS",11
"CORONA AVE EL",26
"CORTINES SCH OF VAPA",25
"COUGHLIN EL",17
"COWAN AVE EL",9
"CRENSHAW ARTS TECH",3
"CRENSHAW MAG STEMM",6
"CRESCENT HTS BL EEC",2
"CRESCENT HTS BL EL MG",7
"CRESTWOOD ST STEAM MG",5
"CRUZ EEC",3
"CURTISS MS",5
"DACOTAH EEC",3
"DAHLIA HTS EL",3
"DANA MS",35
"DANUBE AVE EL",7
"DARBY AVE EL",11
"DAYTON EEC",1
"DAYTON HEIGHTS EL",9
"DBM",27
"DE LA TORRE JR EL",24
"DEARBORN EL CA",19
"DEL AMO EL",4
"DEL OLMO EL",18
"DELEVAN DRIVE EL",11
"DENA EL",10
"DENKER AVE EL",21
"DIXIE CYN CC",10
"DODSON MS",12
"DOLORES ST EEC",5
"DOLORES ST EL",9
"DOMINGUEZ EL",11
"DORRIS PLACE EL",5
"DORSEY SH",15
"DREW MS",29
"DREW MS UP PBLC SRVC",5
"DYER ST EL",24
"DYMALLY SH",18
"EAGLE ROCK EL",9
"EAGLE ROCK HS",25
"EAGLE TREE CONTN HS",0
"EARHART HS",0
"EARLY COLLEGE ACAD",3
"EAST VALLEY SH",22
"EAST VALLEY SKLS CTR",0
"EASTMAN AVE EEC",1
"EASTMAN AVE EL",33
"EDISON MS",28
"EINSTEIN HS",0
"EL DORADO AVE EL",15
"EL ORO WAY CES",9
"EL SERENO EEC",2
"EL SERENO EL",11
"EL SERENO MS",23
"ELA OCC CTR",8
"ELEMENTARY CDS",0
"ELIZABETH LC",52
"ELLINGTON HS",0
"ELYSIAN HTS ARTS MAG",7
"EMELITA ST EL",6
"EMERSON CC",6
"ENADIA WAY",5
"ENCINO CEL",12
"ERWIN EL",27
"ESCALANTE EEC",2
"ESCALANTE EL",25
"ESCUTIA PC",19
"ESHELMAN AVE EL",18
"ESPERANZA EL",32
"ESTRELLA EEC",3
"ESTRELLA EL",14
"EUCLID AVE EL",26
"EVANS CAS",11
