"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools",0
"Bell/Cudahy/Maywood Community of Schools","5.4502224372032178"
"Boyle Heights Community of Schools","11.116051578479325"
"Canoga Park/Chatsworth Community of Schools","10.450412791305256"
"Carson Community of Schools","11.852338101620123"
"Cleveland Community of Schools","4.5858096705554336"
"Downtown Community of Schools","9.1155436593106991"
"Eagle Rock/Highland Park Community of Schools",8.857160571464
"East Los Angeles Community of Schools","8.9639099196006224"
"Fairfax Community of Schools","31.36864649698753"
"Fremont Community of Schools","5.9378456011697551"
"Gardena Community of Schools","6.7587356658481088"
"Glassell Park/Los Feliz Community of Schools","6.8960761326805047"
"H.E.E.T. (C/D) Community of Schools","5.7433855343263005"
"H.E.E.T. (W) Community of Schools",0
"Hamilton Community of Schools","17.846732263322586"
"Harbor City/Lomita Community of Schools","8.9277743058655474"
"Historic Central Avenue Community of Schools","7.76503018655485"
"Hollywood Community of Schools","16.160310277957336"
"Huntington Park/Vernon Community of Schools","4.7062145563216236"
"Kennedy/NAHS/VAAS Community of Schools","9.3178609058394333"
"Kreatwn/PcoUnion Community of Schools","12.201188208020872"
"LA Mid-City Community of Schools","8.9952325267608177"
"Lincoln Heights/El Sereno Community of Schools","2.7300325419879004"
"MacArthur Park Community of Schools","9.2081031307550649"
"Manual Arts/Vermont Square Community of Schools","2.9579089555623481"
"Monroe Community of Schools","5.1998474711408464"
"North Hollywood/Valley Village Community of Schools","8.1488302354197053"
"Panorama City Community of Schools","2.8959485679534329"
"Reseda Community of Schools","7.2594622553334363"
"Rivera Community of Schools","3.8346793057696584"
"San Fernando Valley/Sylmar Community of Schools","4.9952233177024468"
"San Pedro Community of Schools","2.6189894192827459"
"South Gate Community of Schools","7.403842594306445"
"South Mid-City Community of Schools","2.925002925002925"
"Sun Valley Community of Schools","8.3157568472697854"
"Sunland/Tujunga Community of Schools","5.0363879025962586"
"Taft Community of Schools","18.695755344469291"
"Van Nuys/Valley Glen Community of Schools","8.931920898908519"
"Venice Community of Schools","24.625234709268323"
"West LA Community of Schools","15.972846161525407"
"Westchester Community of Schools","2.5297882567229122"
"Wilmington Community of Schools","2.2766078542970973"
"District Wide","8.5673396138855811"
