"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","2.0132066355290705"
"Bell/Cudahy/Maywood Community of Schools","19.78725291520821"
"Boyle Heights Community of Schools","16.827462418667263"
"Canoga Park/Chatsworth Community of Schools","53.771325218751528"
"Carson Community of Schools","29.093289450955076"
"Cleveland Community of Schools","32.920606470728096"
"Downtown Community of Schools","24.89957172736629"
"Eagle Rock/Highland Park Community of Schools","38.402457757296467"
"East Los Angeles Community of Schools","20.106076888411273"
"Fairfax Community of Schools","55.291145827686769"
"Fremont Community of Schools","16.323986614330977"
"Gardena Community of Schools","39.360780917893408"
"Glassell Park/Los Feliz Community of Schools","48.26587602564986"
"H.E.E.T. (C/D) Community of Schools","20.999980909108267"
"H.E.E.T. (W) Community of Schools","29.857282191126416"
"Hamilton Community of Schools","58.440474202704955"
"Harbor City/Lomita Community of Schools","51.038636247639467"
"Historic Central Avenue Community of Schools","15.526895494289013"
"Hollywood Community of Schools","37.287033673059639"
"Huntington Park/Vernon Community of Schools","24.315441874328382"
"Kennedy/NAHS/VAAS Community of Schools","38.673914444707044"
"Kreatwn/PcoUnion Community of Schools","37.529789270233252"
"LA Mid-City Community of Schools","50.202095615683653"
"Lincoln Heights/El Sereno Community of Schools","22.013582380328664"
"MacArthur Park Community of Schools","18.358729575913348"
"Manual Arts/Vermont Square Community of Schools","40.352344864918066"
"Monroe Community of Schools","29.373142580689748"
"North Hollywood/Valley Village Community of Schools","47.16098973028793"
"Panorama City Community of Schools","27.466967357677738"
"Reseda Community of Schools","39.970204029723291"
"Rivera Community of Schools","13.051222208573886"
"San Fernando Valley/Sylmar Community of Schools","36.141124861355166"
"San Pedro Community of Schools","40.246377825995658"
"South Gate Community of Schools","22.256706378401102"
"South Mid-City Community of Schools","20.408163265306122"
"Sun Valley Community of Schools","39.97375308288143"
"Sunland/Tujunga Community of Schools","25.075854459740718"
"Taft Community of Schools","69.8620764161475"
"Van Nuys/Valley Glen Community of Schools","42.916152566922378"
"Venice Community of Schools","74.960979216298369"
"West LA Community of Schools","98.6596242961782"
"Westchester Community of Schools","38.102011786222313"
"Wilmington Community of Schools","26.212319790301443"
"District Wide","35.769607352776241"
