"School name","Cases among staff and students"
"Unassigned",67
"102ND ST EEC",0
"107TH ST EL",3
"109TH ST EL",1
"10TH ST EL",3
"112TH ST EEC",1
"112TH ST EL",0
"116TH ST EL",2
"118TH ST EL",3
"122ND ST EL",2
"135TH ST EL",3
"153RD ST EL",4
"156TH ST EL",3
"15TH ST EL",1
"186TH ST EL",5
"1ST ST EL",0
"20TH ST EL",0
"232ND PL EL",0
"24TH ST EEC",0
"24TH ST EL",2
"28TH ST EEC",0
"28TH ST EL",0
"2ND ST EL",2
"32ND ST USC PA MAG",5
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",1
"42ND ST EL",0
"49TH ST EL",0
"4TH ST EEC",0
"4TH ST EL",2
"4TH ST PC",1
"52ND ST EL",1
"54TH ST EL",0
"59TH ST EL",1
"61ST ST EL",1
"66TH ST EEC",0
"66TH ST EL",1
"6TH AVE EL",1
"74TH ST EL",0
"75TH ST EEC",0
"75TH ST EL",4
"7TH ST EL AI MAG",1
"92ND ST EL",4
"93RD ST EL",1
"95TH ST EEC",0
"95TH ST EL",2
"96TH ST EL",1
"97TH ST EEC",0
"99TH ST EL",1
"9TH ST EL",2
"ACAD ENRICH SCI MAG",1
"ADAMS MS",2
"ADDAMS HS",0
"AGGELER HS",1
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",1
"ALEXANDER SCS",0
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",2
"ALLESANDRO EL",1
"ALTA CALIFORNIA EL",6
"ALTA LOMA EL",1
"AMANECER PC",0
"AMBLER AVE EL",2
"AMESTOY EL",0
"ANATOLA AVE EL",1
"ANDASOL AVE EL",0
"ANGELES MESA EL",2
"ANGELOU COMMUNITY SH",4
"ANGEL'S GATE HS",0
"ANN ST EL",1
"ANNALEE AVE EL",1
"ANNANDALE EL",0
"ANTON EEC",0
"ANTON EL",1
"APPERSON ST EL",1
"ARAGON AVE EL",1
"ARLETA SH",1
"ARLINGTON HTS EL",2
"ARMINTA ST EEC",1
"ARMINTA ST EL",0
"ARROYO SECO MUS/S MAG",0
"ASCOT AVE EL",1
"ATWATER AVE EL",1
"AUDUBON MS",1
"AURORA EL",1
"AVALON GARDENS EL",5
"BACA ARTS ACAD",1
"BAKEWELL PC",0
"BALA",0
"BALBOA EL G/HG/HA MAG",4
"BALDWIN HILLS EL",2
"BANCROFT MS",0
"BANDINI ST EL",0
"BANNEKER CTC",0
"BANNING SH",3
"BARRETT EL",3
