"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","379.19497110412652"
"Bell/Cudahy/Maywood Community of Schools","374.36504070697936"
"Boyle Heights Community of Schools","313.43555136538811"
"Canoga Park/Chatsworth Community of Schools","335.57758200456385"
"Carson Community of Schools","278.40052923664967"
"Cleveland Community of Schools","388.3549137555496"
"Downtown Community of Schools","304.32242481317741"
"Eagle Rock/Highland Park Community of Schools","328.03337948722714"
"East Los Angeles Community of Schools","329.79087127471655"
"Fairfax Community of Schools","245.00565397663021"
"Fremont Community of Schools","498.20780450415924"
"Gardena Community of Schools","479.0036723614881"
"Glassell Park/Los Feliz Community of Schools",295.49765398822
"H.E.E.T. (C/D) Community of Schools","289.11083255832762"
"H.E.E.T. (W) Community of Schools","406.19034079369595"
"Hamilton Community of Schools","270.52600931677017"
"Harbor City/Lomita Community of Schools","320.95428675381379"
"Historic Central Avenue Community of Schools","525.39747887627675"
"Hollywood Community of Schools","246.58767675527452"
"Huntington Park/Vernon Community of Schools","491.57358959542142"
"Kennedy/NAHS/VAAS Community of Schools","324.39680216841236"
"Kreatwn/PcoUnion Community of Schools","501.01829099218833"
"LA Mid-City Community of Schools","328.513378014671"
"Lincoln Heights/El Sereno Community of Schools","272.94577748808405"
"MacArthur Park Community of Schools","345.35998699821226"
"Manual Arts/Vermont Square Community of Schools","530.71352610523115"
"Monroe Community of Schools","468.05665309099749"
"North Hollywood/Valley Village Community of Schools","336.23093324585858"
"Panorama City Community of Schools","400.94134053865594"
"Reseda Community of Schools","305.61113048585742"
"Rivera Community of Schools","548.62074279550006"
"San Fernando Valley/Sylmar Community of Schools","466.26370714348803"
"San Pedro Community of Schools","341.55126373967585"
"South Gate Community of Schools","382.39346707623855"
"South Mid-City Community of Schools","486.56060628400394"
"Sun Valley Community of Schools","440.12080557283997"
"Sunland/Tujunga Community of Schools","397.73442416614222"
"Taft Community of Schools","281.26336544665054"
"Van Nuys/Valley Glen Community of Schools","363.27232835981943"
"Venice Community of Schools","238.51927235720646"
"West LA Community of Schools","181.9772176588279"
"Westchester Community of Schools","274.38008051901431"
"Wilmington Community of Schools","362.82637150664794"
"District Wide","367.13945230949423"
