"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","20.670980011162328"
"Bell/Cudahy/Maywood Community of Schools","15.708081022281913"
"Boyle Heights Community of Schools","7.0957212800681191"
"Canoga Park/Chatsworth Community of Schools","15.941335883947074"
"Carson Community of Schools","11.738466956215518"
"Cleveland Community of Schools","14.897505164468457"
"Downtown Community of Schools","10.956982885192733"
"Eagle Rock/Highland Park Community of Schools","11.018676656933502"
"East Los Angeles Community of Schools","16.521961817746238"
"Fairfax Community of Schools","7.65579543714592"
"Fremont Community of Schools","15.461610448793587"
"Gardena Community of Schools","14.538934053818286"
"Glassell Park/Los Feliz Community of Schools","12.834361864832777"
"H.E.E.T. (C/D) Community of Schools","13.875013875013876"
"H.E.E.T. (W) Community of Schools","15.908367801463569"
"Hamilton Community of Schools","15.304134898992711"
"Harbor City/Lomita Community of Schools","15.968179772671187"
"Historic Central Avenue Community of Schools","15.466309223075735"
"Hollywood Community of Schools","23.829381627546763"
"Huntington Park/Vernon Community of Schools","12.488968078197592"
"Jefferson/South Central (West) Community of Schools","16.802486768041671"
"Kennedy/NAHS/VAAS Community of Schools","10.036982419839253"
"Kreatwn/PcoUnion Community of Schools","5.319375292565641"
"LA Mid-City Community of Schools","15.171744143706761"
"Lincoln Heights/El Sereno Community of Schools","15.981333802119124"
"MacArthur Park Community of Schools","12.769353551476456"
"Manual Arts/Vermont Square Community of Schools","10.305500847341181"
"Monroe Community of Schools","11.084938340030485"
"North Hollywood/Valley Village Community of Schools","18.422991893883566"
"Panorama City Community of Schools","9.373828271466067"
"Reseda Community of Schools","31.193712957465863"
"Rivera Community of Schools","15.596654107255729"
"San Fernando Valley/Sylmar Community of Schools","19.242253334218038"
"San Pedro Community of Schools","16.092046506014402"
"South Gate Community of Schools","18.4112506904219"
"South Mid-City Community of Schools","20.028039254956941"
"Sun Valley Community of Schools","13.257117902567982"
"Sunland/Tujunga Community of Schools","20.700183714130464"
"Taft Community of Schools","18.443526723066437"
"Van Nuys/Valley Glen Community of Schools","14.754655735391287"
"Venice Community of Schools","23.63536846295467"
"West LA Community of Schools","8.7555132372415763"
"Westchester Community of Schools","13.850799191113326"
"Wilmington Community of Schools","14.640752534680283"
"District Wide","14.994177100516671"
