"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","1570.1708118635127"
"Bell/Cudahy/Maywood Community of Schools","1191.772877088255"
"Boyle Heights Community of Schools","1307.367560942394"
"Canoga Park/Chatsworth Community of Schools","1003.8725903485331"
"Carson Community of Schools","1343.188314631687"
"Cleveland Community of Schools","1135.7353699105092"
"Downtown Community of Schools","976.80867154020677"
"Eagle Rock/Highland Park Community of Schools","948.4926424890283"
"East Los Angeles Community of Schools","1142.9154548701465"
"Fairfax Community of Schools","980.45875506645837"
"Fremont Community of Schools","1464.1343825665861"
"Gardena Community of Schools","1174.5622713572463"
"Glassell Park/Los Feliz Community of Schools","1035.1529065844989"
"H.E.E.T. (C/D) Community of Schools","958.50648401445062"
"H.E.E.T. (W) Community of Schools","1276.8319763138418"
"Hamilton Community of Schools","923.64532019704438"
"Harbor City/Lomita Community of Schools","1328.9036544850499"
"Historic Central Avenue Community of Schools","1427.8802002587167"
"Hollywood Community of Schools","894.67175654605091"
"Huntington Park/Vernon Community of Schools","1365.8980001913692"
"Kennedy/NAHS/VAAS Community of Schools","1019.2121490088163"
"Kreatwn/PcoUnion Community of Schools","1304.4407319631687"
"LA Mid-City Community of Schools","1274.2367362316502"
"Lincoln Heights/El Sereno Community of Schools","902.73556231003033"
"MacArthur Park Community of Schools","1397.6056844258894"
"Manual Arts/Vermont Square Community of Schools","1306.333053502324"
"Monroe Community of Schools","1168.2345219864362"
"North Hollywood/Valley Village Community of Schools","977.26069111611287"
"Panorama City Community of Schools","1070.547462406015"
"Reseda Community of Schools","1105.5528694164466"
"Rivera Community of Schools","1451.9042192817221"
"San Fernando Valley/Sylmar Community of Schools","1143.4669919194998"
"San Pedro Community of Schools",989.47501102918
"South Gate Community of Schools","1172.1183550523117"
"South Mid-City Community of Schools","1510.5605561001692"
"Sun Valley Community of Schools","1142.0010242847206"
"Sunland/Tujunga Community of Schools","1210.4400453915018"
"Taft Community of Schools","895.4175689120384"
"Van Nuys/Valley Glen Community of Schools","1050.1170165035712"
"Venice Community of Schools","751.99375866851585"
"West LA Community of Schools","825.07247258205109"
"Westchester Community of Schools","851.84136706384948"
"Wilmington Community of Schools","1473.1599976837108"
"District Wide","1140.9763854737253"
