"School name","Cases among staff and students"
"Unassigned",300
"102ND ST EEC",2
"107TH ST EL",6
"109TH ST EL",2
"10TH ST EL",2
"112TH ST EEC",1
"112TH ST EL",2
"116TH ST EL",1
"118TH ST EL",2
"122ND ST EL",4
"135TH ST EL",3
"153RD ST EL",6
"156TH ST EL",3
"15TH ST EL",5
"186TH ST EL",8
"1ST ST EL",0
"20TH ST EL",3
"232ND PL EL",1
"24TH ST EEC",0
"24TH ST EL",2
"28TH ST EEC",1
"28TH ST EL",6
"2ND ST EL",0
"32ND ST USC PA MAG",11
"36TH ST EEC",2
"37TH ST EEC",0
"3RD ST EL",15
"42ND ST EL",1
"49TH ST EL",5
"4TH ST EEC",1
"4TH ST EL",4
"4TH ST PC",0
"52ND ST EL",1
"54TH ST EL",3
"59TH ST EL",1
"61ST ST EL",8
"66TH ST EEC",1
"66TH ST EL",2
"6TH AVE EL",3
"74TH ST EL",2
"75TH ST EEC",0
"75TH ST EL",9
"7TH ST EL AI MAG",1
"92ND ST EL",7
"93RD ST EL",15
"95TH ST EEC",0
"95TH ST EL",0
"96TH ST EL",2
"97TH ST EEC",0
"99TH ST EL",0
"9TH ST EL",4
"ACAD ENRICH SCI MAG",6
"ADAMS MS",4
"ADDAMS HS",1
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",1
"ALEXANDER SCS",9
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",2
"ALLESANDRO EL",0
"ALTA CALIFORNIA EL",0
"ALTA LOMA EL",3
"AMANECER PC",0
"AMBLER AVE EL",4
"AMESTOY EL",10
"ANATOLA AVE EL",0
"ANDASOL AVE EL",3
"ANGELES MESA EL",2
"ANGELOU COMMUNITY SH",5
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",1
"ANNANDALE EL",0
"ANTON EEC",1
"ANTON EL",4
"APPERSON ST EL",2
"ARAGON AVE EL",1
"ARLETA SH",8
"ARLINGTON HTS EL",1
"ARMINTA ST EEC",0
"ARMINTA ST EL",4
"ARMSTRONG MS",19
"ARROYO SECO MUS/S MAG",4
"ASCOT AVE EL",4
"ATWATER AVE EL",6
"AUDUBON MS",1
"AURORA EL",2
"AVALON GARDENS EL",0
"BACA ARTS ACAD",5
"BAKEWELL PC",1
"BALA",0
"BALBOA EL G/HG/HA MAG",1
"BALDWIN HILLS EL",8
"BANCROFT MS",2
"BANDINI ST EL",1
"BANNEKER CTC",4
"BANNING SH",8
"BARRETT EL",2
"BARTON HILL EL",0
"BASSETT ST EL",2
"BEACHY AVE EL",1
"BECKFORD CES",10
"BEETHOVEN ST EL",1
"BELL SH",13
"BELLINGHAM EL",8
"BELMONT SH",1
"BELVEDERE EL",3
"BELVEDERE MS",3
"BERENDO MS",8
"BERNSTEIN SH",7
"BERNSTEIN SH STEM",4
"BERTRAND AVE EL",5
"BETHUNE MS",5
"BLYTHE ST EL",0
"BONITA ST EL",3
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",0
"BRADDOCK DR EL",10
"BRADLEY EEC",0
"BRADLEY GLBL AWR MAG",2
"BRAINARD EL",0
"BRAVO SH MEDICAL MAG",13
"BREED ST EL",0
"BRENTWOOD EL SCI MAG",5
"BRIDGE ST EL",1
"BRIDGES SCHOOL",8
"BRIGHT EL",2
"BROAD AVE EL",4
"BROADACRES AV EL",2
"BROADOUS EEC",0
"BROADOUS EL",0
"BROADWAY EL",6
"BROCKTON AVE EL",1
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",2
"BRYSON AVE EL",6
"BUCHANAN ST EL",4
"BUDLONG AVE EL",2
"BURBANK BLVD EL",3
"BURBANK MS A/T/C MAG",4
"BURKE HS",3
"BURROUGHS MS",16
"BURTON ST EL",4
"BUSHNELL WAY EL",0
"BYRD MS",5
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",5
"CAHUENGA EL",6
"CALABASH CA",1
"CALAHAN ST EL",3
"CALVERT CES",3
"CAMELLIA AVE EL",1
"CANFIELD AVE EL",2
"CANOGA PARK EEC",0
"CANOGA PARK EL",4
"CANOGA PRK SH",18
"CANTARA ST EL",1
"CANTERBURY AVE EL",3
"CANYON CEL",10
"CAPISTRANO AVE EL",1
"CARDENAS EL",2
"CARLSON HOSPITAL",0
"CARNEGIE MS",9
"CAROLDALE LC",7
"CARPENTER COMM CHTR",7
"CARSON ACAD ED & EMP",1
"CARSON ACAD MED ARTS",5
"CARSON SH",10
"CARSON ST EL",3
"CARSON-GORE ACADEMY",2
"CARTHAY EL ES MAG",1
"CARVER MS",2
"CASTELAR ST EEC",0
"CASTELAR ST EL",15
"CASTLE HTS EL",4
"CASTLEBAY LN CHTR",14
"CASTRO MS",3
"CATSKILL AVE EL",4
"CDS AGGELER",0
"CDS ALONZO",1
"CDS JOHNSON",0
"CDS JOHNSTON",1
"CDS LONDON",0
"CDS TRI-C",0
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",1
"CENTURY PARK EL",4
"CHANDLER EL",2
"CHAPMAN EL",9
"CHARNOCK ROAD EL",4
"CHASE ST EEC",0
"CHASE ST EL",12
"CHATSWORTH CHS",16
"CHATSWORTH UP/CD MAG",12
"CHAVEZ EL",1
"CHAVEZ LA ARTES MAG",0
"CHAVEZ LA ASE",1
"CHAVEZ LA SJ HUM AC",3
"CHAVEZ LA TECH PREP",5
"CHEREMOYA AVE EL",1
"CHEVIOT HILLS HS",0
"CIENEGA EL",1
"CIMARRON AVE EL",1
"CITY OF ANGELS",2
"CITY TERRACE EL",4
"CLEVELAND CHS",52
"CLEVELAND EEC",2
"CLEVELAND INFANT CTR",0
"CLIFFORD ST M/T MAG",1
"CLINTON MS",1
"CLOVER AVE EL",4
"COCHRAN MS",8
"COEUR D ALENE AVE EL",5
"COHASSET ST EL",3
"COLDWATER CYN EL",2
"COLFAX CEL",11
"COLISEUM ST EL",2
"COLLINS EEC",1
"COLUMBUS AVE EL",0
"COLUMBUS MS",2
"COMMONWLTH AVE EL",2
"COMMUNITY EL MAG CS",7
"COMPTON AVE EL",1
"CONTRERAS LC ALC",2
"CONTRERAS LC BUS TR",7
"CONTRERAS LC GLBL ST",3
"CONTRERAS LC SOC JUS",1
"CORONA AVE EL",3
"CORTINES SCH OF VAPA",20
"COUGHLIN EL",3
"COWAN AVE EL",8
"CRENSHAW ARTS TECH",4
"CRENSHAW MAG STEMM",11
"CRESCENT HTS BL EEC",0
"CRESCENT HTS BL EL MG",0
"CRESTWOOD ST STEAM MG",5
"CRUZ EEC",0
"CURTISS MS",3
"DACOTAH EEC",0
"DAHLIA HTS EL",18
"DANA MS",20
"DANUBE AVE EL",1
"DARBY AVE EL",2
"DAYTON EEC",0
"DAYTON HEIGHTS EL",1
"DBM",12
"DE LA TORRE JR EL",6
"DEARBORN EL CA",13
"DEL AMO EL",6
"DEL OLMO EL",3
"DELEVAN DRIVE EL",9
"DENA EL",2
"DENKER AVE EL",14
"DIXIE CYN CC",8
"DODSON MS",27
"DOLORES ST EEC",0
"DOLORES ST EL",5
"DOMINGUEZ EL",4
"DORRIS PLACE EL",2
"DORSEY SH",9
"DREW MS",10
"DREW MS UP PBLC SRVC",2
"DYER ST EL",3
"DYMALLY SH",3
"EAGLE ROCK EL",7
"EAGLE ROCK HS",16
"EAGLE TREE CONTN HS",1
"EARHART HS",0
"EARLY COLLEGE ACAD",0
"EAST VALLEY SH",7
"EAST VALLEY SKLS CTR",0
"EASTMAN AVE EEC",0
"EASTMAN AVE EL",2
"EDISON MS",2
"EINSTEIN HS",1
"EL DORADO AVE EL",3
"EL ORO WAY CES",4
"EL SERENO EEC",0
"EL SERENO EL",1
"EL SERENO MS",7
"ELA OCC CTR",6
"ELEMENTARY CDS",0
"ELIZABETH LC",7
"ELLINGTON HS",0
"ELYSIAN HTS ARTS MAG",0
"EMELITA ST EL",3
"EMERSON CC",9
"ENADIA WAY",1
"ENCINO CEL",6
"ERWIN EL",4
"ESCALANTE EEC",0
"ESCALANTE EL",4
"ESCUTIA PC",4
"ESHELMAN AVE EL",3
"ESPERANZA EL",4
"ESTRELLA EEC",1
"ESTRELLA EL",1
"EUCLID AVE EL",4
"EVANS CAS",8
"EVERGREEN AVE EEC",0
"EVERGREEN AVE EL",2
"EVERGREEN HS",1
"FAIR AVE EEC",0
"FAIR AVE EL",2
"FAIRBURN AVE EL",11
"FAIRFAX SH",11
"FARMDALE EL",0
"FERNANGELES EL",3
"FIGUEROA ST EL",2
"FISHBURN AVE EL",2
"FLEMING MS",11
"FLETCHER DR EL",0
"FLORENCE AVE EL",1
"FLOURNOY EL",1
"FORD BLVD EL",5
"FOSHAY LC",10
"FRANKLIN AVE EL",9
"FRANKLIN HS",9
"FREMONT SH",13
"FRIEDMAN OCC CTR",2
"FRIES AVE EL",5
"FROST MS",17
"FULLBRIGHT AVE EL",5
"FULTON COLLEGE PREP",5
"GAGE MS",3
"GAL KING SCH FOR STEM",9
"GARCETTI LA",0
"GARDEN GROVE EL",2
"GARDENA EEC",0
"GARDENA EL",3
"GARDENA SH",17
"GARDNER ST EL",1
"GARFIELD SH",36
"GARVANZA EL T/L MAG",2
"GARZA PC",0
"GATES ST EEC",1
"GATES ST EL",9
"GAULT ST EL",1
"GERMAIN ACAD AA",4
"GLASSELL PARK EEC",0
"GLASSELL PK STEAM MAG",1
"GLEDHILL ST EEC",0
"GLEDHILL ST EL",5
"GLEN ALTA EL",1
"GLENFELIZ BLVD EEC",0
"GLENFELIZ BLVD EL",1
"GLENWOOD EL",0
"GOMPERS MS",8
"GOMPERS MS UP MED MAG",0
"GRAHAM EEC",0
"GRAHAM EL",4
"GRANADA EL",2
"GRAND VW BL EL",13
"GRANT EEC",0
"GRANT EL",4
"GRANT SH",13
"GRAPE ST EL",1
"GRATTS EEC",1
"GRATTS LA FOR YS",3
"GREY HS",0
"GRIDLEY ST EL",2
"GRIFFIN AVE EL",4
"GRIFFITH JOYNER EL",4
"GRIFFITH MS STEAM MG",16
"GULF AVE EL",2
"HADDON AVE EEC",0
"HADDON AVE EL",4
"HALE CA",40
"HALLDALE EL",8
"HAMASAKI MED/SCI MAG",9
"HAMILTON SH",16
"HAMLIN CA",6
"HANCOCK PARK EL",11
"HARBOR CITY EL",2
"HARBOR OCC CTR",0
"HARDING ST EL",8
"HARMONY EL",2
"HARRISON ST EL",0
"HART ST EL",7
"HARTE PREP MS",2
"HARVARD EL",2
"HASKELL EL STEAM MAG",6
"HAWAIIAN AVE EEC",0
"HAWAIIAN AVE EL",2
"HAWKINS SH C/DAGS",21
"HAYNES CES",9
"HAZELTINE AVE EL",1
"HELIOTROPE AVE EL",3
"HENRY MS",17
"HERRICK AVE EL",0
"HESBY OAKS LEAD CHTR",13
"HIGHLAND PARK HS",0
"HILLCREST DR EL",15
"HILLSIDE EL",1
"HOBART BLVD EEC",0
"HOBART BLVD EL",2
"HOLLENBECK MS",7
"HOLLYWOOD EL",3
"HOLLYWOOD SH",11
"HOLMES AVE EEC",2
"HOLMES AVE EL",1
"HOLMES MS",7
"HOOPER AVE EEC",0
"HOOPER AVE EL",4
"HOOPER AVE PC",0
"HOOVER ST EL",1
"HOPE HS",0
"HOPE ST EL",3
"HUBBARD ST EL",3
"HUERTA EL",0
"HUGHES EL",6
"HUMPHREYS AVE EL",1
"HUNTINGTON DR EL",0
"HUNTNGTN PK EL",0
"HUNTNGTN PK SH",13
"HYDE PARK EEC",1
"INDEPENDENCE EL",1
"INDEPENDENCE HS",1
"INTERNATIONAL ST LC",4
"IOVINE YOUNG CTR MAG",0
"IRVING MS MME MAG",3
"ISAACS AVALON HS",0
"IVANHOE EL",2
"JEFFERSON SH",3
"JOHNSON STEM ACADEMY",0
"JONES EL",2
"JONES PC",1
"JORDAN SH",2
"JUSTICE ST ACAD CHTR",5
"KAHLO HS",0
"KENNEDY EL",0
"KENNEDY SH",50
"KENTER CANYON EC",5
"KENTWOOD EEC",0
"KENTWOOD EL",8
"KESTER AVE EL",7
"KIM ACADEMY",9
"KIM EL",4
"KING JR EL",1
"KING MS MAG FLM/MDIA",11
"KING-DREW SH MD/S MG",16
"KINGSLEY EL",1
"KITTRIDGE ST EL",1
"KNOLLWOOD PREP ACAD",6
"KNOX EL",4
"KORENSTEIN EL",3
"LA SALLE AVE EL",0
"LACES MAG",12
"LAFAYETTE PARK PC",0
"LAKE BALBOA CP K-12",7
"LAKE ST PRIMARY",1
"LANAI RD EL",9
"LANE EL",2
"LANGDON AVE EL",4
"LANKERSHIM EL",0
"LASSEN EL",2
"LATONA AVE EL",0
"LAUREL CACT MAG",0
"LAUREL EEC",1
"LAWRENCE MS",5
"LAWSON ACAD A/M/S EL",2
"LE CONTE MS",6
"LEAPWOOD EL",0
"LEE EL MED HLTH MAG",3
"LEGACY SH STEAM",7
"LEGACY SH VAPA",11
"LEICHMAN CPTC",3
"LELAND ST EL",4
"LEMAY ST EEC",0
"LEMAY ST EL",1
"LEWIS HS",0
"LEXINGTON AVE PC",0
"LIBERTY BLVD EL",3
"LIECHTY MS",7
"LIGGETT ST EL",5
"LILLIAN ST EL",5
"LIMERICK AVE EL",1
"LINCOLN SH",11
"LIZARRAGA EL",1
"LOCKE EEC",0
"LOCKE INFANT",0
"LOCKHURST DR CEL",7
"LOCKWOOD AVE EL",5
"LOGAN ACADEMY",3
"LOGAN ST EEC",0
"LOKRANTZ SP ED CTR",1
"LOMA VISTA EL",3
