"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","47.316223786812024"
"Bell/Cudahy/Maywood Community of Schools","69.848959634991132"
"Boyle Heights Community of Schools","55.118773301078647"
"Canoga Park/Chatsworth Community of Schools","70.5922755515419"
"Carson Community of Schools","54.071590786200929"
"Cleveland Community of Schools","56.592139605206476"
"Downtown Community of Schools","41.099927105789661"
"Eagle Rock/Highland Park Community of Schools","77.096429842248853"
"East Los Angeles Community of Schools","59.193151807667789"
"Fairfax Community of Schools","61.286206584750786"
"Fremont Community of Schools","32.447135332168919"
"Gardena Community of Schools","46.661620298841754"
"Glassell Park/Los Feliz Community of Schools","62.267070792165335"
"H.E.E.T. (C/D) Community of Schools","21.237434517910234"
"H.E.E.T. (W) Community of Schools","20.313192495198702"
"Hamilton Community of Schools","65.893516078017925"
"Harbor City/Lomita Community of Schools","43.643912853722114"
"Historic Central Avenue Community of Schools","49.322930678862882"
"Hollywood Community of Schools","33.039041133606212"
"Huntington Park/Vernon Community of Schools","75.778400184245513"
"Kennedy/NAHS/VAAS Community of Schools","80.761353431065345"
"Kreatwn/PcoUnion Community of Schools","51.422542578751852"
"LA Mid-City Community of Schools","36.433854337450363"
"Lincoln Heights/El Sereno Community of Schools","53.711690535574689"
"MacArthur Park Community of Schools","29.250550037517009"
"Manual Arts/Vermont Square Community of Schools","57.807180936476335"
"Monroe Community of Schools","80.728866336062737"
"North Hollywood/Valley Village Community of Schools","85.611249166616162"
"Panorama City Community of Schools","57.98977761594584"
"Reseda Community of Schools","52.03655987981233"
"Rivera Community of Schools","43.4281157893238"
"San Fernando Valley/Sylmar Community of Schools","69.183006347540839"
"San Pedro Community of Schools","50.792194386643295"
"SO Los Angeles Community of Schools","41.10701182854266"
"South Gate Community of Schools","57.0389446101021"
"South Mid-City Community of Schools","23.816139403802644"
"Sun Valley Community of Schools","66.5722975151014"
"Sunland/Tujunga Community of Schools","54.760763912656579"
"Taft Community of Schools","74.787505934226019"
"Van Nuys/Valley Glen Community of Schools","59.311323473980622"
"Venice Community of Schools","63.282172373081458"
"West LA Community of Schools","55.112580779931911"
"Westchester Community of Schools","25.106703489831784"
"Wilmington Community of Schools","54.201118030905263"
"District Wide","56.64803615203401"
