"School name","Cases among staff and students"
"Unassigned",852
"102ND ST EEC",0
"107TH ST EL",7
"109TH ST EL",0
"10TH ST EL",5
"112TH ST EEC",2
"112TH ST EL",1
"116TH ST EL",3
"118TH ST EL",2
"122ND ST EL",6
"135TH ST EL",2
"153RD ST EL",3
"156TH ST EL",2
"15TH ST EL",2
"186TH ST EL",9
"1ST ST EL",1
"20TH ST EL",5
"232ND PL EL",6
"24TH ST EEC",5
"24TH ST EL",8
"28TH ST EEC",1
"28TH ST EL",4
"2ND ST EL",2
"32ND ST USC PA MAG",7
"36TH ST EEC",3
"37TH ST EEC",2
"3RD ST EL",11
"42ND ST EL",1
"49TH ST EL",1
"4TH ST EEC",0
"4TH ST EL",1
"4TH ST PC",1
"52ND ST EL",5
"54TH ST EL",0
"59TH ST EL",5
"61ST ST EL",11
"66TH ST EEC",5
"66TH ST EL",8
"6TH AVE EL",5
"74TH ST EL",1
"75TH ST EEC",5
"75TH ST EL",11
"7TH ST EL AI MAG",1
"92ND ST EL",4
"93RD ST EL",11
"95TH ST EEC",2
"95TH ST EL",0
"96TH ST EL",1
"97TH ST EEC",6
"99TH ST EL",0
"9TH ST EL",2
"ACAD ENRICH SCI MAG",5
"ADAMS MS",6
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",5
"ALBION ST EL",1
"ALDAMA EL",4
"ALEXANDER SCS",14
"ALEXANDRIA AVE EEC",5
"ALEXANDRIA AVE EL",1
"ALLESANDRO EL",7
"ALTA CALIFORNIA EL",4
"ALTA LOMA EL",1
"AMANECER PC",0
"AMBLER AVE EL",9
"AMESTOY EL",10
"ANATOLA AVE EL",6
"ANDASOL AVE EL",13
"ANGELES MESA EL",1
"ANGELOU COMMUNITY SH",12
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",2
"ANNANDALE EL",2
"ANTON EEC",7
"ANTON EL",8
"APPERSON ST EL",8
"ARAGON AVE EL",2
"ARLETA SH",16
"ARLINGTON HTS EL",5
"ARMINTA ST EEC",4
"ARMINTA ST EL",3
"ARROYO SECO MUS/S MAG",7
"ASCOT AVE EL",4
"ATWATER AVE EL",10
"AUDUBON MS",7
"AURORA EL",7
"AVALON GARDENS EL",1
"BACA ARTS ACAD",4
"BAKEWELL PC",1
"BALA",1
"BALBOA EL G/HG/HA MAG",10
"BALDWIN HILLS EL",4
"BANCROFT MS",3
"BANDINI ST EL",2
"BANNEKER CTC",2
"BANNING SH",80
"BARRETT EL",2
"BARTON HILL EL",4
