"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","10.286372613561554"
"Bell/Cudahy/Maywood Community of Schools","6.1859655905664024"
"Boyle Heights Community of Schools","5.9461870075813881"
"Canoga Park/Chatsworth Community of Schools","10.565240359218171"
"Carson Community of Schools","10.613457864572279"
"Cleveland Community of Schools","18.573188136620463"
"Downtown Community of Schools","6.3118030717441611"
"Eagle Rock/Highland Park Community of Schools","7.4867110878191214"
"East Los Angeles Community of Schools","7.3139216435194587"
"Fairfax Community of Schools","13.766347537701021"
"Fremont Community of Schools","21.378687823649582"
"Gardena Community of Schools","13.039818865061582"
"Glassell Park/Los Feliz Community of Schools","5.2633241049717361"
"H.E.E.T. (C/D) Community of Schools","26.234199856904365"
"H.E.E.T. (W) Community of Schools","6.3822997553451755"
"Hamilton Community of Schools","5.3882939314339593"
"Harbor City/Lomita Community of Schools","21.631911395690924"
"Historic Central Avenue Community of Schools","10.182988299746443"
"Hollywood Community of Schools","4.26651496835668"
"Huntington Park/Vernon Community of Schools","10.752332429034606"
"Jefferson/South Central (West) Community of Schools","4.6888370511903785"
"Kennedy/NAHS/VAAS Community of Schools","6.8095666845733049"
"Kreatwn/PcoUnion Community of Schools","3.1200599051501787"
"LA Mid-City Community of Schools","13.283544640089739"
"Lincoln Heights/El Sereno Community of Schools","10.611205432937181"
"MacArthur Park Community of Schools","1.5379173523214862"
"Manual Arts/Vermont Square Community of Schools","9.840152194353939"
"Monroe Community of Schools","7.2474928204524245"
"North Hollywood/Valley Village Community of Schools","9.4018701174379053"
"Panorama City Community of Schools","7.7278558291216521"
"Reseda Community of Schools","13.870587419377211"
"Rivera Community of Schools","4.8544082071861423"
"San Fernando Valley/Sylmar Community of Schools","6.5711657247995792"
"San Pedro Community of Schools","5.8792980118173892"
"South Gate Community of Schools",9.0840484109903
"South Mid-City Community of Schools","4.66345406497746"
"Sun Valley Community of Schools","10.164985534443662"
"Sunland/Tujunga Community of Schools","12.800819252432154"
"Taft Community of Schools","11.435280126245493"
"Van Nuys/Valley Glen Community of Schools","16.359609382865198"
"Venice Community of Schools","8.58663918942126"
"West LA Community of Schools","16.779579252050254"
"Westchester Community of Schools","2.6752273943285183"
"Wilmington Community of Schools","13.35000060681821"
"District Wide","9.8391337032092565"
