"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","8.2504847159770627"
"Bell/Cudahy/Maywood Community of Schools","8.5557171635464222"
"Boyle Heights Community of Schools","9.0010801296155538"
"Canoga Park/Chatsworth Community of Schools","17.462342079689019"
"Carson Community of Schools","9.68260423323457"
"Cleveland Community of Schools","16.695802478835613"
"Downtown Community of Schools","4.2640741096080248"
"Eagle Rock/Highland Park Community of Schools","3.2354780958132916"
"East Los Angeles Community of Schools","13.910937269855818"
"Fairfax Community of Schools","12.623234325098776"
"Fremont Community of Schools","7.9510849255380895"
"Gardena Community of Schools","5.9543657409612729"
"Glassell Park/Los Feliz Community of Schools","10.564012634559111"
"H.E.E.T. (C/D) Community of Schools","12.11475092072107"
"H.E.E.T. (W) Community of Schools","8.5338795016214366"
"Hamilton Community of Schools","5.4251264732609084"
"Harbor City/Lomita Community of Schools","8.6860848920030111"
"Historic Central Avenue Community of Schools","13.282383472628073"
"Hollywood Community of Schools","11.638056444573754"
"Huntington Park/Vernon Community of Schools","5.7944141847259241"
"Jefferson/South Central (West) Community of Schools","11.799549257218374"
"Kennedy/NAHS/VAAS Community of Schools","7.5697934960334283"
"Kreatwn/PcoUnion Community of Schools","16.732901066722444"
"LA Mid-City Community of Schools","5.9480438370830786"
"Lincoln Heights/El Sereno Community of Schools","12.330551252706941"
"MacArthur Park Community of Schools","7.7902248258884752"
"Manual Arts/Vermont Square Community of Schools","17.59459845827331"
"Monroe Community of Schools","8.1866557511256648"
"North Hollywood/Valley Village Community of Schools","11.152001784320285"
"Panorama City Community of Schools","12.42371065177892"
"Reseda Community of Schools","12.920153451668687"
"Rivera Community of Schools","5.677946854417443"
"San Fernando Valley/Sylmar Community of Schools","13.2000132000132"
"San Pedro Community of Schools","10.855405992184107"
"South Gate Community of Schools","16.181798993914235"
"South Mid-City Community of Schools","9.3861460484325132"
"Sun Valley Community of Schools","6.2577733278056344"
"Sunland/Tujunga Community of Schools","12.805409004763613"
"Taft Community of Schools","10.705491917353601"
"Van Nuys/Valley Glen Community of Schools","10.741613643113045"
"Venice Community of Schools","14.764324470637449"
"West LA Community of Schools","7.376807317792859"
"Westchester Community of Schools","16.07846289894686"
"Wilmington Community of Schools","10.97681452842385"
"District Wide","10.55931881241121"
