"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","5.605171705093233"
"Bell/Cudahy/Maywood Community of Schools","12.708579562062349"
"Boyle Heights Community of Schools","6.8287353182190662"
"Canoga Park/Chatsworth Community of Schools","8.8269044046252976"
"Carson Community of Schools","12.382163081342556"
"Cleveland Community of Schools","5.8561724057156246"
"Downtown Community of Schools","5.35360565340757"
"Eagle Rock/Highland Park Community of Schools","16.02010101095269"
"East Los Angeles Community of Schools","6.41333974667308"
"Fairfax Community of Schools","10.960651261969529"
"Fremont Community of Schools","7.4309763627397336"
"Gardena Community of Schools","6.0967555099427928"
"Glassell Park/Los Feliz Community of Schools","7.2696211618672022"
"H.E.E.T. (C/D) Community of Schools",1.7307625739901
"H.E.E.T. (W) Community of Schools","3.5803795202291444"
"Hamilton Community of Schools","6.5276281862985082"
"Harbor City/Lomita Community of Schools","4.6819219289518355"
"Historic Central Avenue Community of Schools","5.3628408755731538"
"Hollywood Community of Schools","3.6343482250751857"
"Huntington Park/Vernon Community of Schools","4.4084907531906454"
"Kennedy/NAHS/VAAS Community of Schools","9.6403506516877027"
"Kreatwn/PcoUnion Community of Schools","5.2923120347175674"
"LA Mid-City Community of Schools","9.6183903623728586"
"Lincoln Heights/El Sereno Community of Schools","10.457297625147708"
"MacArthur Park Community of Schools","3.7570915102255507"
"Manual Arts/Vermont Square Community of Schools","2.7135078420376635"
"Monroe Community of Schools","9.7485681790487018"
"North Hollywood/Valley Village Community of Schools","7.479823176980096"
"Panorama City Community of Schools","4.016978428825837"
"Reseda Community of Schools","8.2945562827116568"
"Rivera Community of Schools","2.8111800631109922"
"San Fernando Valley/Sylmar Community of Schools","10.836337089930192"
"San Pedro Community of Schools","2.428579523836508"
"SO Los Angeles Community of Schools","1.0120945296290673"
"South Gate Community of Schools","7.2661014012397089"
"South Mid-City Community of Schools","1.3041550379509115"
"Sun Valley Community of Schools","4.8666536889234964"
"Sunland/Tujunga Community of Schools","11.318106707110035"
"Taft Community of Schools","7.7551943645587613"
"Van Nuys/Valley Glen Community of Schools","4.400343226771688"
"Venice Community of Schools","14.054287026019169"
"West LA Community of Schools","5.30804345518242"
"Westchester Community of Schools","2.2636213414220068"
"Wilmington Community of Schools","4.2337450650409085"
"District Wide","6.9956169919237752"
