"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools",0
"Bell/Cudahy/Maywood Community of Schools","11.753919932297421"
"Boyle Heights Community of Schools","2.0071252947965279"
"Canoga Park/Chatsworth Community of Schools","12.058635113238122"
"Carson Community of Schools","11.70560405794274"
"Cleveland Community of Schools","5.9338377095386443"
"Downtown Community of Schools","6.5186923503145264"
"Eagle Rock/Highland Park Community of Schools","5.4742927213803982"
"East Los Angeles Community of Schools","9.0436727177058671"
"Fairfax Community of Schools","1.2732365673542143"
"Fremont Community of Schools","6.4448042793500422"
"Gardena Community of Schools","6.020107157907411"
"Glassell Park/Los Feliz Community of Schools","8.544726301735647"
"H.E.E.T. (C/D) Community of Schools","8.2038941150732878"
"H.E.E.T. (W) Community of Schools","6.7417245331355762"
"Hamilton Community of Schools","6.9166816528102473"
"Harbor City/Lomita Community of Schools","4.3382065853975966"
"Historic Central Avenue Community of Schools","16.335865392469167"
"Hollywood Community of Schools","8.8942913473369014"
"Huntington Park/Vernon Community of Schools","7.4842207678810508"
"Jefferson/South Central (West) Community of Schools","3.5663762051379595"
"Kennedy/NAHS/VAAS Community of Schools","6.9146729359701293"
"Kreatwn/PcoUnion Community of Schools","8.4213185679547777"
"LA Mid-City Community of Schools","4.5212725875243018"
"Lincoln Heights/El Sereno Community of Schools","6.2495605777718755"
"MacArthur Park Community of Schools","4.7418834761167137"
"Manual Arts/Vermont Square Community of Schools","8.9769628690373331"
"Monroe Community of Schools","9.156335268372187"
"North Hollywood/Valley Village Community of Schools","2.5953577700686039"
"Panorama City Community of Schools","6.1916629258703155"
"Reseda Community of Schools","7.0392791778121921"
"Rivera Community of Schools","11.374623215605983"
"San Fernando Valley/Sylmar Community of Schools","5.9295959309795032"
"San Pedro Community of Schools",7.0298769771529
"South Gate Community of Schools","11.336181548947506"
"South Mid-City Community of Schools","14.062126474765515"
"Sun Valley Community of Schools","8.5931457944363281"
"Sunland/Tujunga Community of Schools","2.574002574002574"
"Taft Community of Schools","12.758661935329531"
"Van Nuys/Valley Glen Community of Schools","8.3127114146316519"
"Venice Community of Schools","13.709898546750754"
"West LA Community of Schools","1.0850458974414618"
"Westchester Community of Schools","19.379844961240309"
"Wilmington Community of Schools","10.955302366345311"
"District Wide","7.9263439104126769"
