"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","107.18330367254489"
"Bell/Cudahy/Maywood Community of Schools","70.1247949019955"
"Boyle Heights Community of Schools","78.606364733532359"
"Canoga Park/Chatsworth Community of Schools","56.311395062672496"
"Carson Community of Schools","97.429500195769563"
"Cleveland Community of Schools","64.789889127161558"
"Downtown Community of Schools","56.848582129481009"
"Eagle Rock/Highland Park Community of Schools","47.861308563628953"
"East Los Angeles Community of Schools","70.352590630690287"
"Fairfax Community of Schools","62.775318476507962"
"Fremont Community of Schools","67.546503169489768"
"Gardena Community of Schools","80.155343313238049"
"Glassell Park/Los Feliz Community of Schools","61.134337777076595"
"H.E.E.T. (C/D) Community of Schools","60.285480922562328"
"H.E.E.T. (W) Community of Schools","72.26158694473996"
"Hamilton Community of Schools","74.968763015410246"
"Harbor City/Lomita Community of Schools","59.836785618801478"
"Historic Central Avenue Community of Schools","86.450572613624217"
"Hollywood Community of Schools","46.253914719344735"
"Huntington Park/Vernon Community of Schools","79.077997525876512"
"Kennedy/NAHS/VAAS Community of Schools","61.2356790395967"
"Kreatwn/PcoUnion Community of Schools","75.113844420449738"
"LA Mid-City Community of Schools","57.862929150057866"
"Lincoln Heights/El Sereno Community of Schools","56.102216037533481"
"MacArthur Park Community of Schools","58.034477755648474"
"Manual Arts/Vermont Square Community of Schools","76.261785912368282"
"Monroe Community of Schools","74.929592021290333"
"North Hollywood/Valley Village Community of Schools","67.4007665822127"
"Panorama City Community of Schools","60.150375939849617"
"Reseda Community of Schools","55.866928580439371"
"Rivera Community of Schools","92.496330724070461"
"San Fernando Valley/Sylmar Community of Schools","70.532866443208562"
"San Pedro Community of Schools","81.6028890895201"
"South Gate Community of Schools","74.677989742576955"
"South Mid-City Community of Schools","86.216974514846854"
"Sun Valley Community of Schools","93.587730950368311"
"Sunland/Tujunga Community of Schools","85.347792253432743"
"Taft Community of Schools","73.043403536160071"
"Van Nuys/Valley Glen Community of Schools","67.6176636317803"
"Venice Community of Schools","36.121947695419735"
"West LA Community of Schools","54.898985866006548"
"Westchester Community of Schools","81.472617562441116"
"Wilmington Community of Schools","71.633237822349571"
"District Wide","69.4317068865871"
