"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","9.98721636305529"
"Bell/Cudahy/Maywood Community of Schools","23.161236265046288"
"Boyle Heights Community of Schools","17.656500802568218"
"Canoga Park/Chatsworth Community of Schools","129.8510901208453"
"Carson Community of Schools","38.1000762001524"
"Cleveland Community of Schools","36.389770835418162"
"Downtown Community of Schools","29.174932897654337"
"Eagle Rock/Highland Park Community of Schools","50.304973904294791"
"East Los Angeles Community of Schools","25.671268993269965"
"Fairfax Community of Schools","52.149538802516211"
"Fremont Community of Schools","36.14582257564804"
"Gardena Community of Schools","61.455947259623443"
"Glassell Park/Los Feliz Community of Schools","58.442458941696216"
"H.E.E.T. (C/D) Community of Schools","40.053404539385845"
"H.E.E.T. (W) Community of Schools","21.786060882137409"
"Hamilton Community of Schools",71.571714858288
"Harbor City/Lomita Community of Schools","36.851602409332351"
"Historic Central Avenue Community of Schools","19.315460094259443"
"Hollywood Community of Schools","33.438106065672443"
"Huntington Park/Vernon Community of Schools","30.91288115978789"
"Kennedy/NAHS/VAAS Community of Schools","81.144350773384659"
"Kreatwn/PcoUnion Community of Schools","26.184865147944489"
"LA Mid-City Community of Schools","64.193916984426565"
"Lincoln Heights/El Sereno Community of Schools","33.024190219335665"
"MacArthur Park Community of Schools","15.677052714089751"
"Manual Arts/Vermont Square Community of Schools","37.258554760270613"
"Monroe Community of Schools","49.773017875378663"
"North Hollywood/Valley Village Community of Schools","57.401568437222082"
"Panorama City Community of Schools","26.108524433227448"
"Reseda Community of Schools","31.76620076238882"
"Rivera Community of Schools","28.335554228124185"
"San Fernando Valley/Sylmar Community of Schools","41.006268988698423"
"San Pedro Community of Schools","51.494204720011169"
"South Gate Community of Schools","22.774416328640985"
"South Mid-City Community of Schools","18.819850599339855"
"Sun Valley Community of Schools","45.070083980589814"
"Sunland/Tujunga Community of Schools","57.402415892981928"
"Taft Community of Schools","86.309823496410942"
"Van Nuys/Valley Glen Community of Schools","54.641238693124116"
"Venice Community of Schools","56.771263418662265"
"West LA Community of Schools","183.15018315018315"
"Westchester Community of Schools","68.425454268988062"
"Wilmington Community of Schools","37.4923311140903"
"District Wide","46.963604071735823"
