"School name","Cases among staff and students"
"Unassigned",224
"102ND ST EEC",0
"107TH ST EL",3
"109TH ST EL",2
"10TH ST EL",2
"112TH ST EEC",2
"112TH ST EL",0
"116TH ST EL",1
"118TH ST EL",2
"122ND ST EL",2
"135TH ST EL",2
"153RD ST EL",4
"156TH ST EL",0
"15TH ST EL",0
"186TH ST EL",5
"1ST ST EL",2
"20TH ST EL",0
"232ND PL EL",6
"24TH ST EEC",0
"24TH ST EL",2
"28TH ST EEC",1
"28TH ST EL",1
"2ND ST EL",1
"32ND ST USC PA MAG",11
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",8
"42ND ST EL",0
"49TH ST EL",6
"4TH ST EEC",0
"4TH ST EL",1
"4TH ST PC",1
"52ND ST EL",5
"54TH ST EL",1
"59TH ST EL",3
"61ST ST EL",6
"66TH ST EEC",0
"66TH ST EL",1
"6TH AVE EL",3
"74TH ST EL",1
"75TH ST EEC",0
"75TH ST EL",2
"7TH ST EL AI MAG",1
"92ND ST EL",3
"93RD ST EL",6
"95TH ST EEC",0
"95TH ST EL",3
"96TH ST EL",2
"97TH ST EEC",0
"99TH ST EL",0
"9TH ST EL",1
"ACAD ENRICH SCI MAG",3
"ADAMS MS",3
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",3
"ALEXANDER SCS",6
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",3
"ALLESANDRO EL",0
"ALTA CALIFORNIA EL",2
"ALTA LOMA EL",0
"AMANECER PC",0
"AMBLER AVE EL",2
"AMESTOY EL",11
"ANATOLA AVE EL",1
"ANDASOL AVE EL",2
"ANGELES MESA EL",4
"ANGELOU COMMUNITY SH",1
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",3
"ANTON EEC",1
"ANTON EL",4
"APPERSON ST EL",1
"ARAGON AVE EL",0
"ARLETA SH",4
"ARLINGTON HTS EL",1
"ARMINTA ST EEC",0
"ARMINTA ST EL",6
"ARMSTRONG MS",18
"ARROYO SECO MUS/S MAG",4
