"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","5.4902822005051064"
"Bell/Cudahy/Maywood Community of Schools","6.9290029164803189"
"Boyle Heights Community of Schools","3.7613781689611074"
"Canoga Park/Chatsworth Community of Schools","9.37218834349695"
"Carson Community of Schools","6.5418268051353348"
"Cleveland Community of Schools","15.728607024892591"
"Downtown Community of Schools","1.5129165248307426"
"Eagle Rock/Highland Park Community of Schools","5.0319529009208477"
"East Los Angeles Community of Schools","7.6302386357133321"
"Fairfax Community of Schools","8.92299455697332"
"Fremont Community of Schools","5.9795102116746621"
"Gardena Community of Schools","7.0062355496391788"
"Glassell Park/Los Feliz Community of Schools","2.7044325649739922"
"H.E.E.T. (C/D) Community of Schools","3.4009556685428604"
"H.E.E.T. (W) Community of Schools","1.7513441566402215"
"Hamilton Community of Schools","6.4768237656253378"
"Harbor City/Lomita Community of Schools","4.6374660885292283"
"Historic Central Avenue Community of Schools","7.0866071982212615"
"Hollywood Community of Schools","4.5113731717660226"
"Huntington Park/Vernon Community of Schools","7.27267438054996"
"Kennedy/NAHS/VAAS Community of Schools","8.9397461112104413"
"Kreatwn/PcoUnion Community of Schools","6.1023982425093068"
"LA Mid-City Community of Schools","5.9583392916726243"
"Lincoln Heights/El Sereno Community of Schools","8.802999233621243"
"MacArthur Park Community of Schools","4.9452926995116524"
"Manual Arts/Vermont Square Community of Schools","8.0271854012254842"
"Monroe Community of Schools","4.82001269270009"
"North Hollywood/Valley Village Community of Schools","15.521523178807948"
"Panorama City Community of Schools","7.9697150826857941"
"Reseda Community of Schools","3.2905019660749248"
"Rivera Community of Schools","4.8623942429252169"
"San Fernando Valley/Sylmar Community of Schools","13.569364897183791"
"San Pedro Community of Schools","8.0324511024539138"
"SO Los Angeles Community of Schools","6.9939851727514339"
"South Gate Community of Schools","7.7669902912621351"
"South Mid-City Community of Schools","1.2829559304637885"
"Sun Valley Community of Schools","4.1294158941217765"
"Sunland/Tujunga Community of Schools",0
"Taft Community of Schools","8.9899761765631325"
"Van Nuys/Valley Glen Community of Schools","6.5288712125746065"
"Venice Community of Schools","13.010668748373666"
"West LA Community of Schools","17.591077805337132"
"Westchester Community of Schools","11.183430629179808"
"Wilmington Community of Schools","6.2965022929762515"
"District Wide","7.313089617850439"
