"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","7.2895595283654986"
"Bell/Cudahy/Maywood Community of Schools","10.066565162134614"
"Boyle Heights Community of Schools","9.7775237292979735"
"Canoga Park/Chatsworth Community of Schools","13.087292239235703"
"Carson Community of Schools","10.606184221261319"
"Cleveland Community of Schools","16.492397004980706"
"Downtown Community of Schools","5.2770448548812663"
"Eagle Rock/Highland Park Community of Schools","10.91858931826008"
"East Los Angeles Community of Schools","8.908685968819599"
"Fairfax Community of Schools","3.9630249769649173"
"Fremont Community of Schools","5.9512788637024894"
"Gardena Community of Schools","5.9893987641873876"
"Glassell Park/Los Feliz Community of Schools","15.306765590390953"
"H.E.E.T. (C/D) Community of Schools","5.0628638933423336"
"H.E.E.T. (W) Community of Schools","3.4864464394665737"
"Hamilton Community of Schools","9.70863313232867"
"Harbor City/Lomita Community of Schools","5.7841583471189111"
"Historic Central Avenue Community of Schools","11.496489149082933"
"Hollywood Community of Schools","8.0974573983769087"
"Huntington Park/Vernon Community of Schools","6.5594320989453889"
"Kennedy/NAHS/VAAS Community of Schools","22.371364653243848"
"Kreatwn/PcoUnion Community of Schools","5.226799543526174"
"LA Mid-City Community of Schools","14.279764383887667"
"Lincoln Heights/El Sereno Community of Schools","7.2416539937721769"
"MacArthur Park Community of Schools",8.6333419666753
"Manual Arts/Vermont Square Community of Schools","5.3384582532564595"
"Monroe Community of Schools","9.6113798737705451"
"North Hollywood/Valley Village Community of Schools","17.682163117954765"
"Panorama City Community of Schools","21.175785489292995"
"Reseda Community of Schools","6.5704101578541039"
"Rivera Community of Schools","6.241937497399193"
"San Fernando Valley/Sylmar Community of Schools","10.154116930297629"
"San Pedro Community of Schools","8.82725857447799"
"SO Los Angeles Community of Schools","1.9910403185664509"
"South Gate Community of Schools","9.983028850953378"
"South Mid-City Community of Schools","6.3906747274377222"
"Sun Valley Community of Schools","13.058239749281796"
"Sunland/Tujunga Community of Schools","17.820944064511817"
"Taft Community of Schools","7.6994642456129094"
"Van Nuys/Valley Glen Community of Schools","5.9759224651223439"
"Venice Community of Schools","7.4550368092442456"
"West LA Community of Schools","8.7852618447292823"
"Westchester Community of Schools","13.443269403118839"
"Wilmington Community of Schools","7.3340667400073345"
"District Wide","9.484070431681662"
