"School name","Cases among staff and students"
"Unassigned",32
"102ND ST EEC",0
"107TH ST EL",2
"109TH ST EL",1
"10TH ST EL",1
"112TH ST EEC",0
"112TH ST EL",0
"116TH ST EL",1
"118TH ST EL",0
"122ND ST EL",1
"135TH ST EL",0
"153RD ST EL",1
"156TH ST EL",0
"15TH ST EL",0
"186TH ST EL",1
"1ST ST EL",1
"20TH ST EL",0
"232ND PL EL",0
"24TH ST EEC",2
"24TH ST EL",1
"28TH ST EEC",0
"28TH ST EL",1
"2ND ST EL",2
"32ND ST USC PA MAG",1
"36TH ST EEC",0
"37TH ST EEC",1
"3RD ST EL",0
"42ND ST EL",0
"49TH ST EL",1
"4TH ST EEC",0
"4TH ST EL",1
"4TH ST PC",2
"52ND ST EL",0
"54TH ST EL",0
"59TH ST EL",0
"61ST ST EL",3
"66TH ST EEC",0
"66TH ST EL",0
"6TH AVE EL",1
"74TH ST EL",1
"75TH ST EEC",0
"75TH ST EL",0
"7TH ST EL AI MAG",0
"92ND ST EL",0
"93RD ST EL",3
"95TH ST EEC",0
"95TH ST EL",1
"96TH ST EL",0
"97TH ST EEC",0
"99TH ST EL",1
"9TH ST EL",0
"ACAD ENRICH SCI MAG",0
"ADAMS MS",1
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",0
"ALEXANDER SCS",1
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",0
"ALLESANDRO EL",0
"ALTA CALIFORNIA EL",2
"ALTA LOMA EL",0
"AMANECER PC",0
"AMBLER AVE EL",0
"AMESTOY EL",0
"ANATOLA AVE EL",0
"ANDASOL AVE EL",1
"ANGELES MESA EL",0
"ANGELOU COMMUNITY SH",4
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",1
"ANTON EEC",0
"ANTON EL",3
"APPERSON ST EL",0
"ARAGON AVE EL",7
"ARLETA SH",2
"ARLINGTON HTS EL",0
"ARMINTA ST EEC",1
"ARMINTA ST EL",1
"ARROYO SECO MUS/S MAG",0
"ASCOT AVE EL",1
"ATWATER AVE EL",0
"AUDUBON MS",0
"AURORA EL",0
"AVALON GARDENS EL",0
"BACA ARTS ACAD",2
"BAKEWELL PC",0
"BALA",0
"BALBOA EL G/HG/HA MAG",0
"BALDWIN HILLS EL",1
"BANCROFT MS",0
"BANDINI ST EL",2
"BANNEKER CTC",0
"BANNING SH",6
"BARRETT EL",1
"BARTON HILL EL",1
"BASSETT ST EL",1
"BEACHY AVE EL",0
"BECKFORD CES",2
"BEETHOVEN ST EL",0
"BELL SH",3
"BELLINGHAM EL",0
"BELMONT SH",1
"BELVEDERE EL",2
"BELVEDERE MS",1
"BERENDO MS",7
"BERNSTEIN SH",2
"BERNSTEIN SH STEM",0
"BERTRAND AVE EL",1
"BETHUNE MS",1
"BLYTHE ST EL",0
"BONITA ST EL",2
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",0
"BRADDOCK DR EL",1
"BRADLEY EEC",0
"BRADLEY GLBL AWR MAG",0
"BRAINARD EL",0
"BRAVO SH MEDICAL MAG",1
"BREED ST EL",1
"BRENTWOOD EL SCI MAG",3
"BRIDGE ST EL",0
"BRIDGES SCHOOL",5
"BRIGHT EL",1
"BROAD AVE EL",0
"BROADACRES AV EL",2
"BROADOUS EEC",0
"BROADOUS EL",2
"BROADWAY EL",0
"BROCKTON AVE EL",0
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",1
"BRYSON AVE EL",0
"BUCHANAN ST EL",0
"BUDLONG AVE EL",3
"BURBANK BLVD EL",1
"BURBANK MS A/T/C MAG",3
"BURKE HS",0
"BURROUGHS MS",0
"BURTON ST EL",0
"BUSHNELL WAY EL",0
"BYRD MS",0
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",1
"CAHUENGA EL",0
"CALABASH CA",1
