"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","123.43180898421691"
"Bell/Cudahy/Maywood Community of Schools","154.18456920831363"
"Boyle Heights Community of Schools","148.64213401896191"
"Canoga Park/Chatsworth Community of Schools","104.76982070391351"
"Carson Community of Schools","124.07287456779761"
"Cleveland Community of Schools","108.23900640261242"
"Downtown Community of Schools","108.34052782150899"
"Eagle Rock/Highland Park Community of Schools","97.132784113393527"
"East Los Angeles Community of Schools","113.5777694162242"
"Fairfax Community of Schools","102.39093731278253"
"Fremont Community of Schools","145.2860272094652"
"Gardena Community of Schools","125.88031163882557"
"Glassell Park/Los Feliz Community of Schools","118.77542536449209"
"H.E.E.T. (C/D) Community of Schools","66.884368729590435"
"H.E.E.T. (W) Community of Schools","147.0884545637719"
"Hamilton Community of Schools","101.78421745898694"
"Harbor City/Lomita Community of Schools","112.63711648981787"
"Historic Central Avenue Community of Schools","152.04826557763721"
"Hollywood Community of Schools","90.2234992988065"
"Huntington Park/Vernon Community of Schools","143.76055618838132"
"Kennedy/NAHS/VAAS Community of Schools","101.48946510763601"
"Kreatwn/PcoUnion Community of Schools","112.374405076679"
"LA Mid-City Community of Schools","103.69813472980154"
"Lincoln Heights/El Sereno Community of Schools","107.35673188215362"
"MacArthur Park Community of Schools","119.50128131929414"
"Manual Arts/Vermont Square Community of Schools","131.15344953595707"
"Monroe Community of Schools","110.46767525955589"
"North Hollywood/Valley Village Community of Schools","144.1356340746411"
"Panorama City Community of Schools","116.52999568407424"
"Reseda Community of Schools","122.41788933422804"
"Rivera Community of Schools","168.52684556046665"
"San Fernando Valley/Sylmar Community of Schools","125.28031470415054"
"San Pedro Community of Schools","103.12071240681995"
"South Gate Community of Schools","133.72642682987512"
"South Mid-City Community of Schools","191.92170766368284"
"Sun Valley Community of Schools","120.27049515135927"
"Sunland/Tujunga Community of Schools","163.42334188163122"
"Taft Community of Schools","105.62317674278242"
"Van Nuys/Valley Glen Community of Schools","106.49880709436745"
"Venice Community of Schools","74.919617493730684"
"West LA Community of Schools","47.0253937126048"
"Westchester Community of Schools","94.438347073687424"
"Wilmington Community of Schools","113.98479442842324"
"District Wide","119.04381051620399"
