"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","42.158516020236092"
"Bell/Cudahy/Maywood Community of Schools","40.73098541830722"
"Boyle Heights Community of Schools","54.355321548234265"
"Canoga Park/Chatsworth Community of Schools","43.956043956043956"
"Carson Community of Schools","77.446232730380288"
"Cleveland Community of Schools","45.552796584433452"
"Downtown Community of Schools","28.10683905527954"
"Eagle Rock/Highland Park Community of Schools","42.530192006095994"
"East Los Angeles Community of Schools","61.911411648976056"
"Fairfax Community of Schools","43.447391566967269"
"Fremont Community of Schools","64.766368062175715"
"Gardena Community of Schools","54.280397022332508"
"Glassell Park/Los Feliz Community of Schools","49.667423039841069"
"H.E.E.T. (C/D) Community of Schools","37.787896536739289"
"H.E.E.T. (W) Community of Schools","96.858738177536367"
"Hamilton Community of Schools","44.283799310608963"
"Harbor City/Lomita Community of Schools","63.127327820213374"
"Historic Central Avenue Community of Schools","35.273368606701936"
"Hollywood Community of Schools","35.465071696955754"
"Huntington Park/Vernon Community of Schools","52.37443814735196"
"Kennedy/NAHS/VAAS Community of Schools","69.093081335511684"
"Kreatwn/PcoUnion Community of Schools","43.613418085649336"
"LA Mid-City Community of Schools",72.478901268995
"Lincoln Heights/El Sereno Community of Schools","39.919504779403724"
"MacArthur Park Community of Schools","60.018527458476306"
"Manual Arts/Vermont Square Community of Schools","34.071550255536629"
"Monroe Community of Schools","55.836618669734854"
"North Hollywood/Valley Village Community of Schools","82.986214620076225"
"Panorama City Community of Schools","47.924018646799986"
"Reseda Community of Schools","33.352563640297106"
"Rivera Community of Schools","28.279462231631726"
"San Fernando Valley/Sylmar Community of Schools","51.011628192836248"
"San Pedro Community of Schools","77.210591889378279"
"SO Los Angeles Community of Schools","66.7454481792717"
"South Gate Community of Schools","32.271027923572468"
"South Mid-City Community of Schools","35.237116429305537"
"Sun Valley Community of Schools","39.7234073856113"
"Sunland/Tujunga Community of Schools","39.538389304865696"
"Taft Community of Schools","55.067675274613805"
"Van Nuys/Valley Glen Community of Schools","57.846458970333025"
"Venice Community of Schools","44.688324915300036"
"West LA Community of Schools","82.75862068965516"
"Westchester Community of Schools","66.719700274577221"
"Wilmington Community of Schools","44.408007105281136"
"District Wide","51.100266428830409"
