"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","13.144058885383808"
"Bell/Cudahy/Maywood Community of Schools","22.894792070770343"
"Boyle Heights Community of Schools","22.039991184003526"
"Canoga Park/Chatsworth Community of Schools","23.378806164422514"
"Carson Community of Schools","16.532478053135385"
"Cleveland Community of Schools","23.4672924611323"
"Downtown Community of Schools","23.061312342414364"
"Eagle Rock/Highland Park Community of Schools","25.300869506548707"
"East Los Angeles Community of Schools","26.371647263137582"
"Fairfax Community of Schools","11.981309157713966"
"Fremont Community of Schools","12.867572363163527"
"Gardena Community of Schools","18.3450707813981"
"Glassell Park/Los Feliz Community of Schools","20.921453586210031"
"H.E.E.T. (C/D) Community of Schools","5.2042674993494673"
"H.E.E.T. (W) Community of Schools","7.2068176494964238"
"Hamilton Community of Schools","25.106703489831784"
"Harbor City/Lomita Community of Schools","16.36795155086341"
"Historic Central Avenue Community of Schools","18.759379689844923"
"Hollywood Community of Schools","16.377482780896578"
"Huntington Park/Vernon Community of Schools","25.775853180740281"
"Kennedy/NAHS/VAAS Community of Schools","23.129557647209996"
"Kreatwn/PcoUnion Community of Schools","16.742448274646645"
"LA Mid-City Community of Schools","22.895704042899318"
"Lincoln Heights/El Sereno Community of Schools","14.24035611438698"
"MacArthur Park Community of Schools","16.313623130207809"
"Manual Arts/Vermont Square Community of Schools","23.543900318748189"
"Monroe Community of Schools","20.383702821919819"
"North Hollywood/Valley Village Community of Schools","23.269080646129826"
"Panorama City Community of Schools","21.456062008019206"
"Reseda Community of Schools","14.16324388272834"
"Rivera Community of Schools","26.732513067274478"
"San Fernando Valley/Sylmar Community of Schools","24.012486492976347"
"San Pedro Community of Schools","25.965174210090716"
"SO Los Angeles Community of Schools","15.202959509451173"
"South Gate Community of Schools","24.071700077813169"
"South Mid-City Community of Schools","18.306636155606409"
"Sun Valley Community of Schools","20.880459370106141"
"Sunland/Tujunga Community of Schools","43.159257660768233"
"Taft Community of Schools","16.800641009072347"
"Van Nuys/Valley Glen Community of Schools","18.725972924446207"
"Venice Community of Schools","21.5739611668699"
"West LA Community of Schools","10.593781450288679"
"Westchester Community of Schools","15.775358889414735"
"Wilmington Community of Schools","16.942511939176381"
"District Wide","20.126680616988487"
