"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","22.568269013766642"
"Bell/Cudahy/Maywood Community of Schools","10.962508221881166"
"Boyle Heights Community of Schools","11.093742120921789"
"Canoga Park/Chatsworth Community of Schools","12.082858200107236"
"Carson Community of Schools","8.791208791208792"
"Cleveland Community of Schools","21.742353115580375"
"Downtown Community of Schools","7.6219512195121952"
"Eagle Rock/Highland Park Community of Schools","16.49112777325799"
"East Los Angeles Community of Schools","13.177943417205453"
"Fairfax Community of Schools","8.92299455697332"
"Fremont Community of Schools","24.33820367831385"
"Gardena Community of Schools","18.101513286510752"
"Glassell Park/Los Feliz Community of Schools","11.734084314729476"
"H.E.E.T. (C/D) Community of Schools","10.999587515468169"
"H.E.E.T. (W) Community of Schools","15.715857300015715"
"Hamilton Community of Schools","11.08063935289066"
"Harbor City/Lomita Community of Schools","23.158199449992765"
"Historic Central Avenue Community of Schools","13.32240213158434"
"Hollywood Community of Schools","5.9387712682246043"
"Huntington Park/Vernon Community of Schools","19.882692116512576"
"Jefferson/South Central (West) Community of Schools","13.14343067437748"
"Kennedy/NAHS/VAAS Community of Schools","15.420676042437702"
"Kreatwn/PcoUnion Community of Schools","11.660076956507913"
"LA Mid-City Community of Schools","13.565248846953848"
"Lincoln Heights/El Sereno Community of Schools","13.280316227765235"
"MacArthur Park Community of Schools","14.258781032652609"
"Manual Arts/Vermont Square Community of Schools","21.620883497576184"
"Monroe Community of Schools","15.622846114965768"
"North Hollywood/Valley Village Community of Schools","15.6689328586227"
"Panorama City Community of Schools","10.855405992184107"
"Reseda Community of Schools","14.034102869974037"
"Rivera Community of Schools","9.7864115675384742"
"San Fernando Valley/Sylmar Community of Schools","9.24684451430949"
"San Pedro Community of Schools","15.056612864370033"
"South Gate Community of Schools","24.715768660405338"
"South Mid-City Community of Schools","38.200880035088218"
"Sun Valley Community of Schools","10.128396908501619"
"Sunland/Tujunga Community of Schools","12.890917059839637"
"Taft Community of Schools","20.800166401331211"
"Van Nuys/Valley Glen Community of Schools","12.147172585749448"
"Venice Community of Schools","7.45276808227856"
"West LA Community of Schools","8.7474714340385979"
"Westchester Community of Schools","30.49541182667517"
"Wilmington Community of Schools","6.0697290472953283"
"District Wide","14.587811547548467"
