"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","260.035754916301"
"Bell/Cudahy/Maywood Community of Schools","276.23927846300467"
"Boyle Heights Community of Schools","245.03798088703749"
"Canoga Park/Chatsworth Community of Schools","142.06943115962414"
"Carson Community of Schools","185.88552015896417"
"Cleveland Community of Schools","188.24919025164488"
"Downtown Community of Schools","209.38709038111895"
"Eagle Rock/Highland Park Community of Schools","193.75751843451272"
"East Los Angeles Community of Schools","221.41834669600107"
"Fairfax Community of Schools","190.41748758984295"
"Fremont Community of Schools","285.96881292998256"
"Gardena Community of Schools","200.29361222701459"
"Glassell Park/Los Feliz Community of Schools","211.85387056026894"
"H.E.E.T. (C/D) Community of Schools","148.14221652786676"
"H.E.E.T. (W) Community of Schools","216.78789229491258"
"Hamilton Community of Schools","208.71789303509598"
"Harbor City/Lomita Community of Schools","162.57225433526011"
"Historic Central Avenue Community of Schools","287.59244042728017"
"Hollywood Community of Schools","186.74136321195144"
"Huntington Park/Vernon Community of Schools","277.1395409432219"
"Kennedy/NAHS/VAAS Community of Schools","197.57450354915653"
"Kreatwn/PcoUnion Community of Schools","271.87345526445876"
"LA Mid-City Community of Schools","259.21658986175117"
"Lincoln Heights/El Sereno Community of Schools","158.51397440886305"
"MacArthur Park Community of Schools","272.63326125787347"
"Manual Arts/Vermont Square Community of Schools","274.08579288384607"
"Monroe Community of Schools","244.97710373005773"
"North Hollywood/Valley Village Community of Schools","202.8546889697763"
"Panorama City Community of Schools","241.49349992046623"
"Reseda Community of Schools","187.33265710813205"
"Rivera Community of Schools","293.02057296673718"
"San Fernando Valley/Sylmar Community of Schools","288.51774792726081"
"San Pedro Community of Schools","168.3575879910797"
"South Gate Community of Schools","254.38420179890457"
"South Mid-City Community of Schools","333.79898536872287"
"Sun Valley Community of Schools","272.05832202914587"
"Sunland/Tujunga Community of Schools","317.06887440549588"
"Taft Community of Schools","207.98128168464837"
"Van Nuys/Valley Glen Community of Schools","246.81029073415604"
"Venice Community of Schools","174.61369350037344"
"West LA Community of Schools","140.47903350424949"
"Westchester Community of Schools","174.02876593130983"
"Wilmington Community of Schools","257.49304768771242"
"District Wide","226.45683684862121"
