"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","22.343645264162824"
"Bell/Cudahy/Maywood Community of Schools","8.7401127474544431"
"Boyle Heights Community of Schools","15.227107834794838"
"Canoga Park/Chatsworth Community of Schools","13.825119514520013"
"Carson Community of Schools","22.492760142829024"
"Cleveland Community of Schools","12.363643280359877"
"Downtown Community of Schools","4.7259872587383507"
"Eagle Rock/Highland Park Community of Schools","12.923749875733176"
"East Los Angeles Community of Schools","9.86687311201178"
"Fairfax Community of Schools","12.900653242168717"
"Fremont Community of Schools","14.519555548762781"
"Gardena Community of Schools","12.747858939146356"
"Glassell Park/Los Feliz Community of Schools","14.321518080916578"
"H.E.E.T. (C/D) Community of Schools","45.731707317073173"
"H.E.E.T. (W) Community of Schools","18.660584698320548"
"Hamilton Community of Schools","10.09858746007902"
"Harbor City/Lomita Community of Schools","20.404276736403951"
"Historic Central Avenue Community of Schools","10.943858008416822"
"Hollywood Community of Schools","10.62222641865735"
"Huntington Park/Vernon Community of Schools","5.6382498872350029"
"Kennedy/NAHS/VAAS Community of Schools","11.084508291212202"
"Kreatwn/PcoUnion Community of Schools","21.829944730549023"
"LA Mid-City Community of Schools","11.098933115054317"
"Lincoln Heights/El Sereno Community of Schools","4.58547322083639"
"MacArthur Park Community of Schools","18.556583304784741"
"Manual Arts/Vermont Square Community of Schools","8.3719664702742858"
"Monroe Community of Schools","4.417624554924326"
"North Hollywood/Valley Village Community of Schools","19.976527580093393"
"Panorama City Community of Schools","1.4926041464543189"
"Reseda Community of Schools","18.061523251834668"
"Rivera Community of Schools","10.169438490542422"
"San Fernando Valley/Sylmar Community of Schools","6.4257441011669147"
"San Pedro Community of Schools","9.2284976005906252"
"South Gate Community of Schools","8.568923809084378"
"South Mid-City Community of Schools","10.538518284329223"
"Sun Valley Community of Schools","5.39257981018119"
"Sunland/Tujunga Community of Schools","20.2526518315992"
"Taft Community of Schools","18.549984789012473"
"Van Nuys/Valley Glen Community of Schools","11.025763534124739"
"Venice Community of Schools","5.6376141616867743"
"West LA Community of Schools","18.453021682300477"
"Westchester Community of Schools","33.784661763559349"
"Wilmington Community of Schools","12.902771749967743"
"District Wide","12.427604047363388"
