"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","10.211375472276115"
"Bell/Cudahy/Maywood Community of Schools","10.967317394165388"
"Boyle Heights Community of Schools","8.029065216082218"
"Canoga Park/Chatsworth Community of Schools","15.072498718837609"
"Carson Community of Schools","12.678473901849106"
"Cleveland Community of Schools","10.87493821057835"
"Downtown Community of Schools","7.6068766164612809"
"Eagle Rock/Highland Park Community of Schools","6.5681444991789819"
"East Los Angeles Community of Schools","14.79703401673709"
"Fairfax Community of Schools","5.0915848830844821"
"Fremont Community of Schools","12.890335470980633"
"Gardena Community of Schools","6.0180783072349344"
"Glassell Park/Los Feliz Community of Schools","11.74812030075188"
"H.E.E.T. (C/D) Community of Schools","10.938525486764386"
"H.E.E.T. (W) Community of Schools","15.718327569946558"
"Hamilton Community of Schools","6.9166816528102473"
"Harbor City/Lomita Community of Schools","11.56737998843262"
"Historic Central Avenue Community of Schools","21.43010215015358"
"Hollywood Community of Schools","14.825357291110716"
"Huntington Park/Vernon Community of Schools","11.641443538998837"
"Jefferson/South Central (West) Community of Schools","7.1309721892084621"
"Kennedy/NAHS/VAAS Community of Schools","12.291429800571551"
"Kreatwn/PcoUnion Community of Schools","8.4213185679547777"
"LA Mid-City Community of Schools","9.0434992313025653"
"Lincoln Heights/El Sereno Community of Schools","16.400612289525476"
"MacArthur Park Community of Schools","4.7418834761167137"
"Manual Arts/Vermont Square Community of Schools","12.368583797155226"
"Monroe Community of Schools","10.987602322046625"
"North Hollywood/Valley Village Community of Schools","4.3261202488384365"
"Panorama City Community of Schools","9.2854821486605683"
"Reseda Community of Schools","7.0343275182892517"
"Rivera Community of Schools","16.249461736579978"
"San Fernando Valley/Sylmar Community of Schools","7.2426076021043064"
"San Pedro Community of Schools","11.040740331824432"
"South Gate Community of Schools","14.16882150827105"
"South Mid-City Community of Schools","19.675356615838663"
"Sun Valley Community of Schools","10.154425376690126"
"Sunland/Tujunga Community of Schools","7.7206166199140442"
"Taft Community of Schools","13.553808620222282"
"Van Nuys/Valley Glen Community of Schools","7.0322588894145328"
"Venice Community of Schools","17.452006980802793"
"West LA Community of Schools","4.3398539639141145"
"Westchester Community of Schools","27.680128435795943"
"Wilmington Community of Schools",9.7380465478625
"District Wide","11.109983086008508"
