"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","43.962192514437582"
"Bell/Cudahy/Maywood Community of Schools","57.930714865021436"
"Boyle Heights Community of Schools","75.427014225697093"
"Canoga Park/Chatsworth Community of Schools","65.511617858188259"
"Carson Community of Schools","109.41113680839707"
"Cleveland Community of Schools","60.771258769382015"
"Downtown Community of Schools","56.813503499382463"
"Eagle Rock/Highland Park Community of Schools","59.457252897431808"
"East Los Angeles Community of Schools","72.847727631967786"
"Fairfax Community of Schools","50.891664369473482"
"Fremont Community of Schools","84.414592081038009"
"Gardena Community of Schools","79.64161274265804"
"Glassell Park/Los Feliz Community of Schools","74.880871341048334"
"H.E.E.T. (C/D) Community of Schools","40.005334044539275"
"H.E.E.T. (W) Community of Schools","112.03737110954977"
"Hamilton Community of Schools","62.226264270157721"
"Harbor City/Lomita Community of Schools","78.160455851948967"
"Historic Central Avenue Community of Schools","61.962593658843495"
"Hollywood Community of Schools","50.746840291076218"
"Huntington Park/Vernon Community of Schools","64.8391909943832"
"Kennedy/NAHS/VAAS Community of Schools","87.743902877568487"
"Kreatwn/PcoUnion Community of Schools","53.817318041791928"
"LA Mid-City Community of Schools","89.538691753854451"
"Lincoln Heights/El Sereno Community of Schools","45.332401197212334"
"MacArthur Park Community of Schools","59.963761031376691"
"Manual Arts/Vermont Square Community of Schools","49.518890000097095"
"Monroe Community of Schools","60.829820129601316"
"North Hollywood/Valley Village Community of Schools","106.39326820775703"
"Panorama City Community of Schools","53.754848832648079"
"Reseda Community of Schools","71.959271052584242"
"Rivera Community of Schools","42.084321677251509"
"San Fernando Valley/Sylmar Community of Schools","70.578560074629152"
"San Pedro Community of Schools","94.659619783860535"
"SO Los Angeles Community of Schools","94.2951438000943"
"South Gate Community of Schools","41.367311307267869"
"South Mid-City Community of Schools","55.614910650255389"
"Sun Valley Community of Schools","65.436364973163748"
"Sunland/Tujunga Community of Schools","56.738288477193677"
"Taft Community of Schools","70.904026335781211"
"Van Nuys/Valley Glen Community of Schools","71.3283580329879"
"Venice Community of Schools","59.169140697988254"
"West LA Community of Schools","97.4428630484852"
"Westchester Community of Schools","114.22479439537008"
"Wilmington Community of Schools","64.836827317916573"
"District Wide","68.339713179402054"
