"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","3.7421648423613059"
"Bell/Cudahy/Maywood Community of Schools","6.9925180057338645"
"Boyle Heights Community of Schools","6.8345433006287779"
"Canoga Park/Chatsworth Community of Schools","6.3110595006689723"
"Carson Community of Schools","14.046104271668181"
"Cleveland Community of Schools","5.0248731219536706"
"Downtown Community of Schools","5.35360565340757"
"Eagle Rock/Highland Park Community of Schools","9.2885008359650758"
"East Los Angeles Community of Schools","7.055623973727422"
"Fairfax Community of Schools","6.975933031042902"
"Fremont Community of Schools","10.127402726296813"
"Gardena Community of Schools","6.0932882430003357"
"Glassell Park/Los Feliz Community of Schools","9.084137279482567"
"H.E.E.T. (C/D) Community of Schools","1.7341240939201608"
"H.E.E.T. (W) Community of Schools","5.3725890506635148"
"Hamilton Community of Schools","9.802640177754542"
"Harbor City/Lomita Community of Schools","4.6815383535029609"
"Historic Central Avenue Community of Schools","5.36216989141606"
"Hollywood Community of Schools","11.821405837955806"
"Huntington Park/Vernon Community of Schools","5.1498609537542483"
"Kennedy/NAHS/VAAS Community of Schools","9.641651936365097"
"Kreatwn/PcoUnion Community of Schools","7.9365079365079367"
"LA Mid-City Community of Schools","3.6105427849320013"
"Lincoln Heights/El Sereno Community of Schools","8.37135322924951"
"MacArthur Park Community of Schools","2.5073653858208487"
"Manual Arts/Vermont Square Community of Schools","4.524231785442832"
"Monroe Community of Schools","4.0637521436292561"
"North Hollywood/Valley Village Community of Schools","8.967336476882954"
"Panorama City Community of Schools",0
"Reseda Community of Schools","4.1518583718072213"
"Rivera Community of Schools","2.80869290453955"
"San Fernando Valley/Sylmar Community of Schools","9.1286165011154026"
"San Pedro Community of Schools","2.4298187355223297"
"SO Los Angeles Community of Schools","5.0558162109690992"
"South Gate Community of Schools","6.1530544321569804"
"South Mid-City Community of Schools","2.6071200448424645"
"Sun Valley Community of Schools","3.4777044368553205"
"Sunland/Tujunga Community of Schools","9.05592030790129"
"Taft Community of Schools","6.463831630113698"
"Van Nuys/Valley Glen Community of Schools","8.2484204274881368"
"Venice Community of Schools","11.270039539055384"
"West LA Community of Schools","10.618059549617309"
"Westchester Community of Schools","4.5229426264727834"
"Wilmington Community of Schools","6.3529710728050484"
"District Wide","6.7247405354652852"
