"School name","Cases among staff and students"
"Unassigned",135
"102ND ST EEC",0
"107TH ST EL",0
"109TH ST EL",1
"10TH ST EL",2
"112TH ST EEC",0
"112TH ST EL",2
"116TH ST EL",0
"118TH ST EL",0
"122ND ST EL",4
"135TH ST EL",3
"153RD ST EL",4
"156TH ST EL",0
"15TH ST EL",1
"186TH ST EL",3
"1ST ST EL",1
"20TH ST EL",7
"232ND PL EL",1
"24TH ST EEC",0
"24TH ST EL",3
"28TH ST EEC",0
"28TH ST EL",0
"2ND ST EL",1
"32ND ST USC PA MAG",6
"36TH ST EEC",1
"37TH ST EEC",0
"3RD ST EL",8
"42ND ST EL",7
"49TH ST EL",1
"4TH ST EEC",0
"4TH ST EL",3
"4TH ST PC",0
"52ND ST EL",4
"54TH ST EL",1
"59TH ST EL",1
"61ST ST EL",0
"66TH ST EEC",0
"66TH ST EL",0
"6TH AVE EL",1
"74TH ST EL",4
"75TH ST EEC",0
"75TH ST EL",8
"7TH ST EL AI MAG",1
"92ND ST EL",3
"93RD ST EL",4
"95TH ST EEC",0
"95TH ST EL",0
"96TH ST EL",1
"97TH ST EEC",0
"99TH ST EL",1
"9TH ST EL",0
"ACAD ENRICH SCI MAG",0
"ADAMS MS",3
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",1
"ALEXANDER SCS",2
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",1
"ALLESANDRO EL",2
"ALTA CALIFORNIA EL",1
"ALTA LOMA EL",1
"AMANECER PC",0
"AMBLER AVE EL",1
"AMESTOY EL",1
"ANATOLA AVE EL",2
"ANDASOL AVE EL",6
"ANGELES MESA EL",0
"ANGELOU COMMUNITY SH",1
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",1
"ANNANDALE EL",4
"ANTON EEC",1
"ANTON EL",0
"APPERSON ST EL",3
"ARAGON AVE EL",0
"ARLETA SH",6
"ARLINGTON HTS EL",1
"ARMINTA ST EEC",1
"ARMINTA ST EL",2
"ARMSTRONG MS",21
"ARROYO SECO MUS/S MAG",3
"ASCOT AVE EL",1
"ATWATER AVE EL",2
"AUDUBON MS",0
"AURORA EL",0
"AVALON GARDENS EL",1
"BACA ARTS ACAD",0
"BAKEWELL PC",1
"BALA",0
"BALBOA EL G/HG/HA MAG",5
"BALDWIN HILLS EL",2
"BANCROFT MS",1
"BANDINI ST EL",0
"BANNEKER CTC",3
"BANNING SH",11
"BARRETT EL",0
"BARTON HILL EL",0
"BASSETT ST EL",1
"BEACHY AVE EL",0
"BECKFORD CES",5
"BEETHOVEN ST EL",7
"BELL SH",5
"BELLINGHAM EL",2
"BELMONT SH",0
"BELVEDERE EL",5
"BELVEDERE MS",2
"BERENDO MS",2
"BERNSTEIN SH",0
"BERNSTEIN SH STEM",0
"BERTRAND AVE EL",3
"BETHUNE MS",2
"BLYTHE ST EL",1
"BONITA ST EL",0
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",0
"BRADDOCK DR EL",6
"BRADLEY EEC",0
"BRADLEY GLBL AWR MAG",0
"BRAINARD EL",1
"BRAVO SH MEDICAL MAG",8
"BREED ST EL",0
"BRENTWOOD EL SCI MAG",1
"BRIDGE ST EL",0
"BRIDGES SCHOOL",2
"BRIGHT EL",2
"BROAD AVE EL",1
"BROADACRES AV EL",0
"BROADOUS EEC",0
"BROADOUS EL",1
"BROADWAY EL",18
"BROCKTON AVE EL",0
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",1
"BRYSON AVE EL",0
"BUCHANAN ST EL",1
"BUDLONG AVE EL",0
"BURBANK BLVD EL",2
"BURBANK MS A/T/C MAG",3
"BURKE HS",0
"BURROUGHS MS",8
"BURTON ST EL",0
"BUSHNELL WAY EL",1
"BYRD MS",1
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",1
"CAHUENGA EL",0
"CALABASH CA",5
"CALAHAN ST EL",3
"CALVERT CES",4
"CAMELLIA AVE EL",2
"CANFIELD AVE EL",3
"CANOGA PARK EEC",0
"CANOGA PARK EL",8
"CANOGA PRK SH",7
"CANTARA ST EL",3
"CANTERBURY AVE EL",4
"CANYON CEL",2
"CAPISTRANO AVE EL",4
"CARDENAS EL",0
"CARLSON HOSPITAL",0
"CARNEGIE MS",2
"CAROLDALE LC",3
"CARPENTER COMM CHTR",5
"CARSON ACAD ED & EMP",2
"CARSON ACAD MED ARTS",2
"CARSON SH",4
