"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","18.51013944305047"
"Bell/Cudahy/Maywood Community of Schools","17.015089290548119"
"Boyle Heights Community of Schools","9.9165030443664346"
"Canoga Park/Chatsworth Community of Schools","21.138297310151668"
"Carson Community of Schools","19.302410871117804"
"Cleveland Community of Schools","17.601674114782472"
"Downtown Community of Schools","12.631047113805735"
"Eagle Rock/Highland Park Community of Schools","19.255867690793558"
"East Los Angeles Community of Schools","13.006226731047489"
"Fairfax Community of Schools","12.531328320802006"
"Fremont Community of Schools","9.4990065622303668"
"Gardena Community of Schools","24.908668216539354"
"Glassell Park/Los Feliz Community of Schools","11.582726995124725"
"H.E.E.T. (C/D) Community of Schools","16.691704223001167"
"H.E.E.T. (W) Community of Schools","4.2535996086688366"
"Hamilton Community of Schools","8.08244089715094"
"Harbor City/Lomita Community of Schools","20.195900232252853"
"Historic Central Avenue Community of Schools","20.37469055938713"
"Hollywood Community of Schools","7.1094427618763243"
"Huntington Park/Vernon Community of Schools","14.887844901740223"
"Jefferson/South Central (West) Community of Schools","5.863451931421066"
"Kennedy/NAHS/VAAS Community of Schools","7.5673875864574027"
"Kreatwn/PcoUnion Community of Schools","8.3231894461957818"
"LA Mid-City Community of Schools","5.9050177888660889"
"Lincoln Heights/El Sereno Community of Schools","13.641530882910192"
"MacArthur Park Community of Schools","7.7078419584084852"
"Manual Arts/Vermont Square Community of Schools","6.5626127949074133"
"Monroe Community of Schools","21.741099737295048"
"North Hollywood/Valley Village Community of Schools","13.67462928934661"
"Panorama City Community of Schools","18.548860790799768"
"Reseda Community of Schools","11.889899530348968"
"Rivera Community of Schools","12.942889500080893"
"San Fernando Valley/Sylmar Community of Schools","28.919780472575503"
"San Pedro Community of Schools","7.8422915175814376"
"South Gate Community of Schools","15.375261204721602"
"South Mid-City Community of Schools","7.7808901338313108"
"Sun Valley Community of Schools","14.862211653538379"
"Sunland/Tujunga Community of Schools","5.1203277009728625"
"Taft Community of Schools","14.491648234307069"
"Van Nuys/Valley Glen Community of Schools","11.325384591185076"
"Venice Community of Schools","8.5881140501545854"
"West LA Community of Schools","11.538501882873716"
"Westchester Community of Schools","10.710938545990093"
"Wilmington Community of Schools","13.352269278856074"
"District Wide","13.806658632843421"
