"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","7.9145231499802131"
"Bell/Cudahy/Maywood Community of Schools","11.95290555212463"
"Boyle Heights Community of Schools","8.8541163591873531"
"Canoga Park/Chatsworth Community of Schools","4.8567265662943182"
"Carson Community of Schools","6.2519537355423571"
"Cleveland Community of Schools","7.1580680374366965"
"Downtown Community of Schools","8.9529886703997921"
"Eagle Rock/Highland Park Community of Schools","5.38304877939369"
"East Los Angeles Community of Schools","8.86549005701192"
"Fairfax Community of Schools","2.13140086321735"
"Fremont Community of Schools","8.0515887248479352"
"Gardena Community of Schools","4.496958931522558"
"Glassell Park/Los Feliz Community of Schools","14.875787177071453"
"H.E.E.T. (C/D) Community of Schools","11.061335103146948"
"H.E.E.T. (W) Community of Schools","7.5069439231288939"
"Hamilton Community of Schools","3.6614389455055836"
"Harbor City/Lomita Community of Schools","12.497344314333205"
"Historic Central Avenue Community of Schools","10.354013121358447"
"Hollywood Community of Schools","3.8840985007379785"
"Huntington Park/Vernon Community of Schools","5.4926947160276836"
"Kennedy/NAHS/VAAS Community of Schools","5.7597880398001351"
"Kreatwn/PcoUnion Community of Schools","6.5672818020621264"
"LA Mid-City Community of Schools","3.6977690126956735"
"Lincoln Heights/El Sereno Community of Schools","11.465260261407934"
"MacArthur Park Community of Schools","5.2797613547867641"
"Manual Arts/Vermont Square Community of Schools","11.816140848398913"
"Monroe Community of Schools","7.7936248149014107"
"North Hollywood/Valley Village Community of Schools","2.4345116369656248"
"Panorama City Community of Schools","4.2656656571257949"
"Reseda Community of Schools","10.795250089960417"
"Rivera Community of Schools","9.7692943563537984"
"San Fernando Valley/Sylmar Community of Schools","7.2991812751669682"
"San Pedro Community of Schools","11.3337169360604"
"SO Los Angeles Community of Schools","3.3274179236912156"
"South Gate Community of Schools","6.0077018738022145"
"South Mid-City Community of Schools","4.3951536106186913"
"Sun Valley Community of Schools","7.3652888666293492"
"Sunland/Tujunga Community of Schools","12.422360248447205"
"Taft Community of Schools","8.1214976041582059"
"Van Nuys/Valley Glen Community of Schools","6.5126137487196791"
"Venice Community of Schools","7.2886297376093294"
"West LA Community of Schools","4.7961170636252888"
"Westchester Community of Schools","13.433998764072113"
"Wilmington Community of Schools","9.0351580587962914"
"District Wide","7.5768418039618464"
