"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","16.019864632143857"
"Bell/Cudahy/Maywood Community of Schools","25.882384993665628"
"Boyle Heights Community of Schools","12.014898474107895"
"Canoga Park/Chatsworth Community of Schools","109.60549004824038"
"Carson Community of Schools","32.665505226480839"
"Cleveland Community of Schools","36.410639188770958"
"Downtown Community of Schools","25.876892769495317"
"Eagle Rock/Highland Park Community of Schools","79.9188240259332"
"East Los Angeles Community of Schools","29.805226311776529"
"Fairfax Community of Schools","52.14557305812059"
"Fremont Community of Schools","24.368271034248497"
"Gardena Community of Schools","41.3333929129988"
"Glassell Park/Los Feliz Community of Schools","35.679597216991418"
"H.E.E.T. (C/D) Community of Schools","28.617216117216117"
"H.E.E.T. (W) Community of Schools","7.9354057968139342"
"Hamilton Community of Schools",106.0761364449
"Harbor City/Lomita Community of Schools","24.161346931508941"
"Historic Central Avenue Community of Schools","18.337290327561909"
"Hollywood Community of Schools","25.765817348983681"
"Huntington Park/Vernon Community of Schools","21.955101816784673"
"Kennedy/NAHS/VAAS Community of Schools","75.4261577915221"
"Kreatwn/PcoUnion Community of Schools","24.355971896955506"
"LA Mid-City Community of Schools","62.853551225644246"
"Lincoln Heights/El Sereno Community of Schools","19.786307874950534"
"MacArthur Park Community of Schools","19.61604854318146"
"Manual Arts/Vermont Square Community of Schools","36.317948919295631"
"Monroe Community of Schools","39.515505540761104"
"North Hollywood/Valley Village Community of Schools","58.276001618777819"
"Panorama City Community of Schools","17.396851169938241"
"Reseda Community of Schools","33.570748083291747"
"Rivera Community of Schools","18.38770475475399"
"San Fernando Valley/Sylmar Community of Schools","41.020541346841107"
"San Pedro Community of Schools","37.520505392481937"
"South Gate Community of Schools","21.095999205797678"
"South Mid-City Community of Schools","8.699308404981803"
"Sun Valley Community of Schools","36.86150605581885"
"Sunland/Tujunga Community of Schools","59.929582740280175"
"Taft Community of Schools","94.845301564947476"
"Van Nuys/Valley Glen Community of Schools","53.484516232550675"
"Venice Community of Schools","52.722442186223937"
"West LA Community of Schools","124.46604068545938"
"Westchester Community of Schools","63.345664622713223"
"Wilmington Community of Schools","39.780412125069617"
"District Wide","42.19216748149524"
