"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","13.585110718652357"
"Bell/Cudahy/Maywood Community of Schools","3.2995459824728117"
"Boyle Heights Community of Schools","3.9474203607942213"
"Canoga Park/Chatsworth Community of Schools","1.3171412765733252"
"Carson Community of Schools","3.5134565385426186"
"Cleveland Community of Schools","4.4056356891735913"
"Downtown Community of Schools","6.333021959753645"
"Eagle Rock/Highland Park Community of Schools","12.181009805712893"
"East Los Angeles Community of Schools","6.0418904403866813"
"Fairfax Community of Schools","4.1713159458980318"
"Fremont Community of Schools","8.679927667269439"
"Gardena Community of Schools","7.6722418290624521"
"Glassell Park/Los Feliz Community of Schools","4.7803889324435431"
"H.E.E.T. (C/D) Community of Schools","3.6842590034079392"
"H.E.E.T. (W) Community of Schools","1.9307628443998224"
"Hamilton Community of Schools","2.2961848888072467"
"Harbor City/Lomita Community of Schools","4.8835874833652806"
"Historic Central Avenue Community of Schools","6.5049112079620111"
"Hollywood Community of Schools","1.9057783198658331"
"Huntington Park/Vernon Community of Schools","3.8733567284079728"
"Kennedy/NAHS/VAAS Community of Schools","0.67366378787674641"
"Kreatwn/PcoUnion Community of Schools","2.7467245309967865"
"LA Mid-City Community of Schools","5.0564425398510879"
"Lincoln Heights/El Sereno Community of Schools","2.1636006642254038"
"MacArthur Park Community of Schools","7.8694716961334663"
"Manual Arts/Vermont Square Community of Schools","2.8981027087599984"
"Monroe Community of Schools","5.1249199231262006"
"North Hollywood/Valley Village Community of Schools","2.365706715452796"
"Panorama City Community of Schools","6.9180214458664819"
"Reseda Community of Schools",6.0779189205616
"Rivera Community of Schools","1.4702531040718658"
"San Fernando Valley/Sylmar Community of Schools","11.330296018891778"
"San Pedro Community of Schools","5.1099490708409272"
"SO Los Angeles Community of Schools","3.2134020287278142"
"South Gate Community of Schools","7.044816776057016"
"South Mid-City Community of Schools","2.8074509748873511"
"Sun Valley Community of Schools","1.4537947677926308"
"Sunland/Tujunga Community of Schools","2.3945213351850967"
"Taft Community of Schools","7.5516775021796887"
"Van Nuys/Valley Glen Community of Schools","3.47429312611105"
"Venice Community of Schools","6.9213732004429671"
"West LA Community of Schools","7.4317670884194484"
"Westchester Community of Schools","2.4651793417971155"
"Wilmington Community of Schools","4.4006821057263874"
"District Wide","4.8434289753212934"
