"School name","Cases among staff and students"
"Unassigned",1012
"102ND ST EEC",3
"107TH ST EL",67
"109TH ST EL",25
"10TH ST EL",32
"112TH ST EEC",3
"112TH ST EL",24
"116TH ST EL",27
"118TH ST EL",39
"122ND ST EL",48
"135TH ST EL",33
"153RD ST EL",29
"156TH ST EL",8
"15TH ST EL",27
"186TH ST EL",46
"1ST ST EL",30
"20TH ST EL",44
"232ND PL EL",14
"24TH ST EEC",6
"24TH ST EL",61
"28TH ST EEC",5
"28TH ST EL",64
"2ND ST EL",15
"32ND ST USC PA MAG",50
"36TH ST EEC",3
"37TH ST EEC",5
"3RD ST EL",9
"42ND ST EL",12
"49TH ST EL",43
"4TH ST EEC",3
"4TH ST EL",28
"4TH ST PC",16
"52ND ST EL",44
"54TH ST EL",17
"59TH ST EL",16
"61ST ST EL",61
"66TH ST EEC",10
"66TH ST EL",61
"6TH AVE EL",26
"74TH ST EL",20
"75TH ST EEC",3
"75TH ST EL",63
"7TH ST EL AI MAG",22
"92ND ST EL",63
"93RD ST EL",62
"95TH ST EEC",4
"95TH ST EL",44
"96TH ST EL",29
"97TH ST EEC",5
"99TH ST EL",62
"9TH ST EL",18
"ACAD ENRICH SCI MAG",10
"ADAMS MS",48
"ADDAMS HS",6
"AGGELER HS",1
"ALBION ST EEC",4
"ALBION ST EL",12
"ALDAMA EL",23
"ALEXANDER SCS",36
"ALEXANDRIA AVE EEC",4
"ALEXANDRIA AVE EL",45
"ALLESANDRO EL",13
"ALTA CALIFORNIA EL",40
"ALTA LOMA EL",25
"AMANECER PC",8
"AMBLER AVE EL",25
"AMESTOY EL",37
"ANATOLA AVE EL",18
"ANDASOL AVE EL",18
"ANGELES MESA EL",20
"ANGELOU COMMUNITY SH",93
"ANGEL'S GATE HS",1
"ANN ST EL",2
"ANNALEE AVE EL",11
"ANNANDALE EL",6
"ANTON EEC",5
"ANTON EL",19
"APPERSON ST EL",16
"ARAGON AVE EL",5
"ARLETA SH",54
"ARLINGTON HTS EL",25
"ARMINTA ST EEC",11
"ARMINTA ST EL",32
"ARROYO SECO MUS/S MAG",27
"ASCOT AVE EL",70
"ATWATER AVE EL",21
"AUDUBON MS",22
"AURORA EL",34
"AVALON GARDENS EL",11
"BACA ARTS ACAD",46
"BAKEWELL PC",13
"BALA",0
"BALBOA EL G/HG/HA MAG",12
"BALDWIN HILLS EL",27
"BANCROFT MS",14
"BANDINI ST EL",3
"BANNEKER CTC",18
"BANNING SH",129
"BARRETT EL",44
"BARTON HILL EL",32
"BASSETT ST EL",46
"BEACHY AVE EL",20
"BECKFORD CES",19
"BEETHOVEN ST EL",15
"BELL SH",165
"BELLINGHAM EL",33
"BELMONT SH",46
"BELVEDERE EL",32
"BELVEDERE MS",32
"BERENDO MS",34
"BERNSTEIN SH",43
"BERNSTEIN SH STEM",38
"BERTRAND AVE EL",15
"BETHUNE MS",84
"BLYTHE ST EL",21
"BONITA ST EL",13
"BOYLE HEIGHTS HS",3
"BOYLE HTS STEM MAG",4
"BRADDOCK DR EL",21
"BRADLEY EEC",5
"BRADLEY GLBL AWR MAG",11
"BRAINARD EL",4
"BRAVO SH MEDICAL MAG",108
"BREED ST EL",16
"BRENTWOOD EL SCI MAG",14
"BRIDGE ST EL",11
"BRIDGES SCHOOL",59
"BRIGHT EL",24
"BROAD AVE EL",26
"BROADACRES AV EL",20
"BROADOUS EEC",5
"BROADOUS EL",26
"BROADWAY EL",8
"BROCKTON AVE EL",10
"BROOKLYN AVE EEC",5
"BROOKLYN AVE EL",17
"BRYSON AVE EL",40
"BUCHANAN ST EL",18
"BUDLONG AVE EL",83
"BURBANK BLVD EL",14
"BURBANK MS A/T/C MAG",60
"BURKE HS",4
"BURROUGHS MS",70
"BURTON ST EL",21
"BUSHNELL WAY EL",5
"BYRD MS",64
"CABRILLO AVE EEC",7
"CABRILLO AVE EL",11
"CAHUENGA EL",21
"CALABASH CA",20
"CALAHAN ST EL",28
"CALVERT CES",12
"CAMELLIA AVE EL",29
"CANFIELD AVE EL",16
"CANOGA PARK EEC",12
"CANOGA PARK EL",35
"CANOGA PRK SH",79
"CANTARA ST EL",13
"CANTERBURY AVE EL",29
"CANYON CEL",5
"CAPISTRANO AVE EL",13
"CARDENAS EL",22
"CARLSON HOSPITAL",4
"CARNEGIE MS",33
"CAROLDALE LC",34
"CARPENTER COMM CHTR",16
"CARSON ACAD ED & EMP",15
"CARSON ACAD MED ARTS",9
"CARSON SH",47
"CARSON ST EL",26
"CARSON-GORE ACADEMY",31
"CARTHAY EL ES MAG",11
"CARVER MS",56
"CASTELAR ST EEC",8
"CASTELAR ST EL",20
"CASTLE HTS EL",10
"CASTLEBAY LN CHTR",18
"CASTRO MS",21
"CATSKILL AVE EL",24
"CDS AGGELER",0
"CDS ALONZO",2
"CDS JOHNSON",0
"CDS JOHNSTON",1
"CDS LONDON",2
"CDS TRI-C",15
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",13
"CENTURY PARK EL",27
"CHANDLER EL",14
"CHAPMAN EL",23
"CHARNOCK ROAD EL",12
"CHASE ST EEC",9
"CHASE ST EL",38
"CHATSWORTH CHS",60
"CHATSWORTH UP/CD MAG",13
"CHAVEZ EL",13
"CHAVEZ LA ARTES MAG",24
"CHAVEZ LA ASE",32
"CHAVEZ LA SJ HUM AC",25
"CHAVEZ LA TECH PREP",21
"CHEREMOYA AVE EL",19
"CHEVIOT HILLS HS",3
"CIENEGA EL",24
"CIMARRON AVE EL",19
"CITY OF ANGELS",76
"CITY TERRACE EL",19
"CLEVELAND CHS",119
"CLEVELAND EEC",4
"CLEVELAND INFANT CTR",0
"CLIFFORD ST M/T MAG",3
"CLINTON MS",25
"CLOVER AVE EL",6
"COCHRAN MS",32
"COEUR D ALENE AVE EL",11
"COHASSET ST EL",42
"COLDWATER CYN EL",25
"COLFAX CEL",23
"COLISEUM ST EL",9
"COLLINS EEC",3
"COLUMBUS AVE EL",19
"COLUMBUS MS",26
"COMMONWLTH AVE EL",35
"COMMUNITY EL MAG CS",11
"COMPTON AVE EL",23
"CONTRERAS LC ALC",37
"CONTRERAS LC BUS TR",22
"CONTRERAS LC GLBL ST",19
"CONTRERAS LC SOC JUS",47
"CORONA AVE EL",44
"CORTINES SCH OF VAPA",49
"COUGHLIN EL",17
"COWAN AVE EL",21
"CRENSHAW ARTS TECH",11
"CRENSHAW MAG STEMM",22
"CRESCENT HTS BL EEC",4
"CRESCENT HTS BL EL MG",9
"CRESTWOOD ST STEAM MG",13
