"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","3.6522342543050712"
"Bell/Cudahy/Maywood Community of Schools","13.851287540137253"
"Boyle Heights Community of Schools","4.5119906150595206"
"Canoga Park/Chatsworth Community of Schools","7.4934900305359724"
"Carson Community of Schools","4.0820991786816458"
"Cleveland Community of Schools","24.778644112594158"
"Downtown Community of Schools","7.5477964208349366"
"Eagle Rock/Highland Park Community of Schools","9.2241639553215045"
"East Los Angeles Community of Schools","10.800371024510488"
"Fairfax Community of Schools","4.9558434349942013"
"Fremont Community of Schools","7.9549221080543591"
"Gardena Community of Schools","4.9960531180367509"
"Glassell Park/Los Feliz Community of Schools","14.425460938556553"
"H.E.E.T. (C/D) Community of Schools","5.081472949625665"
"H.E.E.T. (W) Community of Schools",0
"Hamilton Community of Schools","7.5517293460202382"
"Harbor City/Lomita Community of Schools","2.3161015378914209"
"Historic Central Avenue Community of Schools","9.7471068814574586"
"Hollywood Community of Schools","5.4068179974948407"
"Huntington Park/Vernon Community of Schools","4.3647156387761337"
"Kennedy/NAHS/VAAS Community of Schools","12.771636749107582"
"Kreatwn/PcoUnion Community of Schools","10.458063166701526"
"LA Mid-City Community of Schools","9.5309577421161116"
"Lincoln Heights/El Sereno Community of Schools","5.6836970899470893"
"MacArthur Park Community of Schools","4.9346163335800641"
"Manual Arts/Vermont Square Community of Schools","5.3434502658366512"
"Monroe Community of Schools","5.6170308374992981"
"North Hollywood/Valley Village Community of Schools","14.014279813536319"
"Panorama City Community of Schools","21.230859053634457"
"Reseda Community of Schools","9.8618518914210114"
"Rivera Community of Schools","5.5564816358281934"
"San Fernando Valley/Sylmar Community of Schools","4.5166863330717417"
"San Pedro Community of Schools","13.647493276602576"
"SO Los Angeles Community of Schools","1.9945150835203191"
"South Gate Community of Schools","9.4243914337825618"
"South Mid-City Community of Schools","2.5633795596113917"
"Sun Valley Community of Schools","8.25445740699978"
"Sunland/Tujunga Community of Schools","4.4691738732095372"
"Taft Community of Schools","9.6282222450446735"
"Van Nuys/Valley Glen Community of Schools","8.6952268639033967"
"Venice Community of Schools","11.151276356506305"
"West LA Community of Schools","15.821254977103127"
"Westchester Community of Schools","4.4796846302020343"
"Wilmington Community of Schools","1.047416547086611"
"District Wide","8.4075110964650772"
