"School name","Cases among staff and students"
"Unassigned",67
"102ND ST EEC",1
"107TH ST EL",0
"109TH ST EL",0
"10TH ST EL",0
"112TH ST EEC",0
"112TH ST EL",0
"116TH ST EL",0
"118TH ST EL",0
"122ND ST EL",0
"135TH ST EL",0
"153RD ST EL",0
"156TH ST EL",0
"15TH ST EL",1
"186TH ST EL",0
"1ST ST EL",1
"20TH ST EL",0
"232ND PL EL",1
"24TH ST EEC",0
"24TH ST EL",0
"28TH ST EEC",0
"28TH ST EL",0
"2ND ST EL",0
"32ND ST USC PA MAG",1
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",5
"42ND ST EL",0
"49TH ST EL",0
"4TH ST EEC",0
"4TH ST EL",0
"4TH ST PC",0
"52ND ST EL",2
"54TH ST EL",0
"59TH ST EL",3
"61ST ST EL",2
"66TH ST EEC",0
"66TH ST EL",3
"6TH AVE EL",0
"74TH ST EL",0
"75TH ST EEC",0
"75TH ST EL",1
"7TH ST EL AI MAG",0
"92ND ST EL",0
"93RD ST EL",1
"95TH ST EEC",0
"95TH ST EL",0
"96TH ST EL",1
"97TH ST EEC",0
"99TH ST EL",2
"9TH ST EL",0
"ACAD ENRICH SCI MAG",0
"ADAMS MS",0
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",0
"ALEXANDER SCS",0
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",0
"ALLESANDRO EL",0
"ALTA CALIFORNIA EL",0
"ALTA LOMA EL",1
"AMANECER PC",0
"AMBLER AVE EL",1
"AMESTOY EL",0
"ANATOLA AVE EL",0
"ANDASOL AVE EL",0
"ANGELES MESA EL",1
"ANGELOU COMMUNITY SH",2
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",0
"ANTON EEC",0
"ANTON EL",0
"APPERSON ST EL",0
"ARAGON AVE EL",0
"ARLETA SH",0
"ARLINGTON HTS EL",0
"ARMINTA ST EEC",1
"ARMINTA ST EL",3
"ARMSTRONG MS",2
"ARROYO SECO MUS/S MAG",1
"ASCOT AVE EL",1
"ATWATER AVE EL",0
"AUDUBON MS",0
"AURORA EL",0
"AVALON GARDENS EL",0
"BACA ARTS ACAD",0
"BAKEWELL PC",0
"BALA",0
"BALBOA EL G/HG/HA MAG",0
"BALDWIN HILLS EL",0
"BANCROFT MS",0
"BANDINI ST EL",0
"BANNEKER CTC",1
"BANNING SH",0
"BARRETT EL",0
"BARTON HILL EL",0
"BASSETT ST EL",0
"BEACHY AVE EL",0
"BECKFORD CES",2
"BEETHOVEN ST EL",0
"BELL SH",3
"BELLINGHAM EL",0
"BELMONT SH",0
"BELVEDERE EL",0
"BELVEDERE MS",1
"BERENDO MS",2
"BERNSTEIN SH",0
"BERNSTEIN SH STEM",1
"BERTRAND AVE EL",0
"BETHUNE MS",0
"BLYTHE ST EL",0
"BONITA ST EL",2
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",1
"BRADDOCK DR EL",1
"BRADLEY EEC",0
"BRADLEY GLBL AWR MAG",6
"BRAINARD EL",0
"BRAVO SH MEDICAL MAG",4
"BREED ST EL",0
"BRENTWOOD EL SCI MAG",0
"BRIDGE ST EL",0
"BRIDGES SCHOOL",1
"BRIGHT EL",1
"BROAD AVE EL",0
"BROADACRES AV EL",1
"BROADOUS EEC",1
"BROADOUS EL",0
"BROADWAY EL",0
"BROCKTON AVE EL",0
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",0
"BRYSON AVE EL",0
"BUCHANAN ST EL",0
"BUDLONG AVE EL",0
"BURBANK BLVD EL",2
"BURBANK MS A/T/C MAG",1
"BURKE HS",0
"BURROUGHS MS",1
"BURTON ST EL",1
"BUSHNELL WAY EL",2
"BYRD MS",0
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",0
"CAHUENGA EL",0
"CALABASH CA",0
"CALAHAN ST EL",0
"CALVERT CES",0
"CAMELLIA AVE EL",0
"CANFIELD AVE EL",3
"CANOGA PARK EEC",0
"CANOGA PARK EL",0
"CANOGA PRK SH",2
"CANTARA ST EL",1
"CANTERBURY AVE EL",1
"CANYON CEL",2
"CAPISTRANO AVE EL",0
"CARDENAS EL",0
"CARLSON HOSPITAL",2
"CARNEGIE MS",1
"CAROLDALE LC",0
"CARPENTER COMM CHTR",4
"CARSON ACAD ED & EMP",0
"CARSON ACAD MED ARTS",1
"CARSON SH",3
"CARSON ST EL",1
"CARSON-GORE ACADEMY",0
"CARTHAY EL ES MAG",0
"CARVER MS",0
"CASTELAR ST EEC",0
"CASTELAR ST EL",2
"CASTLE HTS EL",0
"CASTLEBAY LN CHTR",1
"CASTRO MS",0
"CATSKILL AVE EL",0
"CDS AGGELER",0
"CDS ALONZO",0
"CDS JOHNSON",0
"CDS JOHNSTON",0
"CDS LONDON",0
"CDS TRI-C",0
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",0
"CENTURY PARK EL",0
"CHANDLER EL",9
"CHAPMAN EL",0
"CHARNOCK ROAD EL",1
"CHASE ST EEC",0
"CHASE ST EL",0
"CHATSWORTH CHS",0
"CHATSWORTH UP/CD MAG",0
"CHAVEZ EL",0
"CHAVEZ LA ARTES MAG",0
"CHAVEZ LA ASE",0
"CHAVEZ LA SJ HUM AC",1
"CHAVEZ LA TECH PREP",1
"CHEREMOYA AVE EL",0
"CHEVIOT HILLS HS",0
"CIENEGA EL",1
"CIMARRON AVE EL",0
"CITY OF ANGELS",0
"CITY TERRACE EL",0
"CLEVELAND CHS",3
"CLEVELAND EEC",1
"CLEVELAND INFANT CTR",0
"CLIFFORD ST M/T MAG",0
"CLINTON MS",0
"CLOVER AVE EL",0
"COCHRAN MS",1
"COEUR D ALENE AVE EL",1
"COHASSET ST EL",0
"COLDWATER CYN EL",0
"COLFAX CEL",5
"COLISEUM ST EL",0
"COLLINS EEC",1
"COLUMBUS AVE EL",0
"COLUMBUS MS",0
"COMMONWLTH AVE EL",0
"COMMUNITY EL MAG CS",7
"COMPTON AVE EL",0
"CONTRERAS LC ALC",1
"CONTRERAS LC BUS TR",0
"CONTRERAS LC GLBL ST",0
"CONTRERAS LC SOC JUS",1
"CORONA AVE EL",1
"CORTINES SCH OF VAPA",0
"COUGHLIN EL",2
"COWAN AVE EL",0
"CRENSHAW ARTS TECH",1
"CRENSHAW MAG STEMM",1
"CRESCENT HTS BL EEC",0
"CRESCENT HTS BL EL MG",0
"CRESTWOOD ST STEAM MG",0
"CRUZ EEC",0
"CURTISS MS",0
"DACOTAH EEC",0
"DAHLIA HTS EL",2
"DANA MS",0
"DANUBE AVE EL",0
"DARBY AVE EL",0
"DAYTON EEC",0
"DAYTON HEIGHTS EL",0
"DBM",1
"DE LA TORRE JR EL",0
"DEARBORN EL CA",0
"DEL AMO EL",1
"DEL OLMO EL",1
"DELEVAN DRIVE EL",1
"DENA EL",0
"DENKER AVE EL",0
"DIXIE CYN CC",2
"DODSON MS",1
"DOLORES ST EEC",0
"DOLORES ST EL",0
"DOMINGUEZ EL",0
"DORRIS PLACE EL",0
"DORSEY SH",2
"DREW MS",0
"DREW MS UP PBLC SRVC",1
"DYER ST EL",0
"DYMALLY SH",0
"EAGLE ROCK EL",4
"EAGLE ROCK HS",5
"EAGLE TREE CONTN HS",0
"EARHART HS",0
"EARLY COLLEGE ACAD",1
"EAST VALLEY SH",0
"EAST VALLEY SKLS CTR",0
"EASTMAN AVE EEC",0
"EASTMAN AVE EL",0
"EDISON MS",13
"EINSTEIN HS",0
