"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","2.0387775489816304"
"Bell/Cudahy/Maywood Community of Schools","0.75053663369309054"
"Boyle Heights Community of Schools","0.94626179278759259"
"Canoga Park/Chatsworth Community of Schools","5.1832270771782509"
"Carson Community of Schools",0
"Cleveland Community of Schools","1.927246446639364"
"Downtown Community of Schools","2.9894770408163263"
"Eagle Rock/Highland Park Community of Schools","6.1990515451135977"
"East Los Angeles Community of Schools","2.3601047886526163"
"Fairfax Community of Schools","1.2116806009935781"
"Fremont Community of Schools","3.1113392759913507"
"Gardena Community of Schools","3.5169163677287756"
"Glassell Park/Los Feliz Community of Schools","3.1130342745073625"
"H.E.E.T. (C/D) Community of Schools",0
"H.E.E.T. (W) Community of Schools",0
"Hamilton Community of Schools","2.6061688015532769"
"Harbor City/Lomita Community of Schools",0
"Historic Central Avenue Community of Schools","3.013863773357444"
"Hollywood Community of Schools","2.5863518214382704"
"Huntington Park/Vernon Community of Schools","2.4447885257925188"
"Kennedy/NAHS/VAAS Community of Schools","1.49533828290305"
"Kreatwn/PcoUnion Community of Schools",0
"LA Mid-City Community of Schools","4.2938726437373864"
"Lincoln Heights/El Sereno Community of Schools","4.2259175523485535"
"MacArthur Park Community of Schools","4.4347209082308421"
"Manual Arts/Vermont Square Community of Schools","5.3496533424634078"
"Monroe Community of Schools","3.5725449917384897"
"North Hollywood/Valley Village Community of Schools","5.9010976041543728"
"Panorama City Community of Schools","1.51894888736994"
"Reseda Community of Schools","0.96924582981981722"
"Rivera Community of Schools","4.7687930184870213"
"San Fernando Valley/Sylmar Community of Schools","1.2983472040092963"
"San Pedro Community of Schools",0
"South Gate Community of Schools","4.7508195163665734"
"South Mid-City Community of Schools","1.5287013681877244"
"Sun Valley Community of Schools","3.1050837984490109"
"Sunland/Tujunga Community of Schools",0
"Taft Community of Schools","4.5124656864588424"
"Van Nuys/Valley Glen Community of Schools","2.4816666873472224"
"Venice Community of Schools","1.1733646230566148"
"West LA Community of Schools","2.0764119601328903"
"Westchester Community of Schools","5.2656521510189043"
"Wilmington Community of Schools",2.3857238286096
"District Wide","2.6781882009834588"
