"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","7.4794315632011967"
"Bell/Cudahy/Maywood Community of Schools","8.2569040420721027"
"Boyle Heights Community of Schools","6.8323641498261543"
"Canoga Park/Chatsworth Community of Schools","5.674939467312349"
"Carson Community of Schools","13.209167162010434"
"Cleveland Community of Schools","10.035626473982637"
"Downtown Community of Schools","5.3538922796873321"
"Eagle Rock/Highland Park Community of Schools","8.436611519349368"
"East Los Angeles Community of Schools","9.6178507309566559"
"Fairfax Community of Schools","12.963443090484832"
"Fremont Community of Schools","5.4071590786200927"
"Gardena Community of Schools","8.1261173411344068"
"Glassell Park/Los Feliz Community of Schools","6.3572790845518119"
"H.E.E.T. (C/D) Community of Schools",0
"H.E.E.T. (W) Community of Schools","3.57948240684397"
"Hamilton Community of Schools","9.8011456450242864"
"Harbor City/Lomita Community of Schools","4.6796214186272334"
"Historic Central Avenue Community of Schools","3.5770176615247036"
"Hollywood Community of Schools","4.5446695570765048"
"Huntington Park/Vernon Community of Schools","7.3414431809005007"
"Kennedy/NAHS/VAAS Community of Schools","10.924747766853031"
"Kreatwn/PcoUnion Community of Schools","7.0533675421659128"
"LA Mid-City Community of Schools","9.6248706658004277"
"Lincoln Heights/El Sereno Community of Schools","8.3548296136935658"
"MacArthur Park Community of Schools","6.268413464552121"
"Manual Arts/Vermont Square Community of Schools","6.3291139240506329"
"Monroe Community of Schools","2.4361722861040733"
"North Hollywood/Valley Village Community of Schools","16.428944813680832"
"Panorama City Community of Schools","5.3630086478514443"
"Reseda Community of Schools","3.3182078359478049"
"Rivera Community of Schools","7.0203520004493019"
"San Fernando Valley/Sylmar Community of Schools","11.978438810141744"
"San Pedro Community of Schools",5.6657223796034
"SO Los Angeles Community of Schools","9.104335686972707"
"South Gate Community of Schools","7.82472613458529"
"South Mid-City Community of Schools",0
"Sun Valley Community of Schools","5.5618899301982818"
"Sunland/Tujunga Community of Schools","4.5258084225294741"
"Taft Community of Schools","7.109571422108182"
"Van Nuys/Valley Glen Community of Schools","5.5027596339564289"
"Venice Community of Schools","8.4320191875281072"
"West LA Community of Schools","15.921172505904101"
"Westchester Community of Schools","2.2614713132363917"
"Wilmington Community of Schools","8.48005596836939"
"District Wide","7.56182524875865"
