"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","101.71316886380407"
"Bell/Cudahy/Maywood Community of Schools","76.263107721639656"
"Boyle Heights Community of Schools","84.483244156575623"
"Canoga Park/Chatsworth Community of Schools","151.90896611315128"
"Carson Community of Schools","163.00656554222323"
"Cleveland Community of Schools","110.72789980032674"
"Downtown Community of Schools","97.920626692010828"
"Eagle Rock/Highland Park Community of Schools","122.44387244387245"
"East Los Angeles Community of Schools","88.550674507090974"
"Fairfax Community of Schools","194.73143289879377"
"Fremont Community of Schools","94.0526400869987"
"Gardena Community of Schools","165.95754160076629"
"Glassell Park/Los Feliz Community of Schools","126.30960540487614"
"H.E.E.T. (C/D) Community of Schools","90.835115341672491"
"H.E.E.T. (W) Community of Schools","90.50307907214669"
"Hamilton Community of Schools","120.95483167119258"
"Harbor City/Lomita Community of Schools","126.93899311990658"
"Historic Central Avenue Community of Schools","91.23649459783914"
"Hollywood Community of Schools","98.1344918919949"
"Huntington Park/Vernon Community of Schools","103.14310909549006"
"Kennedy/NAHS/VAAS Community of Schools","145.58326077958409"
"Kreatwn/PcoUnion Community of Schools","73.57529360267479"
"LA Mid-City Community of Schools","140.7207460758101"
"Lincoln Heights/El Sereno Community of Schools","87.382802624781547"
"MacArthur Park Community of Schools","79.357851874016163"
"Manual Arts/Vermont Square Community of Schools","105.33605126354495"
"Monroe Community of Schools","109.66603265991534"
"North Hollywood/Valley Village Community of Schools","123.83203872565574"
"Panorama City Community of Schools","71.946586853919641"
"Reseda Community of Schools","93.812861382476839"
"Rivera Community of Schools","69.366629315404722"
"San Fernando Valley/Sylmar Community of Schools","113.07464162135443"
"San Pedro Community of Schools","180.43461206558408"
"SO Los Angeles Community of Schools","99.976092673491124"
"South Gate Community of Schools","107.52622479090427"
"South Mid-City Community of Schools","102.40138458210139"
"Sun Valley Community of Schools","108.54268347456357"
"Sunland/Tujunga Community of Schools","97.029407374234964"
"Taft Community of Schools","164.69962097510805"
"Van Nuys/Valley Glen Community of Schools","78.642384105960261"
"Venice Community of Schools","109.32423319778491"
"West LA Community of Schools","154.52582364245103"
"Westchester Community of Schools","183.9903216050005"
"Wilmington Community of Schools","119.11379337727308"
"District Wide","112.88890671728053"
