"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","10.107339950271887"
"Bell/Cudahy/Maywood Community of Schools","7.4944132555731189"
"Boyle Heights Community of Schools","7.15040479236019"
"Canoga Park/Chatsworth Community of Schools","5.5746409582807805"
"Carson Community of Schools","13.663566555232691"
"Cleveland Community of Schools","9.1698531906504179"
"Downtown Community of Schools","8.2844550485469064"
"Eagle Rock/Highland Park Community of Schools","15.070253978103807"
"East Los Angeles Community of Schools","6.8966468503013827"
"Fairfax Community of Schools","19.471668722009476"
"Fremont Community of Schools","3.7111535007310974"
"Gardena Community of Schools","9.00880610797054"
"Glassell Park/Los Feliz Community of Schools","18.715339683415255"
"H.E.E.T. (C/D) Community of Schools","11.465260261407934"
"H.E.E.T. (W) Community of Schools","4.0016006402561022"
"Hamilton Community of Schools","14.277385810658069"
"Harbor City/Lomita Community of Schools","7.6530612244897958"
"Historic Central Avenue Community of Schools","7.76555780972442"
"Hollywood Community of Schools","9.5060648693866678"
"Huntington Park/Vernon Community of Schools","2.3520741373768104"
"Kennedy/NAHS/VAAS Community of Schools","10.030593309594263"
"Kreatwn/PcoUnion Community of Schools","6.5668505384817442"
"LA Mid-City Community of Schools","6.4251660905434411"
"Lincoln Heights/El Sereno Community of Schools","4.3717280347989549"
"MacArthur Park Community of Schools","5.2578999947420995"
"Manual Arts/Vermont Square Community of Schools","4.9308692136249785"
"Monroe Community of Schools","6.064281382656155"
"North Hollywood/Valley Village Community of Schools","8.14418464495427"
"Panorama City Community of Schools","4.3399638336347195"
"Reseda Community of Schools","7.2590011614401861"
"Rivera Community of Schools","2.3009311101225629"
"San Fernando Valley/Sylmar Community of Schools","6.8651313736503781"
"San Pedro Community of Schools","12.224938875305623"
"South Gate Community of Schools","8.0197903750177364"
"South Mid-City Community of Schools",7.3050287818134
"Sun Valley Community of Schools","11.330674401740392"
"Sunland/Tujunga Community of Schools",0
"Taft Community of Schools","26.6054979902063"
"Van Nuys/Valley Glen Community of Schools","19.060325931573431"
"Venice Community of Schools","23.60257370673289"
"West LA Community of Schools","20.952647017739906"
"Westchester Community of Schools","2.5333772452055832"
"Wilmington Community of Schools","2.2762451060730222"
"District Wide","9.5180698392700851"
