"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","24.392227010326042"
"Bell/Cudahy/Maywood Community of Schools","14.712373105781962"
"Boyle Heights Community of Schools","8.2112293122639279"
"Canoga Park/Chatsworth Community of Schools","19.021281888081706"
"Carson Community of Schools","10.356742710265417"
"Cleveland Community of Schools","18.147260241263048"
"Downtown Community of Schools","8.6516000653676439"
"Eagle Rock/Highland Park Community of Schools","11.087480218927338"
"East Los Angeles Community of Schools","12.300690376247365"
"Fairfax Community of Schools","21.33611493053909"
"Fremont Community of Schools","10.761366693570084"
"Gardena Community of Schools","15.118388612364516"
"Glassell Park/Los Feliz Community of Schools","12.337428674240476"
"H.E.E.T. (C/D) Community of Schools","4.4187176881269057"
"H.E.E.T. (W) Community of Schools","6.2373952637378638"
"Hamilton Community of Schools","12.736906460158957"
"Harbor City/Lomita Community of Schools","30.231407684274171"
"Historic Central Avenue Community of Schools","12.970686249077087"
"Hollywood Community of Schools","9.7372168599909941"
"Huntington Park/Vernon Community of Schools","6.4670503783224476"
"Kennedy/NAHS/VAAS Community of Schools","8.1594504980973657"
"Kreatwn/PcoUnion Community of Schools","20.987827060305023"
"LA Mid-City Community of Schools","9.8048828316501613"
"Lincoln Heights/El Sereno Community of Schools","8.7312781247901139"
"MacArthur Park Community of Schools","17.326518236160442"
"Manual Arts/Vermont Square Community of Schools","7.3773515308004418"
"Monroe Community of Schools","8.8626554288195827"
"North Hollywood/Valley Village Community of Schools","14.201341609095541"
"Panorama City Community of Schools","9.0036014405762312"
"Reseda Community of Schools","12.44650396851992"
"Rivera Community of Schools","11.783004194749493"
"San Fernando Valley/Sylmar Community of Schools","11.600778541137649"
"San Pedro Community of Schools","17.686099656517328"
"South Gate Community of Schools","11.980192747989991"
"South Mid-City Community of Schools","21.148355715343133"
"Sun Valley Community of Schools","19.295632240685997"
"Sunland/Tujunga Community of Schools","32.939745603810877"
"Taft Community of Schools","24.612538969853368"
"Van Nuys/Valley Glen Community of Schools","9.8394932660967953"
"Venice Community of Schools","13.723068478111704"
"West LA Community of Schools","4.1160309113921452"
"Westchester Community of Schools","20.870291140561413"
"Wilmington Community of Schools","17.706636447340465"
"District Wide","13.474319864637398"
