"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","7.5108907916478893"
"Bell/Cudahy/Maywood Community of Schools","7.6315973569234492"
"Boyle Heights Community of Schools","3.7999984800006077"
"Canoga Park/Chatsworth Community of Schools","6.3185962606547337"
"Carson Community of Schools","2.4798717079703074"
"Cleveland Community of Schools","5.8668231152830748"
"Downtown Community of Schools","6.91839370272431"
"Eagle Rock/Highland Park Community of Schools","5.9035362181946978"
"East Los Angeles Community of Schools","6.432109088570142"
"Fairfax Community of Schools","1.9968848596189943"
"Fremont Community of Schools","4.0634439041569035"
"Gardena Community of Schools","3.057511796899683"
"Glassell Park/Los Feliz Community of Schools","5.4577705007504429"
"H.E.E.T. (C/D) Community of Schools",0
"H.E.E.T. (W) Community of Schools",0
"Hamilton Community of Schools","6.5495748234343782"
"Harbor City/Lomita Community of Schools","3.5074181894707306"
"Historic Central Avenue Community of Schools","5.3598227685271214"
"Hollywood Community of Schools","4.5493007724712715"
"Huntington Park/Vernon Community of Schools","8.10098242823266"
"Kennedy/NAHS/VAAS Community of Schools","1.2849754248449998"
"Kreatwn/PcoUnion Community of Schools","3.5247259525571883"
"LA Mid-City Community of Schools","6.025185274447189"
"Lincoln Heights/El Sereno Community of Schools","2.1096823873165893"
"MacArthur Park Community of Schools","5.0195763477562494"
"Manual Arts/Vermont Square Community of Schools","3.6221385105766442"
"Monroe Community of Schools","5.70743679013755"
"North Hollywood/Valley Village Community of Schools","6.0049240377109232"
"Panorama City Community of Schools","2.6820077510024007"
"Reseda Community of Schools","3.3325279724066688"
"Rivera Community of Schools","8.4418462317708887"
"San Fernando Valley/Sylmar Community of Schools","6.2889845576842811"
"San Pedro Community of Schools","4.8684701643920087"
"SO Los Angeles Community of Schools","2.0270612679268232"
"South Gate Community of Schools","6.7176837426455354"
"South Mid-City Community of Schools","2.6152337365152012"
"Sun Valley Community of Schools","6.9601531233687135"
"Sunland/Tujunga Community of Schools","6.8146196306476154"
"Taft Community of Schools","3.8770710020936185"
"Van Nuys/Valley Glen Community of Schools","4.9568751858828195"
"Venice Community of Schools","4.689991558015195"
"West LA Community of Schools","3.53126048342956"
"Westchester Community of Schools","9.0144907939512766"
"Wilmington Community of Schools",0
"District Wide","4.796728357161653"
