"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","4.0292523722223343"
"Bell/Cudahy/Maywood Community of Schools","3.4054146092286737"
"Boyle Heights Community of Schools","3.1918034487436264"
"Canoga Park/Chatsworth Community of Schools","5.5792674421848414"
"Carson Community of Schools","8.1814462978955511"
"Cleveland Community of Schools","4.57318467434352"
"Downtown Community of Schools","4.9755782036504153"
"Eagle Rock/Highland Park Community of Schools","11.560179627406518"
"East Los Angeles Community of Schools",0
"Fairfax Community of Schools","14.067132685523839"
"Fremont Community of Schools","4.44737641852777"
"Gardena Community of Schools","1.1244167088322932"
"Glassell Park/Los Feliz Community of Schools","12.7946459327789"
"H.E.E.T. (C/D) Community of Schools","19.093443311566809"
"H.E.E.T. (W) Community of Schools","5.9864705764971164"
"Hamilton Community of Schools","15.483932442411682"
"Harbor City/Lomita Community of Schools","17.853954650955185"
"Historic Central Avenue Community of Schools","1.9387547378318906"
"Hollywood Community of Schools","5.7150477206484682"
"Huntington Park/Vernon Community of Schools","1.5676192566349485"
"Kennedy/NAHS/VAAS Community of Schools","5.0130338881090841"
"Kreatwn/PcoUnion Community of Schools","8.4375527347045924"
"LA Mid-City Community of Schools","1.2858428700012858"
"Lincoln Heights/El Sereno Community of Schools","2.1940048816608617"
"MacArthur Park Community of Schools","6.5554856303754985"
"Manual Arts/Vermont Square Community of Schools","3.9376279729091195"
"Monroe Community of Schools","6.05070490712168"
"North Hollywood/Valley Village Community of Schools","10.573575820672152"
"Panorama City Community of Schools","4.3355733795794489"
"Reseda Community of Schools","8.17156658010859"
"Rivera Community of Schools","14.570216942861745"
"San Fernando Valley/Sylmar Community of Schools","9.9734457008215625"
"San Pedro Community of Schools","4.3676514264749562"
"South Gate Community of Schools","3.703200799891373"
"South Mid-City Community of Schools","8.748141020033243"
"Sun Valley Community of Schools","5.2801098262843871"
"Sunland/Tujunga Community of Schools",0
"Taft Community of Schools","8.630982349641096"
"Van Nuys/Valley Glen Community of Schools","7.7461641590942945"
"Venice Community of Schools","5.1321002607106934"
"West LA Community of Schools","25.906993891927979"
"Westchester Community of Schools","17.74937877174299"
"Wilmington Community of Schools","2.2760637753069841"
"District Wide","6.9433073546929078"
