"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","47.911842210332985"
"Bell/Cudahy/Maywood Community of Schools","45.628205040895132"
"Boyle Heights Community of Schools","34.650593089221246"
"Canoga Park/Chatsworth Community of Schools","102.52904989747095"
"Carson Community of Schools","86.003983342386391"
"Cleveland Community of Schools","87.124615426502217"
"Downtown Community of Schools","71.858067926523063"
"Eagle Rock/Highland Park Community of Schools","70.681494868881359"
"East Los Angeles Community of Schools","67.8919548033558"
"Fairfax Community of Schools","87.602608611011973"
"Fremont Community of Schools","41.186161449752881"
"Gardena Community of Schools","91.453553862797364"
"Glassell Park/Los Feliz Community of Schools","80.460785179515852"
"H.E.E.T. (C/D) Community of Schools","70.167453679998488"
"H.E.E.T. (W) Community of Schools","47.382136934375744"
"Hamilton Community of Schools","84.2850020180916"
"Harbor City/Lomita Community of Schools","85.139909014664383"
"Historic Central Avenue Community of Schools","31.754585169646468"
"Hollywood Community of Schools","68.681318681318686"
"Huntington Park/Vernon Community of Schools","48.134587462912691"
"Kennedy/NAHS/VAAS Community of Schools","85.641490447405417"
"Kreatwn/PcoUnion Community of Schools","70.005133709805392"
"LA Mid-City Community of Schools","79.407771715464023"
"Lincoln Heights/El Sereno Community of Schools","39.604613937523723"
"MacArthur Park Community of Schools","62.491049459061855"
"Manual Arts/Vermont Square Community of Schools","75.13148009015778"
"Monroe Community of Schools","83.191107985488728"
"North Hollywood/Valley Village Community of Schools","83.848653181008288"
"Panorama City Community of Schools","57.603686635944705"
"Reseda Community of Schools","109.2028194182468"
"Rivera Community of Schools","39.707993524542594"
"San Fernando Valley/Sylmar Community of Schools","74.285466667492059"
"San Pedro Community of Schools","98.540209637755737"
"South Gate Community of Schools","34.215816261066678"
"South Mid-City Community of Schools","69.2920660584363"
"Sun Valley Community of Schools","71.278511404561826"
"Sunland/Tujunga Community of Schools","99.656186157755741"
"Taft Community of Schools","131.64899356862296"
"Van Nuys/Valley Glen Community of Schools","65.158542581107582"
"Venice Community of Schools","111.4553616164095"
"West LA Community of Schools","133.76136971642589"
"Westchester Community of Schools","156.73584953358446"
"Wilmington Community of Schools","62.477280988731373"
"District Wide","73.2053533031329"
