"School name","Cases among staff and students"
"Unassigned",35
"102ND ST EEC",0
"107TH ST EL",4
"109TH ST EL",5
"10TH ST EL",0
"112TH ST EEC",0
"112TH ST EL",1
"116TH ST EL",2
"118TH ST EL",0
"122ND ST EL",4
"135TH ST EL",1
"153RD ST EL",1
"156TH ST EL",4
"15TH ST EL",3
"186TH ST EL",3
"1ST ST EL",0
"20TH ST EL",0
"232ND PL EL",0
"24TH ST EEC",0
"24TH ST EL",4
"28TH ST EEC",0
"28TH ST EL",2
"2ND ST EL",2
"32ND ST USC PA MAG",0
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",0
"42ND ST EL",0
"49TH ST EL",5
"4TH ST EEC",0
"4TH ST EL",1
"4TH ST PC",0
"52ND ST EL",3
"54TH ST EL",0
"59TH ST EL",2
"61ST ST EL",6
"66TH ST EEC",0
"66TH ST EL",4
"6TH AVE EL",0
"74TH ST EL",0
"75TH ST EEC",0
"75TH ST EL",1
"7TH ST EL AI MAG",0
"92ND ST EL",6
"93RD ST EL",2
"95TH ST EEC",0
"95TH ST EL",3
"96TH ST EL",2
"97TH ST EEC",0
"99TH ST EL",3
"9TH ST EL",1
"ACAD ENRICH SCI MAG",1
"ADAMS MS",3
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",0
"ALEXANDER SCS",1
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",3
"ALLESANDRO EL",4
"ALTA CALIFORNIA EL",7
"ALTA LOMA EL",0
"AMANECER PC",0
"AMBLER AVE EL",1
"AMESTOY EL",1
"ANATOLA AVE EL",0
"ANDASOL AVE EL",1
"ANGELES MESA EL",1
"ANGELOU COMMUNITY SH",1
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",0
"ANTON EEC",0
"ANTON EL",1
"APPERSON ST EL",1
"ARAGON AVE EL",2
"ARLETA SH",1
"ARLINGTON HTS EL",4
"ARMINTA ST EEC",0
"ARMINTA ST EL",0
"ARROYO SECO MUS/S MAG",0
"ASCOT AVE EL",0
"ATWATER AVE EL",0
"AUDUBON MS",1
"AURORA EL",0
"AVALON GARDENS EL",0
"BACA ARTS ACAD",3
"BAKEWELL PC",0
"BALA",0
"BALBOA EL G/HG/HA MAG",0
"BALDWIN HILLS EL",1
