"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","15.297244583819339"
"Bell/Cudahy/Maywood Community of Schools","15.546961540703888"
"Boyle Heights Community of Schools","14.731537119596821"
"Canoga Park/Chatsworth Community of Schools","7.0692724433333547"
"Carson Community of Schools","12.78325563954628"
"Cleveland Community of Schools","7.7592895939305109"
"Downtown Community of Schools","9.3396116278164776"
"Eagle Rock/Highland Park Community of Schools","15.395932052619873"
"East Los Angeles Community of Schools","13.188436378982908"
"Fairfax Community of Schools","12.234411320908608"
"Fremont Community of Schools","13.469063687404299"
"Gardena Community of Schools","6.4018437309945266"
"Glassell Park/Los Feliz Community of Schools","16.7990368552203"
"H.E.E.T. (C/D) Community of Schools","9.0461716601534228"
"H.E.E.T. (W) Community of Schools","9.3947877717442356"
"Hamilton Community of Schools","6.7147893234849763"
"Harbor City/Lomita Community of Schools","13.079978120763871"
"Historic Central Avenue Community of Schools","10.918321853931051"
"Hollywood Community of Schools","8.455865081974915"
"Huntington Park/Vernon Community of Schools","13.619854721549638"
"Kennedy/NAHS/VAAS Community of Schools","15.672752919050231"
"Kreatwn/PcoUnion Community of Schools","10.784384211661514"
"LA Mid-City Community of Schools","3.7128253363200949"
"Lincoln Heights/El Sereno Community of Schools","13.401232913428036"
"MacArthur Park Community of Schools","15.449582861262746"
"Manual Arts/Vermont Square Community of Schools","17.030456132383414"
"Monroe Community of Schools","11.755716217010521"
"North Hollywood/Valley Village Community of Schools","16.182975509763729"
"Panorama City Community of Schools","23.157923415385035"
"Reseda Community of Schools","15.264327267176609"
"Rivera Community of Schools","13.017255094809007"
"San Fernando Valley/Sylmar Community of Schools","23.4000234000234"
"San Pedro Community of Schools","12.463544133409778"
"SO Los Angeles Community of Schools","11.604109964765701"
"South Gate Community of Schools","15.479343675828146"
"South Mid-City Community of Schools","4.126036666712511"
"Sun Valley Community of Schools","40.541982289555108"
"Sunland/Tujunga Community of Schools","20.895730305774187"
"Taft Community of Schools","11.95234996480697"
"Van Nuys/Valley Glen Community of Schools","14.076814360602938"
"Venice Community of Schools","12.494233430724281"
"West LA Community of Schools","9.8627287480610768"
"Westchester Community of Schools","4.8027279494753019"
"Wilmington Community of Schools","24.777273853512447"
"District Wide","13.913405214575628"
