"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","11.993044034460013"
"Bell/Cudahy/Maywood Community of Schools","5.3524594551196278"
"Boyle Heights Community of Schools","5.6821410307403832"
"Canoga Park/Chatsworth Community of Schools","9.24089594040333"
"Carson Community of Schools","7.20091451614355"
"Cleveland Community of Schools","11.646449624625971"
"Downtown Community of Schools","8.2960013273602122"
"Eagle Rock/Highland Park Community of Schools","8.0786320183115663"
"East Los Angeles Community of Schools","11.003294111174531"
"Fairfax Community of Schools","6.4509886140050963"
"Fremont Community of Schools","5.0859525989217778"
"Gardena Community of Schools","15.547263681592041"
"Glassell Park/Los Feliz Community of Schools","8.86454968087621"
"H.E.E.T. (C/D) Community of Schools","7.559578931453518"
"H.E.E.T. (W) Community of Schools","7.5277113875454011"
"Hamilton Community of Schools","7.29048955637371"
"Harbor City/Lomita Community of Schools","12.660150908998835"
"Historic Central Avenue Community of Schools","17.169183223800303"
"Hollywood Community of Schools","3.8402457757296466"
"Huntington Park/Vernon Community of Schools","7.8337981386895619"
"Kennedy/NAHS/VAAS Community of Schools","4.409171075837742"
"Kreatwn/PcoUnion Community of Schools","7.4599030212607236"
"LA Mid-City Community of Schools","13.422982586730772"
"Lincoln Heights/El Sereno Community of Schools","8.2259391280504524"
"MacArthur Park Community of Schools","11.686186927052225"
"Manual Arts/Vermont Square Community of Schools","8.77860361678469"
"Monroe Community of Schools","10.154517914262019"
"North Hollywood/Valley Village Community of Schools","13.838013838013838"
"Panorama City Community of Schools","7.2671249800154056"
"Reseda Community of Schools","11.870520020088573"
"Rivera Community of Schools","7.6516948504093651"
"San Fernando Valley/Sylmar Community of Schools","8.59106529209622"
"San Pedro Community of Schools","6.9861063809349151"
"SO Los Angeles Community of Schools","7.6923076923076925"
"South Gate Community of Schools","4.2596694496507075"
"South Mid-City Community of Schools","7.3843245558328778"
"Sun Valley Community of Schools","11.797843944019231"
"Sunland/Tujunga Community of Schools","7.4495294380571631"
"Taft Community of Schools","7.37822243865008"
"Van Nuys/Valley Glen Community of Schools","8.8904167234665525"
"Venice Community of Schools","13.632407378278332"
"West LA Community of Schools","3.9324793299055223"
"Westchester Community of Schools","5.2395797857011868"
"Wilmington Community of Schools","20.571428571428573"
"District Wide","8.8578958839958126"
