"School name","Cases among staff and students"
"Unassigned",155
"102ND ST EEC",0
"107TH ST EL",5
"109TH ST EL",1
"10TH ST EL",0
"112TH ST EEC",0
"112TH ST EL",0
"116TH ST EL",0
"118TH ST EL",0
"122ND ST EL",5
"135TH ST EL",0
"153RD ST EL",1
"156TH ST EL",4
"15TH ST EL",1
"186TH ST EL",2
"1ST ST EL",0
"20TH ST EL",2
"232ND PL EL",3
"24TH ST EEC",0
"24TH ST EL",5
"28TH ST EEC",0
"28TH ST EL",2
"2ND ST EL",0
"32ND ST USC PA MAG",4
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",5
"42ND ST EL",1
"49TH ST EL",0
"4TH ST EEC",0
"4TH ST EL",2
"4TH ST PC",1
"52ND ST EL",0
"54TH ST EL",0
"59TH ST EL",1
"61ST ST EL",1
"66TH ST EEC",0
"66TH ST EL",0
"6TH AVE EL",3
"74TH ST EL",2
"75TH ST EEC",0
"75TH ST EL",5
"7TH ST EL AI MAG",0
"92ND ST EL",1
"93RD ST EL",7
"95TH ST EEC",0
"95TH ST EL",0
"96TH ST EL",0
"97TH ST EEC",0
"99TH ST EL",3
"9TH ST EL",1
"ACAD ENRICH SCI MAG",2
"ADAMS MS",0
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",1
"ALEXANDER SCS",1
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",2
"ALLESANDRO EL",0
"ALTA CALIFORNIA EL",2
"ALTA LOMA EL",1
"AMANECER PC",0
"AMBLER AVE EL",2
"AMESTOY EL",8
"ANATOLA AVE EL",0
"ANDASOL AVE EL",3
"ANGELES MESA EL",2
"ANGELOU COMMUNITY SH",2
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",0
"ANTON EEC",0
"ANTON EL",1
"APPERSON ST EL",1
"ARAGON AVE EL",0
"ARLETA SH",4
"ARLINGTON HTS EL",2
"ARMINTA ST EEC",0
"ARMINTA ST EL",1
"ARMSTRONG MS",16
"ARROYO SECO MUS/S MAG",2
"ASCOT AVE EL",1
"ATWATER AVE EL",3
"AUDUBON MS",1
"AURORA EL",0
"AVALON GARDENS EL",2
"BACA ARTS ACAD",0
"BAKEWELL PC",0
"BALA",0
"BALBOA EL G/HG/HA MAG",8
"BALDWIN HILLS EL",3
"BANCROFT MS",2
"BANDINI ST EL",0
"BANNEKER CTC",1
"BANNING SH",5
"BARRETT EL",2
"BARTON HILL EL",0
"BASSETT ST EL",2
"BEACHY AVE EL",1
"BECKFORD CES",9
"BEETHOVEN ST EL",1
"BELL SH",13
"BELLINGHAM EL",0
"BELMONT SH",2
"BELVEDERE EL",0
"BELVEDERE MS",2
"BERENDO MS",1
"BERNSTEIN SH",4
"BERNSTEIN SH STEM",0
"BERTRAND AVE EL",2
"BETHUNE MS",2
"BLYTHE ST EL",2
"BONITA ST EL",2
"BOYLE HEIGHTS HS",1
"BOYLE HTS STEM MAG",0
"BRADDOCK DR EL",4
"BRADLEY EEC",0
"BRADLEY GLBL AWR MAG",6
"BRAINARD EL",1
"BRAVO SH MEDICAL MAG",11
"BREED ST EL",0
"BRENTWOOD EL SCI MAG",1
"BRIDGE ST EL",1
"BRIDGES SCHOOL",7
"BRIGHT EL",0
"BROAD AVE EL",3
"BROADACRES AV EL",0
"BROADOUS EEC",1
"BROADOUS EL",0
"BROADWAY EL",11
"BROCKTON AVE EL",1
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",1
"BRYSON AVE EL",1
"BUCHANAN ST EL",1
