"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","11.622276029055689"
"Bell/Cudahy/Maywood Community of Schools","3.28709486555782"
"Boyle Heights Community of Schools","4.7272383473574733"
"Canoga Park/Chatsworth Community of Schools","1.3126632624932726"
"Carson Community of Schools","5.2443885043003986"
"Cleveland Community of Schools","3.5134565385426186"
"Downtown Community of Schools","7.1061420754672282"
"Eagle Rock/Highland Park Community of Schools","8.672199529966786"
"East Los Angeles Community of Schools","5.3542147709399988"
"Fairfax Community of Schools","2.0712939373226456"
"Fremont Community of Schools","6.4954748192092842"
"Gardena Community of Schools","4.364048964629383"
"Glassell Park/Los Feliz Community of Schools","2.8590488897360147"
"H.E.E.T. (C/D) Community of Schools","3.680462266060617"
"H.E.E.T. (W) Community of Schools","1.9260771586509757"
"Hamilton Community of Schools","1.1420348777451663"
"Harbor City/Lomita Community of Schools","2.428304315096768"
"Historic Central Avenue Community of Schools","5.5590041970481687"
"Hollywood Community of Schools","1.9040003046400487"
"Huntington Park/Vernon Community of Schools","3.0876347945564997"
"Kennedy/NAHS/VAAS Community of Schools","3.3459139698600069"
"Kreatwn/PcoUnion Community of Schools","2.7363774011711692"
"LA Mid-City Community of Schools","5.0479555779909138"
"Lincoln Heights/El Sereno Community of Schools","1.6192059414063344"
"MacArthur Park Community of Schools","9.1499679751120873"
"Manual Arts/Vermont Square Community of Schools","3.8573550116684991"
"Monroe Community of Schools","4.2610852131820929"
"North Hollywood/Valley Village Community of Schools","3.1369596586987889"
"Panorama City Community of Schools","6.9153423786011645"
"Reseda Community of Schools","5.1894584800076107"
"Rivera Community of Schools","1.4657276238356627"
"San Fernando Valley/Sylmar Community of Schools","9.5071719728570248"
"San Pedro Community of Schools","6.7954402595858179"
"SO Los Angeles Community of Schools","2.1377799155576933"
"South Gate Community of Schools","4.0903141361256541"
"South Mid-City Community of Schools","2.792360102758852"
"Sun Valley Community of Schools","2.1726220651496937"
"Sunland/Tujunga Community of Schools","4.7555640098915726"
"Taft Community of Schools","7.4862015693800741"
"Van Nuys/Valley Glen Community of Schools","2.3055419464537885"
"Venice Community of Schools","3.9362717602023243"
"West LA Community of Schools","7.3794611148520888"
"Westchester Community of Schools","2.4436733297492794"
"Wilmington Community of Schools","4.3902010712090611"
"District Wide","4.3344502720992049"
